max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
6.0,15.0,0.08442439453742784,3.0,1.0,0.23124999999999996
6.0,155.0,0.3359403536681952,1.0,1.0,0.23124999999999996
6.0,107.0,0.03974150061913764,3.0,0.0,0.23124999999999996
6.0,256.0,0.21479562752326747,3.0,2.0,0.23124999999999996
14.0,31.0,0.44548118673886655,0.0,0.0,0.23750000000000004
6.0,156.0,0.0656535501098664,3.0,1.0,0.23750000000000004
6.0,68.0,0.40821245036487724,1.0,0.0,0.23750000000000004
6.0,218.0,0.18510513887913596,3.0,0.0,0.23750000000000004
2.0,166.0,0.14990567078376477,4.0,2.0,0.23750000000000004
6.0,29.0,0.236559386738448,3.0,1.0,0.23750000000000004
13.0,34.0,0.34063014136878195,2.0,2.0,0.23750000000000004
3.0,162.0,0.03235268321894636,3.0,1.0,0.23750000000000004
13.0,47.0,0.07236232635314473,3.0,0.0,0.23750000000000004
4.0,59.0,0.1961122702212008,4.0,2.0,0.23750000000000004
3.0,261.0,0.12955347655570804,0.0,0.0,0.23750000000000004
6.0,86.0,0.0501471508741021,2.0,1.0,0.23750000000000004
9.0,64.0,0.146088767509386,3.0,0.0,0.23750000000000004
6.0,107.0,0.37231753715433036,3.0,1.0,0.23750000000000004
11.0,183.0,0.2448623156360601,1.0,1.0,0.23750000000000004
6.0,57.0,0.4055184556927116,3.0,1.0,0.23750000000000004
6.0,97.0,0.0704385774456798,1.0,1.0,0.23750000000000004
12.0,128.0,0.3884789527677081,0.0,0.0,0.23750000000000004
11.0,216.0,0.11772959444360558,4.0,0.0,0.24375000000000002
9.0,43.0,0.2039385202577659,4.0,2.0,0.24375000000000002
4.0,76.0,0.090634660015834,2.0,0.0,0.24375000000000002
0.0,66.0,0.02191725750013554,4.0,1.0,0.24375000000000002
6.0,270.0,0.34847086153581985,3.0,1.0,0.24375000000000002
10.0,63.0,0.4801349733773946,1.0,1.0,0.24375000000000002
2.0,196.0,0.2756655726945774,3.0,1.0,0.24375000000000002
11.0,38.0,0.10977954928405412,2.0,2.0,0.24375000000000002
11.0,79.0,0.4980834127583345,4.0,0.0,0.24375000000000002
6.0,185.0,0.17531940081563635,3.0,1.0,0.24375000000000002
12.0,134.0,0.437519826440126,0.0,1.0,0.24375000000000002
14.0,171.0,0.0419946232037443,3.0,3.0,0.24375000000000002
6.0,89.0,0.49792847689732034,0.0,0.0,0.24375000000000002
0.0,260.0,0.0171861844115588,1.0,3.0,0.24375000000000002
4.0,27.0,0.05771719461210123,4.0,0.0,0.24375000000000002
5.0,238.0,0.2680984153878866,0.0,0.0,0.24375000000000002
14.0,288.0,0.45005466917497633,0.0,0.0,0.24375000000000002
13.0,11.0,0.028960357510278777,3.0,0.0,0.24375000000000002
8.0,2.0,0.008677260424731208,0.0,1.0,0.24375000000000002
13.0,122.0,0.048354866937776575,3.0,0.0,0.25
0.0,251.0,0.08983525010765267,3.0,0.0,0.25
14.0,169.0,0.34613835157235795,3.0,2.0,0.25
14.0,210.0,0.042427582941965275,0.0,0.0,0.25
8.0,20.0,0.25605096802829463,3.0,3.0,0.25
14.0,168.0,0.17049365201187133,4.0,0.0,0.25
9.0,30.0,0.3250998446007679,3.0,2.0,0.25
11.0,116.0,0.44330898416311404,4.0,0.0,0.25
12.0,190.0,0.05464032100132846,0.0,1.0,0.25
6.0,283.0,0.10627351708042704,3.0,3.0,0.25
9.0,160.0,0.31409642205410454,0.0,1.0,0.25
10.0,100.0,0.27880345655134564,2.0,4.0,0.25
3.0,80.0,0.18548225925286876,3.0,1.0,0.25
6.0,153.0,0.162551196616195,3.0,1.0,0.25
6.0,102.0,0.3952596197417555,3.0,1.0,0.25
6.0,119.0,0.07919267011343165,3.0,1.0,0.25
6.0,75.0,0.2989424415113938,1.0,1.0,0.25
