C,kernel,gamma,decision_function_shape,loss
0.8672688007354736,rbf,2.394533395767212,ovr,55.93749999999999
12.377247585540772,3.0,0.5765153604601614,1.0,75.3125
12.531370043120042,3.0,1.7568495495896477,1.0,82.1875
0.08178743382783571,0.0,14.443370925095254,0.0,84.6875
12.364082336425781,rbf,1.9375745058059692,ovo,84.6875
12.638309478759766,rbf,2.7827727794647217,ovo,86.25
12.655555383913384,3.0,3.457857100839981,1.0,86.25
11.672409947854407,3.0,3.6036690832438425,1.0,86.5625
0.760793924331665,rbf,5.9176859855651855,ovr,86.5625
11.499930894332222,3.0,3.813603948963995,1.0,86.5625
10.496468544006348,rbf,5.448771953582764,ovo,87.1875
12.9103924344968,3.0,4.178134689375977,1.0,87.1875
0.35566897437591294,3.0,16.27881086849411,0.0,87.5
13.735607358194894,3.0,4.430282901448899,1.0,87.5
1.9732971388483906,3.0,5.533562905090025,0.0,87.5
13.211726188659668,rbf,4.769748687744141,ovo,87.8125
11.906639099121094,poly,10.056079864501953,ovo,89.0625
15.164625501218133,2.0,12.85203624020045,1.0,89.0625
7.064156532287598,poly,5.197211742401123,ovo,89.0625
13.469880104064941,poly,11.987689971923828,ovo,89.0625
10.970552769398617,2.0,14.749330732202793,1.0,89.0625
5.893889418969502,2.0,13.310712977771074,0.0,89.0625
14.643531799316406,poly,14.080737113952637,ovo,89.0625
12.435464859008789,poly,13.015356063842773,ovo,89.0625
7.457940114216244,2.0,5.105137806882219,1.0,89.0625
10.082404136657715,poly,9.009522438049316,ovo,89.0625
12.798323631286621,poly,11.975788116455078,ovo,89.0625
4.796946592350446,2.0,3.4569895632345045,1.0,89.0625
4.2545599937438965,poly,4.350043773651123,ovo,89.0625
12.362154006958008,poly,11.314950942993164,ovo,89.0625
13.964704513549805,poly,12.972352981567383,ovo,89.0625
10.983751094928976,2.0,7.506933008582321,1.0,89.0625
7.634113788604736,poly,8.663055419921875,ovo,89.0625
9.267579206993481,2.0,1.08497526105914,1.0,89.0625
0.053082926658349905,2.0,6.640243403679717,0.0,89.0625
18.053795402434726,2.0,11.871486004108327,0.0,89.0625
10.406832695007324,poly,8.352869033813477,ovo,89.0625
19.43189951791435,2.0,18.391493972272798,1.0,89.0625
10.365447927899767,2.0,9.603650044080139,1.0,89.0625
16.361734407514174,3.0,7.068853567991702,0.0,89.375
10.429031372070312,rbf,7.375725269317627,ovr,89.375
15.293968200683594,rbf,7.139472007751465,ovr,89.375
14.657421112060547,rbf,6.855012893676758,ovr,89.375
17.270097732543945,rbf,7.611456871032715,ovr,89.375
8.956675153705648,3.0,7.735538141491547,1.0,89.375
9.998266339428387,3.0,8.238427573393496,0.0,89.6875
7.581840991973877,rbf,8.462194442749023,ovo,89.6875
8.363783836364746,rbf,8.275751113891602,ovo,89.6875
8.243275852473808,3.0,8.900636086341144,0.0,90.0
8.927885055541992,rbf,9.842617988586426,ovr,90.3125
9.276293754577637,rbf,10.396110534667969,ovr,90.625
6.158983773632661,3.0,10.38142067617386,1.0,90.625
2.9328911304473877,rbf,12.621105194091797,ovr,91.5625
4.962343215942383,rbf,12.136417388916016,ovr,91.5625
4.174481730820174,3.0,13.074740013364853,0.0,91.5625
8.659573554992676,rbf,13.05693531036377,ovr,91.5625
7.6280953871807995,3.0,12.685998100430595,0.0,91.5625
2.7939046052491996,3.0,14.289022362337276,1.0,91.875
7.381821155548096,rbf,15.539071083068848,ovr,91.875
14.225773070705236,3.0,15.463671196598872,0.0,91.875
10.95659351348877,rbf,14.683189392089844,ovr,91.875
12.606876812382621,3.0,15.033333143357234,0.0,91.875
5.754844748014128,3.0,15.959341829651779,1.0,92.1875
4.509154319763184,rbf,15.79185676574707,ovo,92.1875
0.31178126416093954,0.0,2.4888993327730318,0.0,92.5
16.735629601119058,0.0,3.2956186290794545,0.0,92.5
0.342259260231943,0.0,9.207385944946937,1.0,92.5
9.141609023775123,0.0,19.580500383981573,0.0,92.5
18.429036262063583,0.0,9.74250948686394,0.0,92.5
2.570604581815439,0.0,8.277870714577853,0.0,92.5
3.858923771783631,0.0,14.320646197678604,1.0,92.5
6.638854628820021,0.0,18.16688721617864,1.0,92.5
11.923109465149931,0.0,11.20208149779278,1.0,92.5
15.907406737152764,0.0,0.09856536377086211,0.0,92.5
10.668653739715495,0.0,2.754630845815109,0.0,92.5
1.3639805557324676,0.0,19.84654026952269,0.0,92.5
17.83689461024963,0.0,2.1887344763730847,0.0,92.5
13.288395528491876,0.0,10.983666915539146,0.0,92.5
12.458855274257052,3.0,17.06783519175967,1.0,92.5
17.280792773422117,0.0,0.8014303257235302,0.0,92.5
14.690827563513201,0.0,4.642187124210006,0.0,92.5
9.241703130463856,3.0,16.460796257685814,1.0,92.5
13.657434554276545,0.0,0.05297117314122213,1.0,92.5
15.989321781588574,0.0,11.739703515301361,1.0,92.5
3.35918065400982,3.0,17.158945457397593,0.0,92.5
1.1901082667416139,0.0,1.6474819255212854,0.0,92.5
9.910980503820502,0.0,13.6230899483972,1.0,92.5
19.537260513534566,3.0,19.054020432892955,1.0,93.75
4.886849835799829,1.0,6.273766878851825,0.0,99.375
11.715333221381135,1.0,7.037656594480165,1.0,99.375
14.632020818548694,1.0,10.946791382511481,1.0,99.375
