max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
5.0,6.0,0.009701952836616068,3.0,2.0,0.22499999999999998
5.0,8.0,0.061495764553111204,3.0,2.0,0.22499999999999998
7.0,45.0,0.24174825160337418,3.0,2.0,0.23750000000000004
2.0,17.0,0.2126548265625195,4.0,1.0,0.23750000000000004
2.0,234.0,0.28901757339687123,4.0,0.0,0.23750000000000004
5.0,28.0,0.001298421303050655,3.0,0.0,0.23750000000000004
6.0,71.0,0.03405442074301555,1.0,1.0,0.23750000000000004
6.0,166.0,0.03904183892542397,2.0,1.0,0.23750000000000004
2.0,17.0,0.2577885402490547,4.0,3.0,0.23750000000000004
5.0,8.0,0.06724244730661141,3.0,2.0,0.23750000000000004
5.0,43.0,0.28287616254412784,0.0,0.0,0.23750000000000004
6.0,94.0,0.05502075692313906,2.0,1.0,0.23750000000000004
5.0,119.0,0.007621914116130016,3.0,2.0,0.23750000000000004
7.0,237.0,0.08859804459400956,3.0,2.0,0.23750000000000004
7.0,233.0,0.07934935170101545,3.0,2.0,0.23750000000000004
6.0,72.0,0.054537662840632946,2.0,1.0,0.23750000000000004
3.0,258.0,0.06796786578523933,1.0,1.0,0.23750000000000004
7.0,7.0,0.13235153726616053,3.0,2.0,0.23750000000000004
5.0,28.0,0.020304709533679348,3.0,2.0,0.23750000000000004
12.0,115.0,0.006096481223454459,4.0,1.0,0.24375000000000002
8.0,288.0,0.4481432844818497,4.0,0.0,0.24375000000000002
8.0,127.0,0.02886973079885763,4.0,1.0,0.24375000000000002
5.0,1.0,0.14673723017590296,3.0,2.0,0.24375000000000002
5.0,117.0,0.005083315143245386,3.0,2.0,0.24375000000000002
7.0,166.0,0.13103169492059752,2.0,2.0,0.24375000000000002
8.0,212.0,0.4479535300698593,4.0,0.0,0.24375000000000002
3.0,30.0,0.24406692696224028,1.0,3.0,0.24375000000000002
8.0,17.0,0.06932787764760356,4.0,1.0,0.24375000000000002
2.0,86.0,0.26309873276614953,4.0,0.0,0.24375000000000002
11.0,193.0,0.11327160534216495,3.0,2.0,0.24375000000000002
0.0,245.0,0.21279534347437498,4.0,1.0,0.24375000000000002
2.0,36.0,0.2950902103208442,4.0,3.0,0.24375000000000002
5.0,18.0,0.06172776470541124,3.0,1.0,0.24375000000000002
6.0,63.0,0.03741446843427509,2.0,1.0,0.24375000000000002
7.0,120.0,0.4726451322692295,3.0,2.0,0.24375000000000002
12.0,89.0,0.12104822905028195,4.0,1.0,0.24375000000000002
5.0,21.0,0.05956801264944247,3.0,0.0,0.24375000000000002
5.0,191.0,0.38857220655268326,4.0,0.0,0.24375000000000002
2.0,180.0,0.27144933688113404,4.0,3.0,0.24375000000000002
7.0,45.0,0.24639120859409552,4.0,2.0,0.24375000000000002
9.0,54.0,0.0029052579394181956,0.0,0.0,0.24375000000000002
9.0,103.0,0.4162150136839975,1.0,0.0,0.24375000000000002
3.0,125.0,0.344787094561146,0.0,0.0,0.24375000000000002
5.0,141.0,0.0012232841594121658,3.0,2.0,0.24375000000000002
14.0,222.0,0.3647014962387184,2.0,2.0,0.24375000000000002
2.0,111.0,0.3075711531253318,4.0,0.0,0.24375000000000002
12.0,39.0,0.4202579214822551,4.0,1.0,0.25
12.0,50.0,0.0998162892739865,4.0,1.0,0.25
2.0,33.0,0.3271312140238145,0.0,0.0,0.25
14.0,292.0,0.36772979958657226,2.0,2.0,0.25
0.0,291.0,0.20023650324582656,4.0,1.0,0.25
6.0,19.0,0.0436964110997181,2.0,1.0,0.25
0.0,171.0,0.12890636781707235,4.0,1.0,0.25
0.0,282.0,0.21101980323328445,4.0,1.0,0.25
5.0,178.0,0.01433265123943701,3.0,0.0,0.25
2.0,248.0,0.2652404796781328,4.0,3.0,0.25
7.0,147.0,0.016804303740712567,3.0,2.0,0.25
14.0,41.0,0.39236207398651046,2.0,2.0,0.25
1.0,17.0,0.22875198736514346,4.0,0.0,0.25
7.0,14.0,0.15950365067433006,3.0,2.0,0.25
10.0,181.0,0.4959270458033662,3.0,3.0,0.25
3.0,161.0,0.23121339480261274,4.0,3.0,0.25
5.0,77.0,0.060591562724009104,3.0,2.0,0.25
2.0,198.0,0.2561225680946183,4.0,0.0,0.25
5.0,75.0,0.0641286687960525,3.0,0.0,0.25
14.0,229.0,0.1236303944507126,0.0,1.0,0.25
2.0,91.0,0.19036855027024185,4.0,0.0,0.25
11.0,58.0,0.054870262703799716,3.0,3.0,0.25
6.0,98.0,0.09436619166650217,2.0,1.0,0.25
6.0,187.0,0.012329496742867582,2.0,1.0,0.25
12.0,225.0,0.024798461661997562,4.0,1.0,0.25
6.0,72.0,0.056864542143320276,2.0,1.0,0.25
5.0,29.0,0.00794123388176357,3.0,0.0,0.25
14.0,290.0,0.2015871223676888,2.0,2.0,0.25
3.0,174.0,0.20231663146069848,3.0,4.0,0.25
10.0,44.0,0.3193961064400876,2.0,2.0,0.25
10.0,281.0,0.199954779631698,3.0,2.0,0.25
12.0,288.0,0.3370579596493625,4.0,1.0,0.25
1.0,57.0,0.1368624337900337,4.0,3.0,0.25
4.0,110.0,0.45407706324834735,1.0,4.0,0.25
13.0,217.0,0.43862472069995095,3.0,0.0,0.25
8.0,87.0,0.04997701796758013,4.0,0.0,0.25
6.0,132.0,0.002804759912262189,2.0,2.0,0.25
2.0,86.0,0.16907911920886365,4.0,0.0,0.25
10.0,90.0,0.09600371274455026,3.0,2.0,0.25
10.0,92.0,0.41678768951479456,0.0,2.0,0.25
12.0,115.0,0.01098257071710046,4.0,1.0,0.25
14.0,263.0,0.3937262821748362,3.0,0.0,0.25
0.0,100.0,0.4439336072949511,4.0,0.0,0.25
2.0,97.0,0.4641564097698152,2.0,0.0,0.25
5.0,28.0,0.01130327646965372,3.0,0.0,0.25
7.0,137.0,0.1807876564857385,3.0,2.0,0.25625
6.0,105.0,0.1383263564959652,2.0,1.0,0.25625
7.0,271.0,0.08399868100714769,3.0,2.0,0.25625
2.0,24.0,0.2614240007988773,4.0,3.0,0.25625
7.0,130.0,0.20905067324770965,3.0,2.0,0.25625
5.0,8.0,0.04362402128742918,2.0,2.0,0.25625
7.0,126.0,0.08417024448398665,3.0,3.0,0.25625
5.0,169.0,0.05264169181417803,3.0,0.0,0.25625
6.0,45.0,0.1602270159388227,2.0,2.0,0.25625
4.0,223.0,0.03844900744242681,2.0,2.0,0.25625
6.0,3.0,0.06419716375898817,2.0,1.0,0.25625
4.0,261.0,0.2887783628706895,3.0,0.0,0.25625
9.0,242.0,0.0013217088090939078,1.0,3.0,0.25625
1.0,203.0,0.11762648351269847,1.0,1.0,0.25625
3.0,32.0,0.09342707195094302,1.0,0.0,0.25625
0.0,69.0,0.3334655517964748,2.0,3.0,0.25625
5.0,253.0,0.07138218857395323,3.0,2.0,0.25625
2.0,239.0,0.34431183270628146,4.0,0.0,0.25625
7.0,8.0,0.22331618541450066,3.0,2.0,0.25625
2.0,119.0,0.2966732147852459,4.0,5.0,0.25625
11.0,172.0,0.15607842893721033,3.0,1.0,0.25625
3.0,48.0,0.10430401728988348,2.0,1.0,0.25625
5.0,112.0,0.07006673963699683,4.0,5.0,0.25625
5.0,288.0,0.30064086084338754,4.0,1.0,0.25625
2.0,168.0,0.2260048834970454,4.0,3.0,0.25625
9.0,209.0,0.08632324532431404,3.0,2.0,0.25625
0.0,121.0,0.21316197933839934,4.0,1.0,0.25625
13.0,84.0,0.004729259068069031,4.0,1.0,0.25625
14.0,224.0,0.33766105206467734,0.0,0.0,0.25625
8.0,210.0,0.14358325591621246,4.0,1.0,0.25625
8.0,115.0,0.040134551243724476,4.0,3.0,0.25625
5.0,108.0,0.2793377964432214,0.0,0.0,0.25625
14.0,6.0,0.14340961950803083,0.0,1.0,0.25625
8.0,215.0,0.465626202997626,0.0,0.0,0.25625
11.0,133.0,0.3984844094167076,4.0,3.0,0.25625
5.0,234.0,0.3494408664768951,4.0,0.0,0.25625
3.0,297.0,0.35322120740264135,0.0,1.0,0.25625
6.0,220.0,0.0459699146460922,2.0,1.0,0.25625
1.0,264.0,0.36792390651963064,4.0,0.0,0.25625
2.0,275.0,0.27090254357628785,4.0,3.0,0.25625
4.0,157.0,0.18562614025209193,0.0,5.0,0.25625
2.0,170.0,0.09962165902417262,4.0,1.0,0.25625
13.0,296.0,0.3817815244914985,3.0,2.0,0.25625
7.0,53.0,0.1717346845158426,3.0,2.0,0.25625
10.0,283.0,0.2922142537572727,3.0,3.0,0.25625
2.0,153.0,0.21508269592501983,4.0,3.0,0.25625
4.0,219.0,0.29684902556046827,0.0,0.0,0.25625
7.0,233.0,0.08047797095710607,3.0,2.0,0.25625
1.0,143.0,0.16715105170378108,1.0,1.0,0.25625
13.0,9.0,0.06333807749255094,2.0,2.0,0.25625
9.0,276.0,0.08136958998547308,4.0,1.0,0.25625
5.0,20.0,0.008495894819507658,3.0,4.0,0.25625
5.0,88.0,0.20303824570698767,0.0,5.0,0.25625
10.0,152.0,0.1245506364358951,3.0,2.0,0.26249999999999996
5.0,268.0,0.03600495172010783,1.0,3.0,0.26249999999999996
4.0,285.0,0.2749539151844041,0.0,5.0,0.26249999999999996
7.0,55.0,0.1237899268594124,3.0,2.0,0.26249999999999996
1.0,205.0,0.11369350474788242,3.0,3.0,0.26249999999999996
7.0,175.0,0.15151475939938847,3.0,2.0,0.26249999999999996
5.0,150.0,0.04282124381838058,3.0,2.0,0.26249999999999996
5.0,237.0,0.09976424797454964,3.0,2.0,0.26249999999999996
0.0,179.0,0.06190202126483835,3.0,2.0,0.26249999999999996
14.0,5.0,0.07188701377737959,3.0,2.0,0.26249999999999996
5.0,195.0,0.021073779229349787,3.0,0.0,0.26249999999999996
2.0,201.0,0.33355105138501917,4.0,1.0,0.26249999999999996
7.0,221.0,0.05025859908176311,1.0,4.0,0.26249999999999996
2.0,259.0,0.22015030738517075,4.0,5.0,0.26249999999999996
7.0,237.0,0.11717560094074651,3.0,2.0,0.26249999999999996
8.0,160.0,0.2507487247003114,0.0,3.0,0.26249999999999996
10.0,184.0,0.10466921888120395,3.0,2.0,0.26249999999999996
5.0,6.0,0.023727975777780123,3.0,0.0,0.26249999999999996
1.0,162.0,0.10664346248977583,3.0,2.0,0.26249999999999996
13.0,265.0,0.25112457498718754,0.0,3.0,0.26249999999999996
5.0,267.0,0.09004835487394636,2.0,5.0,0.26249999999999996
13.0,272.0,0.24033657105629908,3.0,2.0,0.26249999999999996
13.0,244.0,0.07993208039334879,3.0,2.0,0.26249999999999996
7.0,79.0,0.051113339512977696,3.0,2.0,0.26249999999999996
6.0,200.0,0.48160560858365387,4.0,0.0,0.26249999999999996
11.0,241.0,0.28511269314749377,0.0,3.0,0.26249999999999996
6.0,202.0,0.14264939261665716,1.0,3.0,0.26249999999999996
3.0,125.0,0.3412559264923445,0.0,0.0,0.26249999999999996
8.0,129.0,0.49919792871192964,0.0,0.0,0.26249999999999996
11.0,134.0,0.1525028671535449,4.0,2.0,0.26249999999999996
11.0,274.0,0.30660956784106713,3.0,2.0,0.26249999999999996
8.0,279.0,0.1830385212969547,4.0,3.0,0.26249999999999996
6.0,123.0,0.24898575428665942,0.0,3.0,0.26249999999999996
8.0,158.0,0.4044204232127936,1.0,0.0,0.26249999999999996
3.0,102.0,0.420383348724528,0.0,1.0,0.26249999999999996
12.0,294.0,0.36720341240779164,0.0,0.0,0.26249999999999996
6.0,212.0,0.48546015253136077,3.0,5.0,0.26249999999999996
1.0,80.0,0.3752212142470044,1.0,0.0,0.26249999999999996
3.0,230.0,0.47443110661169624,2.0,0.0,0.26249999999999996
11.0,167.0,0.22742514938074856,1.0,1.0,0.26249999999999996
3.0,192.0,0.24059694354648914,2.0,1.0,0.26249999999999996
10.0,270.0,0.10986825610225252,3.0,1.0,0.26249999999999996
7.0,289.0,0.156458268346631,2.0,1.0,0.26249999999999996
5.0,227.0,0.02135511148852711,3.0,2.0,0.26249999999999996
9.0,42.0,0.25619521463713635,2.0,0.0,0.26249999999999996
14.0,8.0,0.0722658556237235,3.0,2.0,0.26249999999999996
11.0,229.0,0.4629795783256577,1.0,4.0,0.26249999999999996
5.0,266.0,0.1956980347565828,3.0,2.0,0.26249999999999996
5.0,60.0,0.11474704558046359,1.0,4.0,0.26249999999999996
6.0,166.0,0.04304498901568206,2.0,3.0,0.26249999999999996
10.0,62.0,0.2759195550378503,3.0,2.0,0.26249999999999996
6.0,286.0,0.012285802449221617,3.0,2.0,0.26249999999999996
11.0,22.0,0.15162521772721488,2.0,1.0,0.26249999999999996
