(bogan, bo, jihe)

rastrigins10_100:(0.9008643609845325, 0.2592339124320172, 0)
rastrigins10_200:(0.7449588529167377, 0.46081360841179364, 0)
rastrigins10_300:(0.8675199340988551, 0.2877334462658129, 0)
rastrigins10_500:(0.9837796375722732, 0.05329320093378573, 0)
rastrigins10_800:(0.9617226638500271, 0.11844447374785169, 0)

rastrigins30_100:(0.9959729169398053, 0.028367410661791066, 0)
rastrigins30_200:(0.9969938654763832, 0.02338738677691662, 0)
rastrigins30_300:(0.9746516903763218, 0.08879197557449081, 0)
rastrigins30_500:(0.9898517074136868, 0.04373457334665271, 0)
rastrigins30_800:(0.9767223586147037, 0.0641346855194462, 0)

ackley10_100:(0.9989418290438082, 0.015104903723861182, 0)
ackley10_200:(0.9977929190875255, 0.020678689657314283, 0)
ackley10_300:(0.9925397664721031, 0.03566434081585263, 0)
ackley10_500:(0.9323118504582025, 0.20140448110081124, 0)
ackley10_800:(0.9203935082857917, 0.19113578916574595, 0)

ackley30_100:(0.998751992778105, 0.013803670982359222, 0)
ackley30_200:(0.8905888826428183, 0.21572445284135133, 0)
ackley30_300:(0.9896723221453847, 0.044733832847953306, 0)
ackley30_500:(0.9876233274468649, 0.06728566950276027, 0)
ackley30_800:(0.9801503651159156, 0.07929683322254041, 0)

griewank10_100:(0.9291589540653239, 0.23243736413080748, 0)
griewank10_200:(0.9140891669225549, 0.2650851977359733, 0)
griewank10_300:(0.9127153318816852, 0.2827618319265639, 0)
griewank10_500:(0.997031179104476, 0.04895319931672019, 0)
griewank10_800:(0.948100827754973, 0.19343278677356393, 0)

griewank30_100:(0.9968566475365482, 0.019132675554386098, 0)
griewank30_200:(0.9683405087750612, 0.11919867986745343, 0)
griewank30_300:(0.9853384876701371, 0.044877233063409856, 0)
griewank30_500:(0.979491270220068, 0.08737852923349532, 0)
griewank30_800:(0.9926955129484369, 0.04589269554220308, 0)

nn_100:(0.9823438281712876, 0.14182078138986115, 0)
nn_200:(0.9537515201577842, 0.14383155754911464, 0)
nn_300:(0.7804576871878457, 0.4475368394348764, 0)
nn_500:
nn_800:

svm_100:(0.9530673742217016, 0.07492326087989848, 0)
svm_200:(0.9994538422402977, 0.009481679138054254, 0)
svm_300:(0.926485353694207, 0.6837522348915349, 0)
svm_500:(1.0, 0.7266972689882568, 0)
svm_800:(1.0, 1.0, 0)

xgboost_100:(0.7527218581620007, 0.49801015710499147, 0)
xgboost_200:(0.659804078959769, 0.6582048284501476, 0)
xgboost_300:(0.5802930423941844, 0.6952546002310694, 0)
xgboost_500:
xgboost_800:
