max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
7.7504048347473145,64.03995513916016,0.34293311834335327,0.4796503782272339,1.180984377861023,0.22499999999999998
3.0,204.0,0.49070454626976723,3.0,1.0,0.23124999999999996
7.0,20.0,0.3639138977765968,0.0,0.0,0.23750000000000004
7.0,88.0,0.3805649835213951,2.0,2.0,0.23750000000000004
8.0,84.0,0.26018105310711626,3.0,3.0,0.23750000000000004
8.0,36.0,0.24185817310920685,3.0,3.0,0.23750000000000004
7.0,247.0,0.3645034043504901,0.0,1.0,0.23750000000000004
8.0,110.0,0.45794814419727686,3.0,2.0,0.23750000000000004
5.0,90.0,0.4757306913032223,3.0,2.0,0.23750000000000004
12.0,99.0,0.4267366479493872,3.0,1.0,0.24375000000000002
1.0,75.0,0.41868650848330025,3.0,1.0,0.24375000000000002
5.0,12.0,0.48957035386510317,0.0,1.0,0.24375000000000002
7.0,172.0,0.35916143180801663,0.0,1.0,0.24375000000000002
8.0,260.0,0.3769847648658578,3.0,0.0,0.24375000000000002
0.0,67.0,0.2793958024287816,4.0,1.0,0.24375000000000002
3.0,275.0,0.4968784646230864,3.0,1.0,0.24375000000000002
12.0,36.0,0.2243214080024284,2.0,0.0,0.24375000000000002
14.0,219.0,0.39188721963540585,3.0,2.0,0.24375000000000002
3.0,286.0,0.34856394861407825,4.0,1.0,0.24375000000000002
8.0,15.0,0.29955249559242925,0.0,0.0,0.24375000000000002
7.0,247.0,0.34585445662569086,0.0,0.0,0.24375000000000002
8.0,59.0,0.20946391684635657,2.0,2.0,0.24375000000000002
11.0,247.0,0.2858420424317227,4.0,1.0,0.24375000000000002
14.0,110.0,0.4538126769082298,3.0,2.0,0.24375000000000002
7.0,247.0,0.3567669118230452,0.0,0.0,0.24375000000000002
14.0,176.0,0.21328123266701943,3.0,1.0,0.24375000000000002
3.0,175.0,0.40619264069200806,3.0,2.0,0.24375000000000002
7.0,8.0,0.3373115482961276,2.0,1.0,0.24375000000000002
5.0,46.0,0.4866104735916975,3.0,2.0,0.24375000000000002
4.0,4.0,0.08359811493148925,4.0,0.0,0.24375000000000002
7.0,228.0,0.36143251335226345,0.0,0.0,0.24375000000000002
14.0,106.0,0.4764977726444741,3.0,2.0,0.24375000000000002
8.0,124.0,0.33936387759718695,3.0,0.0,0.24375000000000002
5.0,77.0,0.4841803820395327,3.0,2.0,0.24375000000000002
10.0,214.0,0.41956829252546235,3.0,2.0,0.24375000000000002
7.0,123.0,0.42837625930162865,2.0,1.0,0.24375000000000002
13.0,3.0,0.2368663356410273,3.0,3.0,0.24375000000000002
3.0,204.0,0.34279597169240117,2.0,1.0,0.24375000000000002
5.0,11.0,0.007322787939466391,3.0,3.0,0.24375000000000002
9.0,129.0,0.16736601050746316,0.0,3.0,0.24375000000000002
5.0,111.0,0.03980277922140585,3.0,2.0,0.24375000000000002
4.0,200.0,0.3709164327557428,3.0,1.0,0.24375000000000002
12.0,277.0,0.37748343093480374,3.0,2.0,0.25
7.0,33.0,0.42172054237784495,0.0,1.0,0.25
1.0,278.0,0.1848223011948396,0.0,3.0,0.25
8.0,274.0,0.14909019511345462,3.0,3.0,0.25
8.0,10.0,0.00226586877383006,3.0,3.0,0.25
9.0,152.0,0.44566743679769905,3.0,2.0,0.25
3.0,157.0,0.19733054705510167,0.0,4.0,0.25
7.0,36.0,0.14363544466739803,2.0,1.0,0.25
3.0,155.0,0.3617878681544624,0.0,1.0,0.25
13.0,141.0,0.24042001617888292,0.0,4.0,0.25
8.0,45.0,0.29911233797750786,3.0,0.0,0.25
14.0,40.0,0.35042636695616103,1.0,0.0,0.25
8.0,16.0,0.04749216817976451,3.0,3.0,0.25
7.0,71.0,0.37953317381625384,2.0,1.0,0.25
4.0,0.0,0.46113983363653305,2.0,2.0,0.25
4.0,264.0,0.43988695974660225,3.0,2.0,0.25
9.0,154.0,0.3216105643999664,4.0,5.0,0.25
7.0,198.0,0.3872276772988993,4.0,1.0,0.25
10.0,230.0,0.4266008731108171,4.0,1.0,0.25
14.0,204.0,0.41259440187150276,0.0,1.0,0.25
4.0,195.0,0.3613928443928166,2.0,4.0,0.25
5.0,63.0,0.4998611768190349,0.0,2.0,0.25
7.0,252.0,0.4241713649216395,0.0,2.0,0.25
10.0,107.0,0.15065489470103244,3.0,2.0,0.25
3.0,225.0,0.295388251725638,4.0,4.0,0.25
8.0,35.0,0.4979480684219307,1.0,4.0,0.25
5.0,143.0,0.4773498720224141,3.0,2.0,0.25
10.0,168.0,0.4109234962383463,2.0,2.0,0.25
6.0,65.0,0.4280589664735682,3.0,2.0,0.25
4.0,74.0,0.43551682616795945,3.0,1.0,0.25
9.0,140.0,0.37229194965731394,4.0,1.0,0.25
2.0,95.0,0.48641521502089613,3.0,1.0,0.25
8.0,50.0,0.24255834055229444,3.0,3.0,0.25
5.0,54.0,0.32685233129304114,3.0,1.0,0.25
7.0,48.0,0.31413208565917994,0.0,1.0,0.25
6.041845798492432,122.20925903320312,0.3984387516975403,0.7285617589950562,1.0922449827194214,0.25
7.0,55.0,0.38971153287326415,2.0,1.0,0.25
8.0,289.0,0.0647660277084037,3.0,3.0,0.25
7.786384105682373,126.81884002685547,0.14309744536876678,0.2997004985809326,3.0457911491394043,0.25625
7.0,73.0,0.3037307673612295,4.0,1.0,0.25625
1.0,185.0,0.3964945676659166,0.0,2.0,0.25625
13.0,118.0,0.45215065550479433,3.0,2.0,0.25625
6.579261302947998,111.68826293945312,0.32403892278671265,0.9927308559417725,1.0402345657348633,0.25625
9.0,282.0,0.4532458614726448,3.0,2.0,0.25625
6.882753372192383,139.81024169921875,0.3487469553947449,0.7538548707962036,1.6504900455474854,0.25625
7.0,243.0,0.20273072489862648,0.0,0.0,0.25625
6.0,137.0,0.411086126091739,0.0,2.0,0.25625
7.0,151.0,0.3832409502359452,2.0,0.0,0.25625
7.0,88.0,0.37035681247050134,2.0,2.0,0.25625
12.0,227.0,0.2663774392213137,3.0,3.0,0.25625
7.0,222.0,0.34677099684495694,2.0,1.0,0.25625
13.0,183.0,0.4748519119617637,2.0,2.0,0.25625
11.0,265.0,0.46501624989693063,3.0,2.0,0.25625
8.0,31.0,0.25924020312894724,3.0,3.0,0.25625
10.0,96.0,0.43077000141247385,4.0,5.0,0.25625
8.0,258.0,0.13480257698878628,3.0,3.0,0.25625
2.0,160.0,0.3046288212065938,0.0,1.0,0.25625
2.0,231.0,0.32930856240042344,2.0,3.0,0.25625
10.0,236.0,0.22844628913237797,3.0,0.0,0.25625
7.0,138.0,0.29453769279190267,0.0,0.0,0.25625
11.0,80.0,0.2827587843160362,0.0,1.0,0.25625
3.0,44.0,0.3335710434333544,2.0,0.0,0.25625
2.0,207.0,0.4026954816603014,3.0,1.0,0.25625
13.0,144.0,0.2417782628177997,1.0,2.0,0.25625
14.0,83.0,0.4684328100690689,4.0,1.0,0.25625
14.0,6.0,0.1765908546697294,4.0,4.0,0.25625
3.0,121.0,0.49838727686381473,3.0,4.0,0.25625
2.0,182.0,0.46101391898553756,2.0,1.0,0.25625
