(bogan, boigan, jihe)

rastrigins10_100:(0.2228455017551291, 0.8983556378328718, 1)
rastrigins10_200:(0.19095489743478697, 0.9082737386301779, 1)
rastrigins10_300:(0.5975738429373747, 0.6415597749393015, 0)
rastrigins10_500:(0.6256999586043477, 0.6345359677746737, 0)
rastrigins10_800:(0.19804266704436455, 0.8913573743649552, 1)

rastrigins30_100:(0.5456238284537046, 0.6951983649452816, 1)
rastrigins30_200:(0.43212843194921385, 0.7847581335461692, 1)
rastrigins30_300:(0.2143428393281811, 0.8774919823365405, 1)
rastrigins30_500:(0.24035879334842156, 0.8917349036534759, 1)
rastrigins30_800:(0.6010710698642271, 0.6379447476462774, 1)

ackley10_100:(0.23732691538550132, 0.8792511425326465, 1)
ackley10_200:(0.48251397260786605, 0.7179174884768289, 1)
ackley10_300:(0.3611540977831079, 0.8106331555583629, 1)
ackley10_500:(0.4924856165116261, 0.7365803466024331, 1)
ackley10_800:(0.33603715032750814, 0.8170201880876989, 1)

ackley30_100:(0.39889716527959823, 0.7826607003873305, 1)
ackley30_200:(0.13577437042590823, 0.9477590015350807, 1)
ackley30_300:(0.42490576500443833, 0.7429224864361131, 1)
ackley30_500:(0.5350481917244628, 0.7032804753394485, 0)
ackley30_800:(0.24537293960026405, 0.894284679621833, 1)

griewank10_100:(0.5998429942805659, 0.6884401626803058, 0)
griewank10_200:(0.5943146351119262, 0.6527133681493705, 0)
griewank10_300:(0.3162111189195631, 0.8266661644763651, 1)
griewank10_500:(0.2764004543368671, 0.876047622772786, 1)
griewank10_800:(0.3695413725890567, 0.8318122360979664, 1)

griewank30_100:(0.5768873759688575, 0.6458345686791975, 1)
griewank30_200:(0.641313238780286, 0.6661966508971964, 1)
griewank30_300:(0.36135134696804844, 0.799031157327379, 1)
griewank30_500:(0.36568119842753055, 0.8303800993283795, 1)
griewank30_800:(0.08744453272082106, 0.9676888202601596, 1)

nn_100:(0.6289797768752471, 0.6404718299397338, 0)
nn_200:(0.47082815673862755, 0.7208069941168955, 1)
nn_300:(0.6066423678357985, 0.6514985937637254, 0)
nn_500:
nn_800:

svm_100:(0.5606650312105486, 0.7485928462719191, 0)
svm_200:(0.5218102206772166, 0.757888390969628, 0)
svm_300:(0.6449237112697916, 0.645108037954918, 0)
svm_500:(1.0, 1.0, 0)
svm_800:(1.0, 1.0, 0)

xgboost_100:(0.6341981013168198, 0.6527374975084951, 0)
xgboost_200:(0.5905017077673432, 0.6477640069084202, 0)
xgboost_300:(0.1156254687211229, 0.9453440959194322, 1)
xgboost_500:
xgboost_800:
