C,kernel,gamma,decision_function_shape,loss
0.6624524098350523,3.0,1.8753813238323407,1.0,55.93749999999999
0.1506532330321484,3.0,0.1764671524327346,1.0,56.25
0.8171208573614746,3.0,3.0170752499839457,1.0,63.125
5.277909404282352,3.0,0.547469298896457,1.0,75.0
1.6381707191467285,rbf,1.2259143590927124,ovo,79.0625
4.499932941721475,3.0,1.2293971897995455,1.0,79.0625
4.570055975927104,3.0,1.3898508899772537,1.0,80.3125
6.218449414834535,3.0,1.5908788616245282,1.0,81.5625
5.6370158195495605,rbf,2.1677730083465576,ovo,84.0625
1.770524501800537,rbf,1.8330029249191284,ovo,84.375
1.747551441192627,rbf,1.8144961595535278,ovo,84.375
6.675136566162109,rbf,1.9211236238479614,ovo,84.375
5.888044834136963,rbf,1.8828238248825073,ovo,84.375
4.052641868591309,rbf,1.8228272199630737,ovo,84.375
17.827308654785156,rbf,1.8502312898635864,ovr,84.375
4.579483985900879,rbf,2.0403451919555664,ovo,84.6875
0.07002909198332086,3.0,5.466513275011386,1.0,85.0
19.986812507208572,3.0,0.1841978020797863,1.0,85.3125
6.340139389038086,rbf,2.3064255714416504,ovo,85.3125
5.931910514831543,rbf,2.404533624649048,ovo,85.625
2.160381051643313,3.0,2.5774829151680496,1.0,85.9375
2.854280097053635,3.0,2.324211779960345,1.0,85.9375
3.21665096282959,rbf,2.7192599773406982,ovo,85.9375
0.338847223245617,3.0,7.833273452672213,1.0,86.25
2.097461223367345,3.0,2.7752371401377296,0.0,86.25
19.916889477343503,3.0,3.624789167809912,1.0,86.5625
0.6770127818485902,3.0,6.037915521099036,1.0,86.5625
8.11693286895752,rbf,3.716348886489868,ovo,86.875
14.291543960571289,rbf,3.7442283630371094,ovo,86.875
0.003461846264206564,0.0,8.823109292371079,1.0,86.875
4.893904213550048,3.0,5.234173906256359,0.0,87.1875
1.4484505653381348,rbf,4.21694278717041,ovo,87.1875
10.549489868173968,3.0,4.44293495432701,1.0,87.5
16.119087019036833,3.0,4.875555093004721,0.0,87.8125
12.224597930908203,rbf,4.746018409729004,ovo,87.8125
5.994979418190518,2.0,1.9013555807763303,1.0,89.0625
10.598019788768253,2.0,3.8919506246064595,1.0,89.0625
9.924943923950195,poly,0.5828183889389038,ovo,89.0625
18.571561509007118,2.0,3.47417494833124,0.0,89.0625
5.626150608062744,rbf,6.687017440795898,ovo,89.0625
9.990842819213867,poly,13.918442726135254,ovo,89.0625
16.7537737041845,2.0,15.697037114585424,1.0,89.0625
8.073897361755371,poly,10.486780166625977,ovo,89.0625
8.157295227050781,poly,9.055936813354492,ovo,89.0625
7.373416423797607,poly,2.347377300262451,ovo,89.0625
6.934055805206299,poly,5.169673442840576,ovo,89.0625
7.476838111877441,poly,12.650678634643555,ovo,89.0625
11.81446525089234,2.0,3.391149942401377,1.0,89.0625
6.965680988096578,3.0,5.971323537084435,1.0,89.0625
3.517045651909676,2.0,10.30355282121572,0.0,89.0625
1.8692435498440574,2.0,19.418384673226214,1.0,89.0625
9.711163520812988,rbf,6.242847442626953,ovo,89.0625
7.597476959228516,poly,10.753942489624023,ovo,89.0625
14.350435256958008,poly,16.051090240478516,ovo,89.0625
8.480810165405273,poly,4.803020000457764,ovo,89.0625
3.8820315444165034,2.0,19.903543707098436,1.0,89.0625
8.41195090476045,2.0,0.04255538702247286,1.0,89.0625
8.39527416229248,rbf,5.909585475921631,ovo,89.0625
6.040830135345459,rbf,6.98982048034668,ovo,89.375
4.199798582202121,3.0,7.629963559416663,1.0,89.375
1.6635745221914693,3.0,8.019743659444654,1.0,89.375
4.980653762817383,rbf,7.915571212768555,ovo,89.375
7.210965975616215,3.0,7.252701684864896,1.0,89.375
8.831722259521484,rbf,6.894518852233887,ovr,89.375
5.405924045021057,3.0,8.458636774590047,1.0,89.6875
2.9925982788855956,3.0,9.386496298988565,1.0,90.0
1.203790378684138,3.0,9.98606667894603,1.0,90.3125
8.80877576576745,3.0,11.00368730484577,1.0,90.625
3.6022050488398163,3.0,11.102754118096337,1.0,90.625
2.9328637222991274,3.0,0.05857550024575581,1.0,90.9375
13.280729695588969,3.0,13.623627758665531,0.0,91.5625
5.349713804973761,3.0,12.208378689084459,1.0,91.5625
13.507438156127836,3.0,14.182453110542212,0.0,91.5625
12.88258923726757,3.0,15.284925457934921,1.0,91.875
12.27033821920984,3.0,17.09649695548236,0.0,92.5
14.884339173262582,0.0,12.599520162,0.0,92.5
16.670918510231342,0.0,9.773193346007556,0.0,92.5
18.347827687411687,0.0,14.651495009794706,1.0,92.5
1.3761125648710077,0.0,9.039604123512909,1.0,92.5
7.870517657996827,0.0,18.250293689570633,0.0,92.5
10.760840703598726,0.0,13.00537562434263,1.0,92.5
9.59405612833388,0.0,6.824591438159942,1.0,92.5
2.621829096537807,3.0,16.24370723434085,1.0,92.5
6.637466141682182,0.0,6.664768350524825,1.0,92.5
14.50545005708981,0.0,11.727123469555398,0.0,92.5
0.9968610310472261,0.0,18.785214597218612,1.0,92.5
6.051820194270149,1.0,0.8310130756360248,1.0,99.375
7.46193702564114,1.0,4.096309734712511,0.0,99.375
9.745409899493808,1.0,0.49785431281081927,0.0,99.375
4.928627505035131,1.0,3.244721092280134,0.0,99.375
8.009392528093965,1.0,4.757635484713663,0.0,99.375
15.343445578976109,1.0,10.677644052257186,0.0,99.375
9.230223569117292,1.0,16.94374949657491,1.0,99.375
7.856327355211466,1.0,1.3365553947005966,1.0,99.375
10.058209187926064,1.0,4.532472935949643,0.0,99.375
8.385763173174968,1.0,0.41209823105185195,0.0,99.375
18.476686159357996,1.0,2.1372620407665033,1.0,99.375
12.416965966305524,1.0,6.0221741023731035,0.0,99.375
11.323832215367354,1.0,0.8469998132266217,1.0,99.375
16.224447075582475,1.0,3.107768521680696,1.0,99.375
