(bogan, bowgan, jihe)

rastrigins10_100:(0.955995856926258, 0.1473821611204294, 0)
rastrigins10_200:(0.9392048673010226, 0.1442765338674816, 0)
rastrigins10_300:(0.9392048673010226, 0.1442765338674816, 0)
rastrigins10_500:(0.6444797405698565, 0.6323295733986838, 0)
rastrigins10_800:(0.636057123962473, 0.6352760015203153, 0)

rastrigins30_100:(0.7059773735183887, 0.5106691204927668, 0)
rastrigins30_200:(0.7755014031005225, 0.4681522475629672, 0)
rastrigins30_300:(0.7651020866927961, 0.44683855302674375, 0)
rastrigins30_500:(0.91235865746289, 0.19292576518318452, 0)
rastrigins30_800:(0.6372081096161332, 0.6259541280007087, 0)

ackley10_100:(0.9458319244098179, 0.1336647269156628, 0)
ackley10_200:(0.9476951471975185, 0.1522284819359475, 0)
ackley10_300:(0.8531941786151538, 0.3094128337434987, 0)
ackley10_500:(0.9509831768820806, 0.13435351393154926, 0)
ackley10_800:(0.8119071885208068, 0.3741981410790192, 0)

ackley30_100:(0.9030132274611483, 0.22484948690405313, 0)
ackley30_200:(0.00780831921871747, 0.999592727492638, 1)
ackley30_300:(0.028732576323285162, 0.9918876393986057, 1)
ackley30_500:(0.9478552167788457, 0.1296440033507073, 0)
ackley30_800:(0.5556710674681875, 0.6583739361326497, 1)

griewank10_100:(0.8089088369482667, 0.4138938932353282, 0)
griewank10_200:(0.8737822282882476, 0.3127336305006488, 0)
griewank10_300:(0.6484722457362699, 0.6008015174414262, 1)
griewank10_500:(0.924603967180542, 0.20089945796544392, 0)
griewank10_800:(0.7855882242119535, 0.46753126990084287, 1)

griewank30_100:(0.168100451010713, 0.9240300503644171, 1)
griewank30_200:(0.03394904309082436, 0.9908456319277762, 1)
griewank30_300:(0.6554233177951703, 0.6148090024539338, 1)
griewank30_500:(0.5260819200548729, 0.6584989543769244, 1)
griewank30_800:(0.2828110998056028, 0.8549940695790059, 1)

nn_100:(0.9698377913797955, 0.09328775121136043, 0)
nn_200:(0.6814959236695278, 0.5968196698663102, 0)
nn_300:(0.8605141657506095, 0.28867203690919235, 0)
nn_500:
nn_800:

svm_100:(0.6406468364036022, 0.6382613527912572, 0)
svm_200:(0.6560052435629657, 0.632604850538263, 0)
svm_300:(0.6841257113306328, 0.6255549751486764, 0)
svm_500:(1.0, 1.0, 0)
svm_800:(1.0, 1.0, 0)

xgboost_100:(0.6557617129746015, 0.6507223374570809, 0)
xgboost_200:(0.6513122806452946, 0.6526930644572378, 0)
xgboost_300:(0.5021251991459647, 0.7536115264807135, 0)
xgboost_500:
xgboost_800:
