x8,x9,x10,x1,x2,x3,x4,x5,x6,x7,y
-1.783566,-0.824548,1.298983,2.609025,-3.695404,0.677327,1.056936,2.257066,-1.80535,0.210573,133.743004
-1.789797,-0.851516,1.308893,2.657667,-3.692924,0.70128,1.072498,2.281515,-1.781248,0.220792,135.104572
0.197111,-0.753713,-1.770028,-0.485382,2.264192,3.136663,0.116467,-1.321297,2.594134,1.159306,135.326763
-1.786497,-0.891142,1.282963,2.57753,-3.737934,0.615197,1.117677,2.266008,-1.811405,0.305897,135.875997
0.165564,-0.74258,-1.83221,-0.444125,2.264201,3.083457,0.14874,-1.324299,2.580982,1.177797,136.262196
0.203858,-0.78856,-1.773591,-0.507967,2.276588,3.157655,0.144397,-1.275452,2.622872,1.134408,136.423447
0.105938,-0.750452,-1.833589,-0.487179,2.302025,3.099319,0.178053,-1.316613,2.606195,1.129821,136.915322
0.12458,-0.819088,-1.782867,-0.509006,2.32766,3.117415,0.165699,-1.318017,2.612963,1.143579,137.113923
-1.827704,-0.832748,1.26506,2.617549,-3.714839,0.71131,1.074337,2.322635,-1.838689,0.283093,137.374144
-1.827027,-0.851119,1.294475,2.640945,-3.747742,0.631244,1.079372,2.308941,-1.833012,0.289738,138.305109
-3.072196,-1.035925,-0.211471,1.402602,-3.863905,-3.923916,0.288424,0.00815,0.021915,0.417632,165.187618
-3.088021,-1.113463,-0.268877,1.4321,-3.794413,-3.932679,0.263838,0.096708,0.058052,0.426158,167.028751
-3.112314,-1.08971,-0.247222,1.415986,-3.878014,-3.894645,0.263323,0.000943,0.042299,0.428886,167.953896
-3.131099,-1.052872,-0.230232,1.386686,-3.845811,-3.932337,0.212018,0.034459,0.099787,0.423377,168.330615
-3.152922,-1.049011,-0.271886,1.41313,-3.846387,-3.903241,0.250333,0.072934,0.03243,0.500848,169.502085
0.925258,0.68322,2.580892,2.889196,2.867877,-3.331315,4.091456,1.157086,-1.99058,-0.39893,234.292566
0.983751,0.696016,2.60778,2.939345,2.944347,-3.293282,4.022174,1.187391,-1.991832,-0.31399,234.877956
0.940865,0.617374,2.58135,2.969405,2.947666,-3.323807,4.085792,1.184048,-1.993756,-0.399612,235.236597
0.932918,0.711806,2.577621,2.934019,2.930848,-3.345049,4.058357,1.220182,-2.008637,-0.361625,235.768663
0.936875,0.677609,2.654397,2.877721,2.890891,-3.378769,4.010794,1.143451,-2.002787,-0.309209,236.475986
