x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y
2.792348,-20.912813,10.945752,22.860706,5.192618,-9.783805,5.222898,-31.190077,13.937442,6.22444,-3.333923,22.47357,18.627054,8.126021,0.258237,4.790781,25.071221,-23.92094,7.654501,-23.901118,-0.345556,25.915475,11.94236,20.48138,-4.782321,-1.526236,18.884848,-23.300421,10.910626,-11.309884,30.261558
3.182686,-20.319961,10.618693,22.870593,4.789515,-9.604419,4.923701,-31.152686,14.28207,6.129511,-3.490367,22.894908,18.970274,8.006504,0.307157,4.838749,24.962412,-23.783936,7.563933,-24.034099,-0.647819,25.654029,11.849617,20.751314,-4.819006,-1.344423,18.898569,-23.485305,10.825718,-11.193936,30.321787
6.023755,-0.19342,7.146874,-26.528631,21.7336,-4.130318,11.539634,6.066185,-11.860429,27.245941,-30.279989,0.164194,12.101969,15.073232,-26.515051,20.849697,-16.975988,-0.01396,22.071537,-4.22966,-22.723151,21.20707,-13.907492,10.916009,-24.176787,23.656086,-9.058366,-16.458065,-8.336343,-10.069559,30.341611
5.999657,-0.322627,6.886049,-26.310622,22.130511,-4.419933,11.400588,5.991674,-12.427781,27.191019,-30.392116,0.001423,11.845153,14.842859,-26.284022,20.849559,-16.98053,-0.046022,21.813761,-4.059213,-22.681301,21.164848,-14.016049,11.093027,-23.774005,24.104711,-8.809692,-16.529907,-8.114005,-10.19302,30.341907
6.364804,-0.272138,6.751806,-26.856384,21.931483,-4.026834,11.645692,6.070398,-11.88822,27.037442,-30.256711,0.149149,12.106191,14.574941,-26.613505,20.908865,-16.94045,-0.007344,21.752239,-4.327087,-22.594104,21.28768,-13.832402,10.75302,-23.8765,24.087208,-9.109838,-16.661965,-7.904161,-10.124393,30.351715
-4.174404,-22.985193,0.994615,-11.615955,-21.149432,-26.544628,24.033897,-7.796913,-19.143184,-13.282248,8.116672,-13.116734,28.538973,2.777946,7.989651,10.103342,15.470848,-5.202176,1.055618,-30.974429,17.663735,-19.202873,17.307268,29.030433,26.146254,15.852287,-3.101848,-25.055161,4.225811,-6.284418,30.367279
2.920583,-20.450359,10.950534,22.919222,5.006743,-9.237755,5.034482,-31.425913,14.256676,6.188558,-3.663508,22.753386,18.46393,7.962224,0.361241,4.881126,25.435416,-23.774934,7.475984,-23.949446,-0.213493,25.952588,11.990636,20.531775,-4.791689,-1.350824,18.60254,-22.982959,10.744335,-11.26514,30.375508
-2.546283,29.699179,-24.984441,13.328901,12.316127,-3.529428,25.074369,20.305011,-5.71196,23.057945,5.691255,18.918545,-16.142023,-18.553123,20.129937,-9.803563,13.853291,15.522239,26.42821,8.401374,25.806389,7.885181,-2.257979,15.187628,1.020173,-0.222576,11.67937,-6.841298,8.70927,-8.030739,30.377267
-24.060405,8.019129,-4.822976,-10.988901,-9.214911,7.257241,-12.69395,7.751451,-2.61332,11.147846,-31.867596,17.780092,11.1512,0.267542,-27.315339,-22.987218,0.862164,16.576061,29.546244,12.018764,24.263124,-1.245199,-11.835953,-2.328662,26.715144,-14.232198,18.200969,25.851242,5.622702,10.049395,30.380612
26.595827,-8.986667,-8.380186,-28.165708,-14.890184,15.812277,-9.67803,-21.960855,16.820351,-1.02976,-7.551324,6.990583,7.123837,-25.101719,-16.878872,-20.03694,-14.094568,21.875788,-9.731315,26.061897,-13.450218,-11.753255,25.664364,-30.145271,-18.954428,-6.092018,2.017066,21.935376,9.315985,18.436383,30.392235
