x8,x9,x10,x1,x2,x3,x4,x5,x6,x7,y
-3.069159,2.584984,5.884488,-8.82928,0.330701,5.022701,4.400658,-3.487729,-3.812642,-2.718064,73704.60344
-3.082298,2.465531,5.858892,-8.831704,0.308783,5.151021,4.565758,-3.454796,-3.916552,-2.785715,75144.95337
-3.035508,2.50723,5.919233,-8.857684,0.251146,5.002679,4.405917,-3.563137,-3.960397,-2.654657,75482.687
-3.08671,2.460855,5.936907,-8.970069,0.352587,5.09325,4.417213,-3.446421,-3.820875,-2.741611,75757.0953
-2.598869,4.505174,2.341205,-3.30602,8.420766,1.524375,-1.552679,0.338827,-1.64033,-4.629106,76094.38434
-2.441136,4.405759,2.382726,-3.223543,8.524224,1.449177,-1.468296,0.307747,-1.644387,-4.624805,76218.62026
-3.054593,2.434665,5.926008,-8.903655,0.209118,5.177955,4.52363,-3.531359,-3.873578,-2.756871,76951.08588
-2.557833,4.496579,2.25142,-3.252688,8.531628,1.54825,-1.599921,0.200765,-1.786865,-4.623669,78009.4079
-3.142787,2.405358,5.965968,-8.875258,0.274469,5.101133,4.485159,-3.577667,-3.874771,-2.752919,78086.29801
-2.475647,4.472484,2.355735,-3.395712,8.496027,1.430877,-1.586869,0.371133,-1.632031,-4.76381,78435.93817
-3.179796,2.453951,5.966728,-8.91855,0.333427,5.173957,4.59164,-3.400327,-3.88767,-2.652829,78530.22995
-2.541466,4.478921,2.362852,-3.259956,8.556371,1.402164,-1.587651,0.296766,-1.711145,-4.667467,78801.54102
-2.434615,4.526643,2.397061,-3.222422,8.584722,1.550622,-1.457561,0.362918,-1.655268,-4.654801,79431.12548
-2.58832,4.486466,2.364095,-3.27904,8.579576,1.581209,-1.539249,0.31445,-1.768166,-4.657987,79476.72693
-3.083448,2.479977,5.995669,-8.947075,0.37963,5.139307,4.524577,-3.594038,-3.992124,-2.706084,79989.41583
-2.500487,4.596128,2.266439,-3.29942,8.594553,1.443369,-1.421362,0.31615,-1.691963,-4.798795,82614.19464
-0.856654,0.867741,0.639144,-2.125008,2.216967,-9.221744,-2.422796,-0.71072,-6.503935,2.241273,132289.6306
-0.839421,0.953708,0.762243,-2.015189,2.362452,-9.286957,-2.526269,-0.698506,-6.507651,2.218814,134895.9963
-0.965814,0.93104,0.631274,-2.166676,2.340648,-9.345979,-2.568451,-0.739107,-6.429623,2.37648,135591.0435
-0.879201,0.876808,0.718397,-2.027201,2.310127,-9.335222,-2.582406,-0.728779,-6.453167,2.373654,135796.8036
-0.850695,0.820158,0.616969,-2.184906,2.203953,-9.295389,-2.541066,-0.612918,-6.530997,2.335826,136112.1977
0.990949,1.374487,4.430444,4.000221,-7.656818,-4.229621,-1.255407,0.986028,-7.303594,5.024151,136496.79
0.856372,1.296861,4.452479,4.169021,-7.744083,-4.252476,-1.316108,0.931335,-7.201384,5.156192,136668.4357
-0.932764,0.843373,0.746288,-2.182619,2.220033,-9.276347,-2.510447,-0.665585,-6.576995,2.38097,136753.6927
-0.800882,0.976536,0.706447,-2.080504,2.21336,-9.294447,-2.537099,-0.672199,-6.588328,2.291724,137629.105
-0.979937,0.994232,0.630694,-2.153848,2.380595,-9.329906,-2.499479,-0.798864,-6.533766,2.398784,137727.6996
0.896749,1.308124,4.431285,4.153982,-7.740493,-4.314684,-1.236829,0.887218,-7.309183,5.009546,138170.3551
0.960857,1.226281,4.530869,4.025346,-7.783716,-4.372535,-1.233123,0.846282,-7.248052,5.016055,138422.3227
0.911817,1.267114,4.50308,4.09207,-7.708119,-4.360957,-1.231352,0.879617,-7.244446,5.179459,139417.6534
0.920206,1.233934,4.557905,4.022857,-7.669485,-4.341727,-1.222779,0.851871,-7.322669,5.029444,140028.7817
0.839465,1.202556,4.455417,4.152825,-7.696314,-4.376859,-1.262233,0.894612,-7.327456,5.128684,140919.7938
0.879023,1.260759,4.529548,4.192166,-7.726126,-4.348744,-1.295019,0.913418,-7.302571,5.157434,141735.9541
1.557254,5.216357,4.849059,5.503033,1.928679,-6.837196,7.8472,4.227191,0.125595,4.49029,150715.1533
1.489368,5.249376,4.804972,5.577756,1.963857,-6.891912,7.836298,4.28891,0.125768,4.579964,152465.5004
1.409381,5.247134,4.910428,5.542374,1.849566,-6.985411,7.837246,4.243325,0.11371,4.56242,155472.6486
1.614997,-3.957847,-7.20943,5.724868,-2.346366,5.415985,-2.00685,-1.605129,1.253369,5.20265,155631.5621
1.404649,5.330546,4.874883,5.452955,1.829194,-6.81956,7.931236,4.286931,0.143203,4.452415,155970.6612
1.422852,5.31611,4.944173,5.493439,1.932888,-6.854245,7.885126,4.344317,0.163139,4.454147,156104.8793
1.453763,5.374655,4.801861,5.544677,1.93163,-6.926265,7.907252,4.383656,0.165491,4.430459,156829.7443
1.776777,-3.868952,-7.233505,5.661889,-2.202116,5.52825,-2.168042,-1.75292,1.304784,5.262724,158031.748
3.534291,1.931934,0.970128,-5.252376,-7.859055,-6.654848,-6.42334,3.193823,2.968973,6.847632,158259.0157
1.488063,5.291656,4.829464,5.58745,1.917058,-6.88419,7.973161,4.355134,0.061498,4.577814,158465.7022
1.459981,5.393596,4.919654,5.553131,1.844173,-6.937325,7.886571,4.202014,0.181511,4.586187,159358.6392
1.79753,-3.896282,-7.258007,5.784308,-2.338115,5.407676,-2.084095,-1.739763,1.222025,5.308551,159682.7706
3.523753,1.881563,0.932215,-5.205076,-7.920679,-6.617561,-6.471043,3.102278,2.926604,6.873571,160092.7087
1.626854,-3.893086,-7.266383,5.735464,-2.3307,5.46,-2.107326,-1.738973,1.38435,5.352309,161331.585
1.619566,-3.9148,-7.263088,5.774792,-2.245911,5.540187,-2.052284,-1.711776,1.211701,5.332479,161681.3292
1.712316,-3.936287,-7.273664,5.658493,-2.276205,5.556675,-2.081205,-1.787036,1.214825,5.318953,162520.2457
3.430426,1.827484,0.822239,-5.291079,-7.997694,-6.708774,-6.464646,3.130679,2.861762,6.874519,162538.2307
3.423177,1.944896,0.832194,-5.329315,-7.935603,-6.66311,-6.480019,3.002127,2.892813,6.928852,162620.8488
1.653511,-3.971985,-7.310385,5.795471,-2.332954,5.506813,-2.072577,-1.774598,1.236449,5.21742,163256.1751
3.583761,1.990347,0.980704,-5.348095,-7.817777,-6.782718,-6.499805,3.176219,2.863276,6.912256,163561.9735
3.503473,1.971159,0.944862,-5.281251,-7.974541,-6.625626,-6.51992,3.13864,2.948041,6.929095,164192.6207
3.563451,1.9403,0.846048,-5.28576,-7.863335,-6.774441,-6.577889,3.175174,2.977661,6.924208,166062.9478
3.480678,1.912179,0.825747,-5.360428,-7.985589,-6.661126,-6.551287,3.198899,2.952509,6.988949,167864.4868
1.616178,-3.893693,-7.367351,5.719312,-2.286427,5.549361,-2.062551,-1.619556,1.258383,5.330505,168228.7602
0.100806,-6.339915,-0.820829,0.569682,-6.060689,4.418513,-1.092668,8.422029,3.447657,-3.029863,180578.5126
0.012798,-6.307305,-0.906914,0.563429,-6.191883,4.554062,-1.196189,8.41462,3.518858,-3.021826,181173.6538
0.147149,-6.344278,-0.934605,0.461886,-6.091365,4.524262,-1.149349,8.423732,3.44458,-3.129162,181942.19
0.06693,-6.371687,-0.835221,0.478904,-6.155296,4.447725,-1.046444,8.435057,3.574328,-3.09093,183737.6999
0.13863,-6.378448,-0.91132,0.502255,-6.186831,4.519173,-1.176975,8.428999,3.515726,-3.016083,184059.3289
0.194154,-6.277844,-0.98301,0.419337,-6.123379,4.460821,-1.132699,8.551381,3.403408,-3.108332,185527.4816
0.179376,-6.373109,-0.836471,0.538297,-6.022997,4.514521,-1.187605,8.517614,3.597784,-3.182775,187519.5193
0.052661,-6.39567,-0.835926,0.467878,-6.157576,4.457337,-1.196001,8.560246,3.567785,-3.199162,191400.6447
2.730817,-4.535766,-1.775703,9.754911,-1.911347,-8.427856,5.590999,-5.280974,0.861333,7.406839,193134.7379
