x8,x9,x30,x10,x12,x11,x14,x13,x16,x15,x18,x17,x19,x21,x20,x23,x1,x22,x2,x25,x3,x24,x4,x27,x5,x26,x6,x29,x7,x28,y
8.39139,-2.829014,-7.420706,-2.983535,-0.186577,-2.476658,3.488289,-6.389918,-0.148641,7.678607,2.896953,4.554199,5.700359,-2.733652,0.49715,-5.635019,7.050994,1.736838,-5.231785,5.889023,-6.092347,6.657197,-0.673312,0.184317,9.503615,5.214679,6.115757,-4.376595,-5.656937,-3.377928,1745239.135
-7.596201,-0.444652,-2.928594,-2.756658,8.514816,5.94237,-1.494469,-6.899719,0.010082,2.766851,5.606962,1.041583,4.039976,-6.945897,1.069028,2.073961,5.203285,-0.072854,-6.649492,-5.125585,4.410619,-0.365092,-1.220117,7.273952,0.541231,-3.773999,6.901084,-6.695005,1.526566,-7.769087,1929113.286
-3.097102,9.801389,0.199779,3.434497,-3.373403,-5.482375,3.399641,1.590135,1.294914,6.73599,7.199717,-1.335211,-3.064153,1.231942,-3.095712,-5.518891,-3.211427,0.642389,-9.550508,2.903704,-3.400897,-6.975044,-8.012866,8.122545,-2.774313,-6.49345,4.254926,1.798178,1.777321,-4.96182,1972232.49
-9.13644,1.232412,5.027817,-2.53798,-2.553393,5.072726,2.459257,5.479745,4.110447,-2.683673,5.167363,-1.765525,-1.052303,-6.247252,2.369388,-4.246019,-9.571042,8.32336,-8.337369,-2.808708,7.388821,-2.515877,-1.904454,-1.029485,-5.626318,2.956706,-7.363386,-3.032343,3.266684,-8.7559,1973651.346
2.958623,-5.800627,3.800824,-0.07804,-3.689608,2.246135,3.136632,-5.090075,-3.24703,8.160751,-1.503669,5.866392,-1.529349,1.482712,7.266247,0.575241,-4.879898,2.130555,-0.407354,7.825613,1.82248,-7.760368,-6.822351,1.18765,-1.984982,2.274683,0.030162,-0.135465,-7.100318,7.93124,2013013.515
0.782944,8.828956,-0.964241,-3.157767,1.406892,-3.806095,4.564916,4.26645,1.040792,1.210748,8.263946,-6.101265,-0.503666,-2.105445,4.872381,1.528317,2.810945,-1.486072,-5.59836,-3.835295,3.999165,-9.147181,3.631442,-5.590655,1.463795,-3.047676,4.514011,-7.904758,0.91174,1.065499,2071553.112
-7.646541,-4.96063,-5.157084,-9.089461,-6.989421,0.982928,-2.254188,5.924692,2.896869,-3.003895,4.58741,-2.432659,-7.899311,3.551255,-5.559623,2.618387,1.26311,3.956223,-8.143661,-2.698027,-5.045597,5.724293,7.522837,-4.285954,9.250555,5.830042,0.654766,7.64851,-5.014591,-2.696106,2082038.525
-1.042753,-3.780137,3.392679,-3.793142,7.634596,4.610926,-0.245602,3.425003,-7.454641,0.836105,-0.23979,-4.071225,5.962205,-5.142613,3.221339,-7.357108,5.948463,-9.373444,9.739736,6.53127,8.622723,5.093378,2.452151,-3.208865,-9.575432,2.419406,-2.028153,-1.043166,1.886622,-2.892857,2185475.151
5.564605,2.753005,2.738976,-1.234572,1.069072,9.718796,-8.020529,-9.277329,5.174529,7.018662,3.859767,1.73907,-3.796595,0.329343,2.650395,7.241332,-1.764136,4.719984,-1.447404,5.184501,8.250453,-5.503801,-2.14505,-6.687152,-3.063849,6.359371,-7.785468,3.057202,-2.587832,3.511923,2275285.763
-6.536871,-1.164881,6.626797,-5.157534,-6.4237,5.210581,-0.019343,-0.613017,2.337764,3.902605,1.151589,-4.322191,3.854276,-1.82092,-8.411721,-9.457512,8.956,-0.864142,4.546573,3.605602,1.791428,8.384035,-3.760018,-0.590415,-1.079553,5.129522,7.822495,4.459743,-4.349103,0.11897,2353382.233
8.547596,4.669262,4.867703,3.8954,2.207309,-5.297226,-3.780718,-6.594468,-3.771093,5.665239,-5.950812,0.493014,-4.038185,-0.079845,0.112437,0.079383,4.460607,-0.764393,-4.724263,9.008415,7.651203,7.341911,-1.032028,8.207211,1.153518,-6.87128,-0.593707,-2.530296,7.273558,4.611629,2357655.777
4.441571,3.835001,-1.840765,7.903369,-1.903901,-0.173142,-2.625072,4.070736,-9.916395,3.5547,1.90199,6.447392,1.131554,3.312147,2.494852,1.94467,-0.883017,-2.631223,3.096946,2.186161,-5.64371,8.876037,4.626756,-6.220502,-0.152977,8.103597,6.398537,-6.23342,-2.932715,-3.943112,2400662.573
7.285075,-0.627285,-0.336867,-5.469116,-0.486658,2.843501,0.15049,-1.000342,5.510216,4.005077,-1.214968,-8.086683,2.199155,-3.323259,9.233758,4.405224,8.111851,9.127745,-0.214871,-1.636162,-2.577061,3.000507,-5.54657,2.010746,-6.855512,6.870727,0.810831,-5.034747,-8.804579,-6.49999,2476163.745
-3.972194,2.472477,2.37059,7.166993,9.913457,9.172983,-5.225479,-7.618324,7.416593,-4.983686,-2.443895,3.102499,5.383622,7.887103,-2.191357,-0.329619,-5.479023,-3.823886,-7.388046,-5.8771,-3.114681,0.823241,-2.847602,-3.524025,-3.280746,-8.264741,1.184028,-0.257909,7.146918,-2.448059,2482009.155
-2.416729,6.388599,0.481996,9.708459,4.768151,6.504432,3.887759,-1.212408,7.236009,5.119858,-1.028265,9.909988,-5.723106,6.509844,-2.49473,-4.758008,5.701211,5.870749,-7.113156,7.192736,4.782086,-6.45474,6.331634,4.439562,-1.259653,-0.047266,-1.034989,0.94137,-9.343864,-4.740435,2512548.865
4.16041,-3.999267,7.997775,0.245423,-0.783838,4.860404,5.077476,4.810737,3.953824,-3.483513,-9.589153,-2.03309,-9.479776,-3.043644,5.245958,-5.371769,2.621907,6.016006,-1.200612,-3.744237,-6.866975,0.235101,-3.892568,-2.836279,-1.46741,3.579839,-2.424637,6.125351,7.900305,3.765786,2512782.029
