x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y
-384,-147,-47,189,246,-184,-401,282,-54,-26,137.320737
-387,-152,-37,186,240,-191,-396,286,-53,-31,137.324925
-395,-147,-47,188,245,-184,-396,283,-59,-28,138.55951
-386,-152,-45,184,251,-185,-399,287,-57,-28,138.701619
-392,-150,-37,180,246,-190,-404,280,-53,-30,138.950653
-300,-50,145,64,395,175,-246,-305,-84,-295,138.973294
-393,-154,-42,183,246,-181,-405,278,-57,-26,138.975963
-394,-154,-46,191,242,-187,-400,277,-59,-25,138.97915
-306,-52,151,66,391,173,-249,-302,-91,-291,139.199786
-308,-53,150,66,392,170,-244,-309,-95,-288,139.540576
-301,-59,147,64,391,174,-251,-306,-90,-295,139.67628
-301,-52,152,61,390,176,-245,-309,-95,-295,139.690351
-306,-59,151,60,388,177,-248,-300,-92,-299,139.752677
-307,-59,149,68,385,176,-251,-309,-91,-293,140.109842
-311,-56,153,70,385,179,-243,-307,-92,-299,140.901478
-393,-155,-39,188,249,-184,-407,287,-57,-24,141.759657
-125,341,-156,165,146,-211,-62,-10,457,341,145.594406
-123,336,-158,158,150,-215,-60,-7,460,344,146.058959
-127,345,-163,164,154,-206,-61,-2,457,341,146.906328
-120,341,-167,162,149,-209,-61,-11,460,343,146.944638
-126,337,-162,159,145,-215,-60,-6,460,347,146.951419
-125,339,-163,165,144,-204,-69,-8,465,346,147.864507
-126,345,-157,167,144,-210,-67,-7,464,342,148.266107
-131,346,-164,156,151,-205,-60,-1,465,345,148.915401
354,146,420,-184,174,401,-18,66,276,73,159.537741
353,149,424,-191,170,396,-18,69,279,80,160.527109
349,151,424,-187,173,402,-13,68,279,76,160.822499
357,148,424,-183,168,398,-13,71,283,72,160.93235
383,-77,17,52,327,433,232,-253,-39,-267,161.167041
372,-72,12,49,331,432,233,-258,-44,-275,161.178001
354,147,431,-184,168,400,-16,63,279,74,161.574093
383,-74,23,57,329,436,230,-253,-38,-266,161.870903
378,-78,14,50,331,433,234,-254,-44,-273,162.110106
352,145,430,-189,168,402,-15,62,280,82,162.210146
378,-83,23,48,325,437,236,-262,-45,-264,162.299647
355,148,427,-189,178,396,-18,70,284,72,162.384154
380,-80,18,59,327,433,234,-263,-41,-268,162.588348
379,-76,23,58,326,439,238,-255,-37,-273,163.470406
348,154,431,-186,177,401,-13,68,286,82,163.657746
381,-77,19,58,334,441,239,-255,-45,-267,165.074471
54,97,-11,44,505,101,150,-93,-577,-126,165.895065
52,100,-6,40,505,104,145,-87,-579,-125,165.910371
55,99,-8,39,505,96,151,-93,-584,-120,167.389471
57,97,-5,47,504,99,151,-87,-585,-128,167.921868
49,103,-4,40,508,99,155,-90,-582,-130,168.55909
-41,-189,163,-366,291,-231,-220,413,-196,280,168.9385
-46,-185,160,-363,292,-230,-221,414,-196,287,169.224015
49,106,0,44,515,96,146,-95,-579,-131,169.318571
-43,-181,156,-365,293,-236,-226,409,-200,287,169.631323
53,102,0,44,515,104,155,-91,-579,-131,169.898347
55,103,-10,36,513,100,148,-90,-587,-122,170.414256
-36,-190,157,-369,296,-231,-226,412,-203,278,170.62387
-268,55,-52,76,-71,-565,-259,-268,185,314,170.810865
-47,-189,160,-365,292,-230,-216,419,-201,286,170.831108
-47,-191,164,-371,299,-229,-221,415,-196,278,171.45946
-39,-190,166,-363,294,-239,-224,419,-197,279,171.722379
