x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y
-152,96,-218,512,456,-286,4,73,27,208,-43,237,406,-204,260,-427,248,-411,-364,-137,-11,109,35,571,-147,178,172,-208,-9,-282,531.54025
-265,-120,570,-69,54,530,-85,-128,69,-102,11,-289,-121,448,132,-128,37,94,102,27,52,-12,596,-369,135,-566,335,399,332,-182,585.64725
316,353,-109,378,102,-514,237,-55,111,-41,-73,-438,84,-42,-48,-597,320,134,-512,-199,-77,286,284,-490,90,-275,143,328,430,-172,638.139
-53,-47,-387,-33,-85,-206,-64,-298,171,-265,349,297,-115,260,293,-271,167,-192,-254,489,224,-228,316,-389,517,-230,259,-359,576,-510,670.445499
-537,-354,491,10,175,255,-584,-87,298,-196,380,160,-340,6,106,96,113,559,360,107,36,-50,231,302,26,-440,348,-467,-42,-163,678.22775
450,-16,263,-153,-81,146,397,-320,421,361,234,-376,17,485,360,420,146,599,304,-418,-196,-156,-284,-185,10,-88,-48,-442,155,-339,700.444
-408,-31,246,463,-408,169,-203,397,56,153,204,8,26,-201,-357,206,-588,-528,552,537,-207,-142,-202,-61,340,-102,71,-70,417,-223,701.010502
395,-64,-180,-344,15,-591,-404,-536,194,140,132,-407,-317,-319,222,-149,267,-64,-276,-352,337,-302,419,247,-357,109,-119,562,22,-66,704.975502
78,-306,-433,169,-186,216,-227,466,-486,16,-24,-271,-418,-250,-6,-209,-72,-286,-57,127,381,-331,-159,-328,-508,190,-551,-556,-404,111,709.375
-322,-344,-147,-90,546,-97,-386,-222,-205,-310,-325,71,148,-472,-292,-231,-417,-15,278,-339,-435,482,468,-17,-222,355,-35,215,-182,476,720.8195
35,74,291,572,-173,-414,541,4,100,395,-460,172,598,-10,-29,39,26,492,-152,440,-425,306,75,-243,-108,509,-91,-39,297,-198,722.5505
307,-403,173,196,500,-564,-51,224,-22,100,-244,118,294,-114,467,-68,-320,327,-271,363,266,61,-73,484,80,-61,470,60,508,560,722.71275
-304,9,-488,-353,-154,-430,98,37,-223,242,-203,-198,-59,-361,47,-336,599,57,-381,-538,-261,-221,2,421,-241,267,111,-98,599,-427,724.934751
-142,-202,-25,66,435,114,-120,423,-381,412,436,-40,-486,503,490,-171,-92,-100,351,-367,285,546,101,-147,-91,455,394,-321,135,-3,727.492
125,-222,368,-235,342,-164,471,-334,-470,-190,528,211,361,-280,-85,-407,-65,14,-464,-178,-231,97,117,19,118,-444,209,-390,468,508,727.71625
324,206,-546,362,-128,-64,62,157,510,81,-410,373,143,405,414,351,-159,127,596,-390,-512,17,218,253,207,-300,150,258,-179,269,732.878249
467,496,-75,-107,214,268,112,558,-31,126,-455,-184,-195,112,-436,111,123,-550,-14,245,393,-591,84,554,-1,529,-105,-152,-54,51,738.11275
-558,-517,451,254,234,-391,313,-233,-170,401,261,-99,472,53,122,410,-348,211,213,177,-413,144,-54,143,-22,-15,194,369,-563,-369,742.823499
245,-409,300,535,349,-244,361,148,419,-254,-359,-500,334,89,86,583,-28,-347,-134,1,-94,502,-142,-261,-172,-152,-421,-201,-446,106,748.892499
-466,-102,-133,522,-46,-148,178,262,244,500,-90,46,-242,-71,-159,333,470,-89,431,-180,138,-338,67,43,598,564,-361,442,-200,-530,768.62525
45,-528,-326,-283,-401,210,598,-259,565,-177,-268,-139,-277,191,-248,167,263,-81,-30,-572,123,-280,291,77,-493,404,-238,-170,-438,263,771.459251
257,236,-157,-322,263,413,-42,294,-452,-530,-499,26,-13,267,-448,-552,-572,-479,-70,165,485,-96,-10,207,-79,7,448,-51,66,-386,783.2125
-235,-187,-284,341,-520,500,89,311,-76,344,82,-335,445,284,-513,-355,89,70,530,214,230,344,-90,-576,575,-39,30,272,-242,91,787.90325
351,161,-495,-74,-223,-23,-266,264,218,310,314,-88,218,372,-398,4,425,169,-179,-578,-304,-412,213,-596,-405,55,-417,450,206,-417,796.61125
-579,202,277,-1,135,-187,499,-499,126,-381,-504,-32,380,-19,392,314,186,-487,-451,-507,-329,429,-208,-358,-40,276,167,105,-273,-99,804.5035
-205,-390,408,247,-266,-361,-366,-17,4,537,-3,249,190,250,-81,-193,-107,-318,584,583,89,228,487,124,62,-557,507,32,543,-23,806.80925
-124,-550,203,304,321,-224,-434,286,180,90,-190,80,253,234,-503,398,-488,-440,-331,373,515,-241,-16,277,-347,-50,278,355,127,-560,807.18
403,519,-125,-122,-483,-331,-108,-111,207,-323,590,226,344,-438,406,-582,402,-159,-117,232,-157,584,-152,332,-183,-178,-455,7,158,-142,816.0035
105,426,-4,130,-23,190,155,417,80,-109,-387,-70,-156,-550,-308,-37,-332,521,-289,-44,574,157,126,551,561,392,-567,195,246,486,827.3285
519,-93,188,-197,564,9,195,-42,-42,-390,-484,-445,-40,71,174,-319,-502,570,336,75,-227,-128,585,383,-195,14,500,318,-211,-464,835.0915
-278,-249,-248,322,-333,142,300,-453,-521,46,106,417,-295,156,-389,133,-53,244,-197,-396,79,143,464,-436,-516,443,-553,-263,269,-582,853.101996
140,263,395,223,272,-253,490,-568,-133,-146,-581,460,205,39,-553,570,455,298,2,185,497,-444,-188,230,-58,-131,-202,-247,-278,-300,853.4325
-97,-432,-56,-51,-32,201,-465,538,477,180,-405,57,391,384,-104,588,230,-29,63,575,-519,-377,559,-33,163,-411,-133,-216,-224,-398,854.6935
-240,278,150,401,394,561,82,-305,-115,-488,-257,496,-272,-401,-489,86,-253,385,180,-214,156,-146,-31,-523,424,464,-284,231,520,-290,857.697
441,243,420,-364,294,-75,565,-517,322,61,-593,-227,-353,-239,555,-132,5,38,-224,-164,401,353,58,506,487,293,268,298,-262,16,859.665
-115,550,-259,73,-55,-562,-245,103,-436,-15,-102,574,-62,73,25,-570,-400,312,-162,-273,196,312,45,200,512,346,-535,467,-375,-496,863.8135
7,-474,106,86,40,-92,356,377,527,593,203,-571,303,-184,195,544,358,149,-213,-106,-493,190,190,437,587,499,-215,249,-31,-239,863.9015
-82,-467,-96,-535,-471,244,-335,128,440,514,367,-416,-235,-258,240,52,-370,-127,448,50,-120,-76,-254,-547,543,-203,-598,-296,253,36,867.14775
-167,-368,-459,-461,381,403,277,-25,338,269,155,-244,102,-584,-366,237,15,-598,-562,-324,304,85,-108,295,-579,25,40,120,228,572,873.80075
237,-453,382,-214,-354,-316,-229,-146,-131,-299,-162,429,410,-331,-477,-244,-21,117,501,449,-187,-190,-596,-405,-561,223,-302,-413,442,155,885.0635
-255,472,-539,-216,-136,-578,-497,27,556,-552,94,-490,248,-163,279,21,176,263,-302,110,450,214,495,-37,462,-222,-316,420,118,195,886.87675
506,148,441,334,455,82,433,-478,-352,-76,347,-351,-83,335,82,-329,-515,-350,408,-150,177,554,145,-536,-278,-116,-297,132,501,-260,890.82425
185,393,-419,-392,149,447,335,-386,-63,294,178,313,109,-292,-231,561,-267,420,233,387,70,-359,507,225,-210,526,-462,-512,-368,239,893.1315
536,-381,-17,15,-290,-296,583,-8,91,521,-128,449,-256,369,-284,67,-535,-514,19,227,-280,457,-174,-179,102,578,-190,538,379,-274,893.45375
370,223,-357,-513,-557,345,-545,183,18,170,53,-280,536,-487,-109,193,560,281,-101,342,9,261,-288,32,474,364,-164,-397,568,-125,894.22125
211,-156,-582,385,-543,-300,387,324,374,432,-55,472,-26,210,521,-501,134,-181,90,88,-463,-11,-335,144,-161,77,520,-382,-589,-242,896.6495
-405,-577,232,142,474,576,250,228,268,-504,-69,-537,-586,-177,564,435,362,-5,-126,-462,-49,35,-107,-88,-410,193,293,81,78,411,900.7165
-425,-143,119,-143,67,518,-32,-344,-333,-589,551,348,-522,409,-191,271,-108,365,83,-591,-168,79,132,179,383,-368,554,345,227,459,904.828
344,-2,-297,35,192,575,-423,-72,463,160,-176,-145,239,-347,454,-9,539,-148,312,-219,149,-480,-274,185,501,-466,360,-471,-534,516,907.428766
-219,593,-266,212,-589,-339,423,250,-92,227,-287,-123,-492,177,-266,-301,346,-379,144,-540,323,418,356,-285,333,417,-3,412,-496,244,909.403
484,49,579,421,-302,-116,452,-245,162,254,-151,339,162,441,476,-92,-203,96,-187,-478,518,-434,160,397,418,-278,-40,-547,92,-574,912.72475
21,-511,213,490,0,547,289,209,-199,572,-16,-515,-209,-123,-589,219,-372,536,-494,132,-347,-197,303,-194,-97,-393,-178,-266,490,353,917.5525
-15,116,325,-115,532,317,465,-549,-592,-162,-366,487,357,97,-543,-16,-432,-272,56,477,28,125,-572,367,242,90,-480,-236,392,83,925.0835
541,-334,40,-450,-103,-488,523,50,-431,-495,-235,-10,270,-596,-204,-286,-238,-361,-417,-236,245,-62,-579,-414,-231,-333,-472,-371,-80,-90,925.24725
-42,559,-477,-20,563,-127,563,-62,-493,-237,36,283,-510,341,213,240,-216,-109,-443,-488,-41,-39,435,-380,229,-165,461,569,280,-358,928.07675
53,42,-69,-267,414,239,-450,87,-158,-566,476,371,170,474,381,256,73,339,156,-23,-572,599,244,-292,441,480,251,-584,-120,-450,929.68925
-87,92,14,-244,35,285,-9,-581,-542,424,-136,-393,-599,198,-530,367,100,223,-74,-557,330,400,-348,446,-489,254,-16,386,-569,-151,930.940234
197,506,53,-577,285,-32,-314,522,152,112,415,22,-147,-135,183,308,460,-568,327,-59,116,395,-130,579,-390,-501,544,-74,560,287,932.7985
