x8,x9,x10,x1,x2,x3,x4,x5,x6,x7,y
2.060977,0.321472,1.525811,2.331682,1.565645,1.33469,1.057319,0.813833,0.361594,2.517546,-4.476838
2.056345,0.331506,1.521262,2.328172,1.549016,1.324101,1.059806,0.790643,0.35496,2.528497,-4.280201
1.674832,2.050982,0.70651,0.151776,2.731924,1.296375,2.962892,2.200801,1.620657,0.573029,-3.167014
1.637501,0.775659,0.375042,2.172066,0.322383,2.939379,0.471601,1.69736,2.474881,1.882027,-3.164614
1.650651,0.783535,0.370756,2.179053,0.328889,2.936314,0.478545,1.696694,2.463614,1.860388,-2.966089
1.6762,2.058245,0.691384,0.1368,2.752704,1.309622,2.96976,2.20513,1.630727,0.581042,-2.942461
2.465675,2.229977,1.55296,2.439078,1.076233,2.859281,1.135171,2.568078,2.619211,0.682923,-2.863102
2.336077,2.818119,1.953034,2.091918,1.411789,3.061421,1.171014,2.0102,0.708732,0.83416,-2.851181
0.788614,2.105046,2.350149,0.594775,1.498403,2.503625,1.9341,2.334896,2.215273,1.229388,-2.71719
1.568409,0.688373,1.227629,0.872042,0.096883,1.14714,1.092893,1.629973,1.488398,0.600882,-2.655187
0.807148,2.128919,2.353482,0.579449,1.498736,2.482654,1.923455,2.324067,2.210914,1.248812,-2.625672
2.458804,2.243457,1.561129,2.437898,1.0912,2.881949,1.156009,2.573028,2.634964,0.683895,-2.595695
2.331618,2.804419,1.967476,2.098614,1.398431,3.047441,1.185163,2.022496,0.704709,0.827669,-2.592321
0.129807,2.035544,0.728178,1.396389,1.658665,2.258367,2.77121,1.090172,1.635827,0.735322,-2.576446
0.150652,2.012558,0.750412,1.389159,1.656536,2.251475,2.786984,1.084373,1.647136,0.724633,-2.402663
2.879469,0.041485,1.186727,2.040331,0.764203,2.200633,2.921474,1.115027,0.398303,0.937258,-2.299836
2.864728,0.061046,1.176353,2.010871,0.784469,2.227298,2.92756,1.114619,0.377943,0.913114,-2.271281
1.566862,0.668737,1.237897,0.853021,0.121921,1.136061,1.096512,1.611958,1.48682,0.620671,-2.253307
1.392445,0.821859,2.158005,2.362962,0.609395,1.673723,1.262602,1.862017,2.030771,0.010922,-2.240568
1.631635,1.95572,0.601819,0.990551,2.542449,0.071677,1.857874,0.169683,2.727376,0.779316,-2.183047
2.684555,1.382668,2.256444,0.105452,1.573519,2.279973,2.092818,1.134744,2.38572,2.673172,-2.071153
0.824706,1.928019,0.000004,1.193509,1.037993,0.815219,2.213513,0.925519,3.001984,0.798613,-2.063952
1.607951,1.96726,0.597921,0.999701,2.518795,0.072743,1.862077,0.173534,2.711218,0.764449,-2.035489
2.836569,0.231735,2.034457,2.91913,0.145564,2.846023,0.757851,0.621776,0.944297,0.851357,-1.956644
1.42176,0.203674,0.959925,2.527248,2.544134,2.011725,0.953684,0.29212,0.863539,1.450225,-1.956089
1.778992,0.875214,1.117053,2.269093,1.71541,2.461866,1.726777,0.829042,3.024304,1.200379,-1.926833
0.18239,0.143761,2.390002,1.06409,2.719236,1.196452,1.116056,0.006446,1.410774,1.095036,-1.918799
0.157889,0.133444,2.41442,1.057343,2.729513,1.193992,1.103535,0.016186,1.394543,1.072861,-1.883682
1.775847,0.870574,1.118862,2.274258,1.726812,2.477589,1.704613,0.835197,3.04429,1.21877,-1.883535
1.503129,0.030058,1.585056,0.08335,1.512401,2.898434,0.814871,1.259159,1.35766,0.445744,-1.872332
1.436877,0.206897,0.972963,2.538057,2.553456,2.039554,0.959284,0.311397,0.872255,1.470334,-1.834163
1.39582,0.845914,2.148223,2.38332,0.614989,1.669315,1.284994,1.861276,2.010772,0.014492,-1.827577
0.82369,1.920431,0.022876,1.202215,1.04025,0.805565,2.226154,0.925511,2.991913,0.786438,-1.823793
0.492226,1.682023,2.292792,2.553802,2.414323,1.96508,1.906362,2.179902,0.127779,1.613607,-1.822094
0.860263,2.878443,1.223528,1.568096,2.841117,2.340243,0.329371,2.649915,2.182099,0.328083,-1.814951
2.67279,1.385336,2.231212,0.101858,1.587026,2.269533,2.08204,1.13549,2.363912,2.688323,-1.813393
1.470378,1.993193,0.680878,1.994552,1.898789,0.02168,0.580044,1.758661,1.301607,1.018805,-1.764053
2.835374,0.242635,2.009983,2.893894,0.142929,2.831268,0.766539,0.621217,0.956268,0.870414,-1.763858
2.498904,2.378881,3.108889,1.369757,1.132523,1.273856,0.203053,1.254985,2.596962,1.479905,-1.704667
2.488283,2.377989,3.109336,1.350916,1.139878,1.280274,0.188431,1.230342,2.603176,1.480366,-1.703438
0.596417,0.73259,2.461987,1.252217,0.746511,2.539778,1.747527,0.899687,2.002827,0.973823,-1.676992
2.613842,2.450837,1.887232,3.089363,3.080619,1.58943,2.44364,1.375606,0.092336,0.132932,-1.671941
0.618967,2.397151,2.53996,1.940661,2.819243,1.476311,2.908323,0.378572,2.561753,2.205819,-1.6651
2.291167,0.710644,1.945958,2.200429,0.510261,2.547576,0.532904,1.535331,0.81525,2.916965,-1.650578
1.481256,0.026893,1.595516,0.075582,1.532841,2.912739,0.815693,1.276804,1.372636,0.46204,-1.602938
2.280941,0.710119,1.934347,2.203442,0.527182,2.559552,0.525603,1.533305,0.802035,2.891382,-1.574742
2.562327,0.064528,0.822774,0.793515,0.012651,0.240138,2.53308,1.578616,0.905557,0.89001,-1.567241
2.80731,0.313331,3.024083,2.296629,2.667064,1.507818,0.268413,0.275476,0.822151,1.52333,-1.549441
2.797167,0.304241,3.032794,2.292249,2.644794,1.520323,0.277505,0.252967,0.817791,1.507672,-1.545671
1.35679,2.338623,1.664234,3.070694,1.438622,1.70404,2.573472,2.702081,0.724275,1.785159,-1.534904
0.491085,1.694929,2.292207,2.55302,2.400448,1.955924,1.899133,2.183531,0.138278,1.627638,-1.52089
3.04948,2.223929,2.093944,1.635256,2.077001,1.569127,0.88338,0.651203,2.538649,0.423369,-1.517298
0.869304,2.884717,1.19905,1.54512,2.844382,2.338092,0.331848,2.651417,2.174158,0.337442,-1.516157
0.713276,1.025181,0.985423,0.822338,0.589919,0.631525,0.247359,1.022894,2.063811,1.943991,-1.511972
1.725182,1.462094,2.788602,2.132755,2.329924,1.835322,1.560197,2.090928,2.43108,1.120244,-1.461287
1.951796,2.718623,2.656283,1.49397,0.714303,2.388552,2.487242,0.997184,1.865791,2.730835,-1.450397
2.898693,2.648075,2.809146,0.919734,3.043727,0.557623,1.19807,1.692271,2.844131,0.178126,-1.413678
1.380747,2.344361,1.687883,3.054437,1.430405,1.700513,2.550598,2.719058,0.746746,1.775408,-1.410172
1.809653,0.985052,1.865434,0.752503,1.365275,1.454101,2.868942,0.533649,1.79462,1.373703,-1.401553
0.697969,1.027346,0.995576,0.820523,0.589114,0.650706,0.221359,1.021669,2.071997,1.929715,-1.379647
0.998047,2.264822,0.23041,2.38812,0.300685,0.387641,1.235058,2.157458,2.390022,1.750732,-1.37311
2.545251,0.070733,0.840682,0.785672,0.00731,0.22636,2.540241,1.574498,0.892543,0.899559,-1.36935
3.13889,3.108992,1.284528,2.632578,0.901208,2.607564,0.136004,1.742288,0.327588,1.411357,-1.367708
1.183453,1.305202,1.457293,0.327964,2.164876,0.317972,0.853216,0.415913,2.2468,1.421365,-1.367296
1.455263,1.994935,0.668293,1.985944,1.897517,0.011684,0.587915,1.778379,1.290495,1.019452,-1.350106
2.91573,2.665582,2.807891,0.929862,3.015985,0.555205,1.217672,1.67697,2.82736,0.162047,-1.341798
3.110768,3.13115,1.264639,2.607508,0.907597,2.619089,0.154937,1.751488,0.34482,1.405456,-1.336367
0.245124,0.634078,2.184092,0.513624,2.895724,1.389292,0.63175,1.967459,0.924393,0.04212,-1.33367
3.030494,1.659518,2.262161,3.113826,1.184159,3.027688,1.537467,2.884419,2.072529,0.393012,-1.322893
1.19073,1.304303,1.470607,0.340719,2.14655,0.314798,0.853937,0.413036,2.237609,1.417294,-1.313504
1.954205,2.709917,2.63854,1.478653,0.719583,2.410145,2.503986,0.973914,1.882758,2.729005,-1.310083
0.444515,1.578722,0.305115,2.994944,2.62374,1.857504,1.852111,0.694617,1.162523,1.890784,-1.290471
1.815383,0.998651,1.866902,0.74839,1.377869,1.465778,2.862718,0.533699,1.816443,1.353459,-1.283489
0.250405,0.628586,2.193251,0.515977,2.903055,1.389076,0.636115,1.977737,0.936486,0.05552,-1.270745
0.59588,0.733162,2.449867,1.235143,0.736767,2.522701,1.735149,0.890597,1.984534,1.002757,-1.267003
1.755294,1.552456,1.624636,1.069288,0.18871,1.124833,0.827843,0.114273,2.924595,0.541091,-1.263457
