x8,x9,x30,x10,x12,x11,x14,x13,x16,x15,x18,x17,x19,x21,x20,x23,x1,x22,x2,x25,x3,x24,x4,x27,x5,x26,x6,x29,x7,x28,y
0.185644,1.259821,2.535228,2.093173,0.613052,0.239234,2.901332,0.258608,1.379525,0.890279,2.651833,2.769156,2.906595,2.850147,1.970309,1.145345,2.346321,1.577519,1.574285,0.02702,1.484506,1.425936,2.689428,1.861086,1.72188,1.347656,2.707083,1.757663,2.597749,0.472695,-6.976292
1.47301,2.769874,1.216741,2.366013,1.079398,1.485631,3.130299,0.22026,0.934801,2.538065,0.891994,0.641234,2.078559,1.225851,3.130501,1.226541,2.3801,1.175828,1.119493,0.847906,1.668831,1.191098,0.303776,1.67974,2.769171,3.103164,0.48341,2.410962,2.200876,1.350798,-5.919503
0.549864,0.137454,2.100698,0.867485,1.960614,2.645204,2.029943,1.639895,2.853701,2.75997,0.632137,0.438468,2.81414,1.747475,0.079722,0.494527,0.090619,0.440117,1.635848,3.039549,2.891508,0.598034,0.84947,0.376126,0.793978,2.203125,2.956547,1.977206,1.834025,1.125548,-5.815826
0.178603,1.279037,2.52303,2.101189,0.59671,0.226193,2.908443,0.257608,1.358025,0.899896,2.662694,2.775064,2.904164,2.830715,1.958599,1.159534,2.343921,1.600985,1.580364,0.026295,1.502764,1.443065,2.681304,1.857946,1.713192,1.340987,2.705101,1.751041,2.603637,0.475876,-5.779148
1.223291,0.0619,0.654934,0.596471,2.539234,2.524483,0.781037,2.02667,1.970929,1.132654,0.342834,2.80388,1.829631,1.093641,0.83346,1.701609,2.619335,1.292612,2.807118,2.029332,0.550888,2.83822,0.986983,0.463745,1.96522,0.973649,1.364839,2.19859,1.458251,2.802624,-5.669145
0.79156,2.319142,2.716955,0.388239,0.826827,1.548347,1.68109,2.379334,0.955528,0.980407,2.558858,0.91654,0.780497,0.452896,1.261484,2.978078,0.158003,2.461264,2.177856,2.577925,1.621577,2.224078,2.130086,2.709641,0.877798,0.758207,0.181163,0.634463,0.478302,2.437103,-5.541798
1.446361,2.781764,1.211323,2.366755,1.077625,1.494935,3.135099,0.227847,0.916991,2.513422,0.88346,0.642108,2.087585,1.253132,3.120528,1.231603,2.368013,1.18984,1.11056,0.851222,1.682519,1.176132,0.293169,1.694836,2.788129,3.086508,0.47405,2.39614,2.21742,1.364867,-5.5392
3.06113,1.657071,1.384208,0.175509,2.370104,3.094631,2.447569,2.502025,2.334003,0.439141,2.157967,0.45112,3.028321,0.661571,2.645496,0.124651,0.596544,2.26156,0.619155,1.796563,1.202504,0.57728,1.906291,1.532205,0.038106,0.739816,2.764727,2.277342,1.72839,2.313309,-5.440909
2.947956,2.241983,2.03318,1.089182,1.11795,2.070899,2.655166,0.386454,2.464721,2.221937,2.599385,2.984096,1.334955,0.135299,1.545245,0.431514,0.957551,2.252483,2.647467,1.553333,1.952015,1.711122,0.737113,2.295912,1.224029,2.258901,1.746003,2.54092,2.509318,1.984156,-5.287805
2.536835,0.954909,1.095814,2.976246,0.647965,0.379277,2.203745,2.835304,0.162547,1.447114,0.186826,1.799984,0.654758,1.001276,1.336772,1.616614,1.857689,1.237074,0.681851,2.090848,1.362553,1.756297,1.708349,0.517514,0.982481,1.494219,2.48927,1.10159,0.218899,1.891455,-5.112161
0.483951,0.732486,0.350373,2.293052,2.543861,0.064407,0.089779,1.921053,1.120694,2.903801,2.810548,0.577138,2.186369,1.272368,0.162911,2.74668,0.235267,1.759192,0.318756,1.912679,1.340715,0.028113,0.419825,1.552615,1.265277,0.266213,0.208629,1.38072,2.516417,1.253685,-5.050729
2.571051,0.285113,2.18463,2.752891,2.992881,2.963763,3.008559,2.976319,0.408085,2.064389,2.746718,2.28427,0.176004,1.448688,0.625765,1.33855,2.732557,2.119312,0.990063,1.28066,1.446127,1.639408,1.0308,1.203206,1.38614,0.0405,2.056331,0.388221,2.912147,2.539049,-5.005782
2.814328,0.71462,0.288116,0.530284,1.156467,0.654006,3.078466,0.962037,3.133608,1.864054,1.542221,2.125716,1.18493,1.402156,1.385975,2.470752,2.237992,1.63206,2.491288,2.294663,1.24102,1.97785,1.482538,0.608534,2.421922,0.345406,0.560207,0.917205,2.134386,1.684371,-4.98024
1.402311,1.010693,3.124082,0.635689,2.832445,2.475628,0.303871,3.029855,1.805713,0.605825,0.504689,2.914213,1.443595,1.196871,2.383788,1.485922,0.365812,0.371131,1.494737,1.207935,3.022414,0.067677,2.842591,1.324857,2.827568,2.644941,1.560304,2.711666,1.64698,2.332999,-4.95123
3.138474,0.797754,0.694128,0.667907,1.929046,1.343712,1.766011,2.653659,1.920623,2.552855,2.421861,2.146697,0.076806,2.758715,0.481962,3.093525,1.649379,0.606674,1.134713,1.754172,0.089085,2.688799,1.803187,0.9319,2.210061,1.005554,1.772236,2.644274,2.360879,1.781537,-4.936432
0.811005,2.311943,2.726585,0.402037,0.838561,1.568954,1.667397,2.362732,0.957472,0.986032,2.558538,0.928671,0.761983,0.470483,1.269493,2.977434,0.174577,2.451111,2.181427,2.576409,1.601618,2.214293,2.134845,2.71887,0.849144,0.756911,0.178555,0.646321,0.494304,2.41899,-4.932522
2.538894,0.973374,1.086822,2.981694,0.65757,0.385438,2.222524,2.841812,0.173145,1.454445,0.178053,1.816303,0.628781,0.978681,1.322847,1.629591,1.872985,1.251758,0.662072,2.079765,1.359107,1.742706,1.701461,0.523883,1.001386,1.502137,2.482324,1.112079,0.189912,1.901867,-4.796613
0.540501,0.152983,2.095233,0.872731,1.966743,2.640669,2.031737,1.662055,2.845147,2.742188,0.635981,0.414381,2.808639,1.743711,0.066209,0.491571,0.073103,0.443978,1.634332,3.020832,2.91168,0.599575,0.856604,0.347316,0.811828,2.20433,2.968,1.975431,1.844232,1.123974,-4.748296
2.977671,0.160445,2.347098,1.328541,0.668399,1.828734,0.356155,1.024555,1.904912,2.589719,2.205529,0.222295,2.11339,0.510878,2.879125,1.532875,2.279009,1.053766,0.729737,0.602212,1.643413,1.30721,0.597317,1.470329,1.650841,2.416507,1.349055,0.446195,1.296598,1.817542,-4.685321
2.129505,1.203986,2.586294,0.314576,2.575366,1.402164,1.963949,1.077064,0.769062,1.294658,1.422702,1.958109,2.370514,0.772189,0.351288,2.116955,2.683393,1.715073,0.957294,1.401479,2.675545,1.088239,2.791409,2.115556,3.108909,3.116939,0.819646,1.676128,1.365457,1.205367,-4.574421
1.21832,0.052079,0.653056,0.57043,2.534477,2.530559,0.760014,2.011703,1.961451,1.145535,0.33099,2.799053,1.83939,1.080222,0.837788,1.717252,2.637111,1.287761,2.82004,2.020587,0.534274,2.857346,0.997894,0.469467,1.972001,0.990719,1.378454,2.203715,1.474516,2.807121,-4.572411
1.889907,2.753357,0.550836,0.297059,1.913653,0.72249,1.920037,2.518771,0.282795,0.776079,1.983133,0.342646,0.535226,0.006971,0.862713,0.20075,1.405726,1.267074,0.144026,1.531126,2.601893,0.968375,0.32093,1.080882,1.090223,0.194294,1.161749,0.729395,1.933338,2.014828,-4.55654
1.136407,3.01467,1.589504,1.599571,1.287189,0.720403,1.023357,0.427353,1.732704,2.933641,1.735023,0.908991,1.249939,3.049397,2.460351,3.13703,3.05711,2.979232,1.188101,0.312952,0.001518,2.998013,0.489877,0.001464,1.006268,1.141456,2.172159,2.757658,0.669734,2.988792,-4.549054
2.484587,2.389789,2.045859,1.835511,2.190987,2.073008,1.001927,1.589298,2.070767,0.474085,0.05144,2.057566,2.547757,0.032644,1.692207,2.073012,2.887363,0.177149,0.202262,1.83499,1.258167,1.285746,1.471169,0.707588,2.621254,1.050228,0.619415,2.311273,2.240287,0.201773,-4.547283
1.831344,2.215866,1.313626,1.900129,1.563055,1.030428,0.611879,1.759866,0.196134,1.706474,1.081008,0.134381,1.578619,2.958514,2.991121,1.645075,3.022257,2.167519,1.697465,2.846008,2.370907,1.032602,2.35362,1.437121,0.197868,2.352896,1.841457,1.050084,1.57603,2.491671,-4.517431
2.236657,0.114099,0.525947,1.001393,1.691255,2.333165,1.585221,1.000358,0.550768,1.07124,2.03124,1.46739,0.891315,2.917081,0.678164,1.353461,1.104135,0.095383,0.805082,2.066336,0.799795,1.104107,2.427281,2.243776,2.581162,0.698531,1.792769,2.503763,0.371701,0.382077,-4.513932
1.748662,2.534825,2.121626,1.195898,2.784477,0.56826,0.448438,2.207584,0.422069,1.604352,0.156237,1.110267,0.801218,0.197247,0.588786,1.41179,1.985458,1.955698,2.774606,0.260532,1.997707,1.793682,2.321962,2.975767,2.518932,0.478637,0.234701,2.689498,2.415815,0.408608,-4.492376
1.011854,0.861774,2.249077,1.915505,1.426471,1.688168,1.465388,2.906917,0.444039,0.840441,0.938993,1.664552,0.124824,2.825851,0.046598,2.411391,0.662878,0.001657,2.993645,2.8018,2.11498,0.477014,3.097832,2.884719,2.189861,1.574212,0.946845,2.34486,2.462519,2.724039,-4.457479
1.762001,1.061158,1.765122,1.157695,2.641671,1.088981,1.176289,0.200837,3.02957,2.982707,2.08788,1.91104,2.496661,2.935977,0.81098,2.999044,1.906342,1.992045,1.346978,2.977552,0.780369,1.989419,1.941331,0.313193,1.334154,3.008617,1.483484,1.290864,2.761411,0.831181,-4.43417
0.955533,1.587682,1.980767,2.467601,2.432706,2.395249,2.042337,0.639502,0.523172,1.825739,2.410585,1.728557,1.979391,0.249384,0.938939,0.620991,0.935885,2.448389,2.691355,2.560851,0.830005,0.789377,1.615386,2.102041,1.065334,2.520176,2.538342,3.029987,1.766495,2.105738,-4.433291
1.749004,2.53642,2.131197,1.197396,2.785719,0.570264,0.465967,2.199971,0.41235,1.630198,0.153541,1.123978,0.808547,0.210973,0.569894,1.411741,2.007,1.95383,2.766153,0.266063,1.986677,1.806537,2.314406,2.956952,2.530824,0.485243,0.242697,2.693609,2.417401,0.435187,-4.417836
0.984499,2.0883,0.755755,0.958906,0.863631,1.435355,0.677852,0.05259,2.751749,2.36104,1.038129,1.620397,1.52707,1.433004,2.611085,1.109657,1.95805,1.74377,3.092749,1.479833,2.638872,2.938887,2.28992,0.6713,1.52179,1.787017,0.412778,1.155415,1.807532,3.043194,-4.387226
3.113413,0.800144,0.693612,0.676533,1.941941,1.321577,1.773566,2.651981,1.940247,2.549058,2.427592,2.165753,0.079788,2.741616,0.475995,3.100477,1.647819,0.604406,1.13851,1.736658,0.078294,2.675989,1.807997,0.914425,2.212277,1.015054,1.770458,2.65767,2.36176,1.784654,-4.341342
1.830202,2.212872,1.317868,1.90861,1.54034,1.011395,0.623719,1.783178,0.190221,1.711039,1.078478,0.128556,1.573149,2.973009,2.984869,1.654186,3.024258,2.19271,1.707761,2.830607,2.362017,1.015404,2.326776,1.424597,0.199647,2.334989,1.832588,1.046653,1.584274,2.503897,-4.336408
1.135913,3.028398,1.594803,1.588802,1.274356,0.719467,1.012261,0.429013,1.742527,2.936783,1.740472,0.904559,1.230764,3.068931,2.451716,3.136432,3.066728,2.965409,1.164032,0.296832,0.023733,2.987833,0.493456,0.026659,1.029802,1.13578,2.195712,2.748109,0.684876,3.002174,-4.318407
1.676778,1.295964,1.909634,2.772679,2.268119,0.890554,1.320639,2.86249,0.586868,0.651208,1.231112,1.071618,0.150789,1.530095,1.576888,2.673431,1.499414,2.372627,3.043877,0.765391,0.597767,0.276994,1.979203,0.997285,0.424215,0.331797,2.364331,1.350022,0.520837,1.600629,-4.315877
