batch_size,lr,numOfL2,numOfL1,keep_prob,loss
23.331487,0.357324,55,24,0.889894,9.651565
13.72773,0.235308,31,89,0.920785,9.91518
27.989393,0.500142,53,13,0.629915,9.924198
19.323216,0.891074,3,17,0.769503,9.986567
27.650525,0.561873,26,117,0.688156,9.990342
17.689422,0.216293,28,70,0.024855,10
20.054676,0.442902,11,114,0.958163,10.000556
26.827624,0.396349,21,2,0.194183,10.001128
30.07538,0.854268,79,3,0.710589,10.004732
14.370703,0.167892,46,118,0.852293,10.005392
19.162428,0.888656,4,17,0.761159,10.010884
11.582861,0.475605,31,79,0.814004,10.013763
30.105164,0.851873,77,5,0.71741,10.01571
5.925231,0.286816,50,85,0.966446,10.022235
27.374653,0.574179,24,116,0.696099,10.047019
12.021823,0.460695,31,77,0.803887,10.212848
27.984553,0.49345,54,13,0.620561,10.225259
3.243572,0.190524,14,61,0.583177,10.225517
14.007453,0.222234,31,88,0.924901,10.379779
5.751711,0.287546,49,85,0.970368,11.53241
20.163858,0.442833,12,113,0.942053,11.90799
20.740967,0.537574,6,123,0.25209,13.031181
24.034203,0.953668,82,53,0.56572,14.22533
15.823555,0.38008,87,36,0.666929,17.58043
23.335942,0.359809,54,24,0.887861,17.877218
26.947387,0.395664,21,2,0.189624,18.965515
10.081368,0.991999,35,41,0.912634,19.547309
7.841868,0.246546,9,62,0.062472,19.883366
23.317295,0.312757,38,93,0.290844,21.505992
10.005451,0.999566,35,43,0.912152,25.591327
14.344218,0.17349,48,120,0.853862,36.44784
24.768687,0.058175,46,40,0.551389,70.628266
17.85308,0.97067,80,122,0.726247,74.635353
17.930249,0.972017,80,121,0.721541,77.116315
31.791074,0.616612,43,111,0.416651,93.571426
15.823778,0.376081,89,38,0.671099,106.535809
2.796498,0.037466,58,10,0.980966,108.286128
20.90881,0.77661,124,99,0.837191,118.718943
25.345928,0.261827,95,49,0.498893,120.431891
24.133859,0.940964,82,52,0.577189,133.669324
22.506731,0.063975,41,66,0.475959,158.004038
31.399374,0.616288,44,112,0.414104,179.4898
16.085744,0.138159,73,20,0.381419,196.716737
7.09967,0.142246,107,48,0.790643,203.665888
2.906586,0.186222,14,59,0.596147,206.626878
8.578896,0.623181,111,68,0.862611,251.862312
6.928975,0.145039,109,47,0.799998,270.334998
9.551758,0.119133,71,58,0.608325,275.025604
25.718469,0.274688,95,50,0.491417,307.08159
14.645553,0.751542,113,11,0.326679,375.048043
28.565297,0.706635,118,92,0.01796,375.745041
20.461984,0.536322,6,124,0.253579,433.718108
8.52121,0.632011,110,68,0.877806,434.878405
1.894462,0.930048,1,107,0.214392,439.934952
2.606666,0.022527,58,8,0.994959,487.218233
7.545121,0.097311,90,96,0.659688,573.949425
20.998063,0.769177,123,97,0.821039,608.313048
16.337907,0.126657,72,21,0.399695,628.510837
24.978018,0.043752,45,39,0.55073,732.236548
9.110323,0.11772,71,57,0.607777,918.556543
7.505679,0.088779,92,96,0.653055,985.256965
30.468599,0.591508,85,109,0.358416,1270.621605
1.665613,0.921525,1,106,0.206676,1293.88046
26.372295,0.408085,69,34,0.127458,1372.137515
22.206206,0.062803,40,66,0.471198,1678.262021
8.137154,0.2461,9,64,0.070825,2018.980476
6.338801,0.507343,17,126,0.053933,2430.365024
12.176882,0.42414,107,27,0.519384,2689.132777
13.157722,0.866235,98,32,0.522438,10382.63914
12.318036,0.436488,106,28,0.51249,12871.52337
6.384327,0.508025,18,127,0.046261,16745.12557
30.342907,0.591589,85,107,0.36018,16869.08686
23.008956,0.320305,37,92,0.282899,17790.96955
17.401274,0.216241,27,70,0.036579,27161.19109
18.645206,0.016178,126,80,0.460222,84048.16591
15.084794,0.757453,114,11,0.333948,460964.956
10.706812,0.645976,61,82,0.367071,471866.4492
29.480698,0.697266,76,29,0.300923,502678.365
10.475309,0.655246,60,83,0.364711,614479.5336
18.83184,0.013976,126,79,0.45907,680439.0573
1.392927,0.557981,94,103,0.756071,1007386.569
5.096507,0.323878,100,101,0.43469,1067212.293
12.802798,0.878927,98,33,0.529475,1512626.178
1.068002,0.554878,94,102,0.740399,2837996.88
4.279373,0.837077,18,22,0.112205,4061689.901
4.827366,0.339161,101,100,0.432545,57265174.22
30.905952,0.902426,62,73,0.235177,93710216.85
29.342471,0.686524,74,29,0.302036,275494212.6
26.02072,0.402378,67,35,0.139749,3201955285
3.896705,0.669285,103,6,0.155571,12088590842
3.814811,0.672102,102,8,0.1502,21449303991
4.428724,0.83055,19,21,0.112587,38532687188
21.525944,0.808836,65,55,0.08246,56754566349
11.503281,0.729264,122,46,0.275699,75888454663
30.798133,0.910527,63,72,0.228573,93061990869
11.474067,0.732691,122,44,0.261893,2.30215E+11
16.913693,0.781577,117,76,0.178402,7.49241E+11
28.724058,0.714604,119,91,0.010852,1.09736E+12
16.992892,0.794096,116,76,0.169207,8.35047E+12
21.462459,0.802778,64,54,0.094459,1.33729E+13
