x8,x9,x10,x1,x2,x3,x4,x5,x6,x7,y
2.074341,1.21596,2.74553,1.06162,1.726522,-1.177136,4.813642,1.118103,-1.874537,-0.63324,112.550136
1.147346,1.233446,3.174972,2.084563,-1.458776,-0.758794,3.014065,-2.431372,-0.942457,-1.215117,113.825387
-4.152684,1.796026,1.986412,1.282716,-2.648689,1.828566,-3.749409,3.02284,-1.995075,0.010612,118.455029
3.637101,-0.889011,0.559545,-3.168522,-3.96405,-2.604652,-1.927064,-0.861377,0.020616,-1.360727,135.687822
2.996412,0.944717,2.260756,-5.019457,-2.8797,1.180381,-0.391313,-0.943233,4.080776,-4.744332,139.907338
2.698591,-4.174586,0.895199,-2.137712,2.934681,0.875212,5.068924,0.861633,-3.225299,2.383231,140.297013
-0.672321,-2.189356,-4.938679,2.975422,0.57939,1.247856,-1.274237,-1.370619,1.021554,-4.031692,140.331361
0.816007,2.425279,-0.081085,-1.045434,-2.02348,-5.003276,-0.729648,-0.512901,1.416774,-2.468515,142.055821
-1.646248,-1.543896,-0.257856,3.207706,-0.871291,2.046194,-0.582029,-4.786968,-3.903402,-0.893054,147.112578
-2.010147,5.001683,-2.782623,0.102298,1.863655,2.154055,1.731325,1.192992,-4.557832,-2.574993,150.43317
-3.643206,-1.870676,-2.436229,-2.890545,0.430625,2.657297,1.777653,-4.089587,0.215538,-1.952054,155.555457
-2.586792,3.293281,-3.990653,-0.20432,-1.009552,0.164548,3.593813,0.086896,-2.494913,0.579569,155.896375
-1.295754,-0.734796,2.468793,-0.468103,2.612836,-1.322872,-0.920416,-2.243552,-3.820873,2.11152,156.324309
3.878615,1.680279,1.027749,-1.799558,-4.306033,-4.303366,3.938878,-2.890321,-0.721103,0.806271,156.453918
2.967318,0.833502,3.281138,-3.033869,-4.029902,3.380247,2.293339,-1.435911,2.188825,3.156619,156.66281
-4.05448,-4.420187,-4.767145,0.159646,-2.270385,1.095931,3.233721,0.251762,2.144481,-0.213826,156.866312
4.01028,0.064749,5.031739,4.172449,1.484122,-1.464263,-0.12392,-1.712282,4.972971,1.926664,157.018737
