x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,y
2.049511,2.21638,-1.308037,1.98666,4.996223,2.291895,-1.029875,-2.565693,-3.050952,-3.125262,-0.562369,0.208917,-4.089924,-2.171524,-3.178964,3.154914,-1.474512,3.846009,-0.899708,-0.791916,-2.359757,-2.998595,3.020742,-2.235715,4.647791,0.712675,1.417624,-1.022522,3.193692,-1.097989,412.7077
2.074088,2.211891,-1.256588,1.953546,4.973473,2.31221,-1.082487,-2.592793,-3.02158,-3.072071,-0.613126,0.252807,-3.997605,-2.195297,-3.266646,3.09048,-1.501474,3.854094,-0.85011,-0.782872,-2.381787,-3.068749,2.975501,-2.183173,4.694694,0.617006,1.361829,-0.936052,3.20142,-1.098099,414.821776
-2.557159,-1.56803,-1.126197,2.654202,1.789912,-0.375419,1.960484,4.406584,3.226336,1.196106,2.887608,-0.045221,0.908746,2.073348,-3.153164,-2.970274,-2.505715,-1.967971,-2.627284,1.527312,1.405608,2.018739,0.109968,-3.739874,-0.14858,2.381166,0.10072,2.484598,-0.801908,-3.979458,419.682674
2.090764,2.192219,-1.317081,1.993224,4.972743,2.27346,-1.101421,-2.601233,-3.001323,-3.142383,-0.551024,0.215416,-3.9992,-2.167379,-3.199821,3.15931,-1.474776,3.88169,-0.872231,-0.744988,-2.422894,-3.025259,3.058458,-2.247573,4.67492,0.640619,1.365086,-0.929468,3.178311,-1.125337,421.057733
2.096983,2.248126,-1.281322,1.979651,4.945389,2.25914,-1.073212,-2.570316,-3.007928,-3.090745,-0.569539,0.301623,-4.007927,-2.173182,-3.218724,3.097134,-1.485886,3.873187,-0.897723,-0.758695,-2.37755,-3.061006,3.009786,-2.249642,4.639106,0.699374,1.419584,-0.94798,3.263984,-1.035548,422.765406
-2.460623,-1.558535,-1.05141,2.656398,1.746707,-0.323423,1.966951,4.460217,3.209928,1.162743,2.954041,-0.041905,0.870409,2.083565,-3.153549,-3.05793,-2.514056,-2.043951,-2.585451,1.455904,1.422889,2.032198,0.202545,-3.756322,-0.194737,2.372244,0.094209,2.461446,-0.803873,-3.979939,424.303149
-2.516168,-1.627965,-1.032413,2.577163,1.8248,-0.404077,1.99428,4.485827,3.234085,1.220295,2.867898,-0.07572,0.850565,2.048135,-3.144859,-2.970453,-2.534753,-2.028873,-2.568607,1.462421,1.378866,2.002793,0.116509,-3.740555,-0.201919,2.357622,0.02091,2.524469,-0.805209,-3.972879,424.529411
-2.505056,-1.591381,-1.026469,2.582257,1.841215,-0.326477,2.019746,4.504522,3.248717,1.182895,2.896427,-0.089484,0.881336,2.128388,-3.075954,-3.040795,-2.557127,-2.015118,-2.581728,1.47486,1.352774,2.021168,0.184151,-3.723867,-0.138019,2.445529,0.06491,2.51324,-0.732975,-3.960419,426.470001
-2.488024,-1.545078,-1.099718,2.618175,1.774577,-0.334287,1.9731,4.49015,3.190208,1.130538,2.875892,-0.087923,0.845916,2.132493,-3.106786,-3.058889,-2.467914,-2.014754,-2.594429,1.46951,1.391585,1.981826,0.163522,-3.738957,-0.121932,2.386822,0.040742,2.511318,-0.717393,-3.917667,426.886168
2.095346,2.181614,-1.307258,1.959882,4.997091,2.286086,-1.081763,-2.604504,-3.070757,-3.138507,-0.542156,0.257192,-4.022209,-2.228103,-3.256872,3.111786,-1.467369,3.874132,-0.851538,-0.723615,-2.403446,-3.004903,3.014906,-2.221928,4.701523,0.652935,1.376237,-0.997936,3.24348,-1.026188,427.728113
-0.140423,-0.951483,4.146704,4.897415,0.562474,1.963581,-0.017708,-0.589233,2.648958,-2.036618,0.665028,5.042532,-4.789406,-2.13736,3.16662,-3.660771,0.982457,2.902871,-3.996633,-4.091711,-1.597579,-0.742641,-2.126557,-0.498466,-4.601781,1.263116,-2.967009,-0.125243,-2.104532,-2.156996,430.03572
-0.110878,-0.946062,4.116608,4.864478,0.59739,1.993501,-0.09195,-0.586208,2.633517,-1.991015,0.668779,5.04929,-4.763076,-2.100097,3.092904,-3.672239,0.964721,2.91294,-4.067982,-4.021935,-1.557579,-0.804905,-2.063456,-0.457744,-4.586217,1.296482,-2.909368,-0.192311,-2.137422,-2.229654,431.199844
-0.137276,-0.947395,4.105294,4.845618,0.569467,2.011917,-0.051927,-0.575272,2.569273,-2.021848,0.676133,5.020907,-4.745156,-2.103369,3.168082,-3.610973,0.962032,2.902642,-4.019676,-4.00418,-1.597398,-0.730183,-2.137961,-0.491403,-4.604141,1.311429,-2.933849,-0.12789,-2.138691,-2.198817,441.66614
-0.169454,-0.946836,4.187117,4.842506,0.565395,2.022584,-0.091355,-0.53324,2.563057,-2.026626,0.64016,5.119613,-4.775609,-2.145702,3.108886,-3.682885,0.977454,2.899896,-4.059522,-4.027098,-1.601727,-0.789942,-2.068943,-0.508781,-4.573868,1.3003,-2.938014,-0.198203,-2.102277,-2.158058,444.224023
-0.160793,-0.924192,4.160427,4.85647,0.536409,1.952597,-0.093283,-0.574838,2.653163,-2.007782,0.639686,5.111429,-4.75566,-2.14687,3.115758,-3.598533,0.945478,2.933923,-4.022252,-4.046067,-1.61651,-0.739405,-2.095982,-0.493746,-4.549598,1.266212,-2.906816,-0.188071,-2.117319,-2.203676,447.390253
1.532653,0.118234,-3.071286,0.114389,2.439267,-0.850625,2.29075,2.763011,-1.092128,-0.527291,0.776725,-3.519709,-1.562749,-1.3374,3.304366,0.275251,1.910708,-2.066329,-0.099605,-5.02244,-3.116302,-0.438926,1.784461,-4.811793,2.298233,-0.190063,-0.349123,0.308474,-4.683552,-1.359618,459.275
2.36782,1.627525,-0.024782,3.779272,-1.802531,4.001127,-0.903599,1.249366,0.109171,0.239271,4.332061,-3.283704,0.009235,3.180676,3.211789,3.742036,0.752621,4.756515,2.000837,-0.056473,-3.971327,-3.302773,-0.898278,0.128121,0.355656,-4.942242,-2.388377,-4.810829,-0.551182,-2.345998,459.562943
-2.358557,4.020618,-4.656588,-2.862279,1.913197,-1.430849,-1.233204,1.879296,-1.252065,-0.068517,-0.922424,-0.398622,5.052785,-1.685338,2.316043,-1.916924,0.61532,-1.51498,3.8263,4.224434,0.949871,1.109933,2.241296,3.24886,-3.245514,-2.616255,2.446369,0.508109,2.172584,1.940335,461.101308
2.878693,-2.654424,-3.162823,-2.046065,3.65316,1.265859,2.391261,4.074247,-2.833841,-0.797382,-4.167468,-4.269467,-2.942393,0.069096,4.004227,0.915403,-3.190729,-0.096642,-0.342629,-1.56135,-4.801975,0.889604,-4.178396,-2.967661,-0.58885,-0.738044,0.410926,-0.314238,5.026152,-4.061601,463.16744
-2.398961,4.079712,-4.638864,-2.832851,1.907841,-1.386015,-1.25572,1.856218,-1.311866,-0.015691,-0.965646,-0.400322,5.081468,-1.657271,2.30549,-1.898325,0.639749,-1.43463,3.797869,4.223119,0.979491,1.054185,2.203117,3.194587,-3.229936,-2.634871,2.414574,0.471032,2.225208,1.907232,464.265935
1.470148,0.119339,-2.999671,0.109317,2.382985,-0.914482,2.296339,2.754721,-1.068949,-0.555008,0.77475,-3.507498,-1.555465,-1.386254,3.357892,0.23707,1.886314,-2.064494,-0.013935,-5.045688,-3.142793,-0.492715,1.812069,-4.760741,2.35105,-0.136552,-0.40283,0.347592,-4.626033,-1.356524,465.910557
1.444803,0.203353,-3.036294,0.181532,2.421949,-0.900801,2.275286,2.711914,-1.122647,-0.525011,0.781962,-3.547325,-1.560196,-1.389299,3.302617,0.238308,1.893565,-2.048979,-0.015701,-5.063536,-3.129814,-0.495234,1.787918,-4.727066,2.258819,-0.126432,-0.331431,0.355315,-4.655204,-1.344823,466.983367
2.872724,-2.659881,-3.078979,-2.018528,3.672132,1.240407,2.449554,4.05308,-2.812579,-0.746527,-4.173029,-4.207858,-2.968367,0.071725,4.026946,0.853246,-3.190288,-0.015755,-0.406388,-1.545337,-4.735225,0.836432,-4.124139,-2.911676,-0.546046,-0.774572,0.469294,-0.351422,5.057877,-4.023362,467.293487
-0.063213,0.891678,-1.469178,-1.116372,2.092037,-0.815815,1.220362,4.938295,1.72646,-4.681346,3.756388,-1.597592,1.691552,3.345552,4.359286,-1.661657,1.35346,1.196739,-4.351966,-2.805839,-0.330796,-1.542835,4.69176,0.088803,0.210258,0.788346,2.957271,2.078785,-0.070597,3.877173,467.417751
-2.390879,4.015405,-4.689612,-2.846171,1.922056,-1.354561,-1.265557,1.856841,-1.281818,-0.03828,-0.963322,-0.382726,5.119852,-1.664609,2.344297,-1.851382,0.707556,-1.460228,3.822922,4.299817,1.006169,1.025976,2.218241,3.261019,-3.248256,-2.615053,2.443977,0.435229,2.187942,1.904617,467.435731
-0.655034,0.356217,1.280816,3.965961,0.189744,-0.113342,4.799457,-3.863019,0.679778,3.569326,-3.786301,3.069512,-0.988676,-2.470643,-0.396328,3.443505,2.997465,4.982997,2.780676,3.93214,-1.874588,-3.084447,0.015459,4.174081,2.39884,-1.098258,2.754969,0.116274,-3.075524,-3.637938,467.549912
3.320786,2.322812,1.719465,-1.614995,0.010346,-2.824035,0.888828,3.289835,-3.388849,-4.543755,-5.04003,1.173318,3.15194,-0.531697,1.763772,1.285911,3.916132,3.073122,1.580199,2.119396,-2.914113,4.691311,-2.952351,-3.862453,1.7864,-3.798398,0.112516,-2.856315,-1.014488,-2.942749,468.12819
-2.385058,4.005661,-4.64382,-2.7794,1.865458,-1.365973,-1.246012,1.90507,-1.27946,-0.012395,-0.944228,-0.341278,5.089089,-1.653947,2.353854,-1.88844,0.619423,-1.523752,3.860897,4.282562,0.936585,1.051878,2.241072,3.212753,-3.175468,-2.598424,2.445091,0.417931,2.247878,1.911101,468.187629
2.964299,-2.654772,-3.152539,-1.977087,3.586908,1.247432,2.417236,4.040391,-2.781086,-0.762819,-4.174307,-4.242893,-2.885134,0.057081,4.008432,0.888512,-3.195594,-0.017356,-0.360371,-1.634218,-4.777694,0.835643,-4.153927,-2.938966,-0.543687,-0.795409,0.464892,-0.331947,5.110874,-4.010751,468.229368
2.391119,1.61088,-0.057152,3.728555,-1.751457,4.003393,-0.906164,1.293013,0.103484,0.21218,4.31608,-3.317085,0.008704,3.182667,3.218011,3.686545,0.751543,4.777355,1.981058,-0.026677,-3.966793,-3.299305,-0.901462,0.152701,0.332838,-4.935934,-2.375077,-4.768138,-0.604936,-2.304798,468.917806
-2.434584,4.090332,-4.637738,-2.825782,1.868377,-1.386844,-1.274349,1.941387,-1.300663,-0.020403,-0.986206,-0.348633,5.11558,-1.674642,2.34536,-1.894543,0.635331,-1.535048,3.792197,4.280811,0.953011,1.067774,2.173622,3.233134,-3.222797,-2.642732,2.42419,0.506937,2.16881,1.909468,469.306189
-0.051149,0.886337,-1.438871,-1.084785,2.087369,-0.781141,1.134596,4.962155,1.66446,-4.626526,3.737667,-1.554166,1.710425,3.284564,4.352026,-1.66622,1.37157,1.195652,-4.397735,-2.855281,-0.329863,-1.607292,4.653193,0.077798,0.276217,0.7742,2.968823,2.104565,-0.027047,3.818455,472.599867
1.748621,0.728739,0.359532,0.287518,-3.498131,4.998333,-1.219087,3.763589,5.010901,-0.12249,1.704471,3.243131,-1.14037,-1.132627,-2.793533,4.932205,-3.087323,-0.246457,-0.9641,-3.402373,-1.534868,1.341434,2.332103,4.814786,2.188824,-0.233062,0.690588,2.011316,0.07491,-4.700831,472.776515
