C,kernel,decision_function_shape,gamma,loss
0.186427,0.089257,1.571111,17.148325,68.75
0.193598,0.096962,1.561347,16.887268,68.75
12.464514,3.353528,1.302975,0.510264,75.9375
12.704545,3.299937,1.293703,0.700142,76.25
3.981794,3.79014,1.094103,1.27298,79.375
3.644496,3.794643,1.105241,1.599411,81.5625
1.965944,3.405947,0.8577,2.38915,85.625
15.2513,3.908246,0.534234,2.946781,85.625
1.699378,3.434011,0.858532,2.382964,85.9375
15.255764,3.880137,0.523904,3.10446,85.9375
0.892868,3.210925,1.973441,12.21074,87.1875
7.722375,3.024047,0.243041,0.093635,87.5
14.346409,3.497242,0.904686,4.748452,87.8125
14.2607,3.512958,0.90224,4.576091,87.8125
6.293275,2.355879,1.190238,11.582015,89.0625
6.752089,2.49143,1.044014,6.08501,89.0625
7.331479,2.927542,1.897223,7.182874,89.0625
8.531457,2.562854,1.820669,4.148929,89.0625
10.668111,2.143156,1.652493,18.310074,89.0625
11.538637,2.834467,0.609847,1.779016,89.0625
13.597645,2.72959,1.777024,16.442315,89.0625
16.202306,2.298362,1.418509,7.569252,89.0625
16.575167,2.714768,1.60847,9.100069,89.0625
17.291881,2.417422,0.095308,14.793655,89.0625
17.718825,2.074674,0.947944,12.814558,89.0625
19.785102,2.187006,0.130391,10.039198,89.0625
6.179571,2.376964,1.175032,11.484737,89.0625
6.729302,2.509251,1.076108,6.086707,89.0625
7.277435,2.900451,1.890009,7.189945,89.0625
7.998335,2.972189,0.262842,0.049525,89.0625
8.573514,2.623529,1.83168,4.205246,89.0625
10.705396,2.133779,1.645071,18.356252,89.0625
11.219881,2.807786,0.61765,1.893947,89.0625
13.262461,2.795204,1.795098,16.627646,89.0625
16.050675,2.248161,1.406376,7.332767,89.0625
16.478437,2.654802,1.631123,9.090497,89.0625
17.234493,2.46462,0.115691,14.409703,89.0625
17.788687,2.062286,0.938604,13.171399,89.0625
19.616829,2.224804,0.144628,10.108038,89.0625
15.673477,3.725809,1.273231,11.103373,90.625
15.868728,3.734874,1.254479,10.934865,90.625
9.788964,3.579074,1.74567,11.924865,91.5625
1.076592,3.209931,1.985263,12.288569,91.5625
9.620959,3.592838,1.72347,11.630519,91.5625
1.224743,0.384527,0.236938,14.321254,92.5
2.259277,0.788922,1.204721,2.577665,92.5
2.544814,0.680353,0.642693,5.60806,92.5
2.925506,0.187496,0.012382,10.59673,92.5
3.551407,0.544271,1.152155,9.765959,92.5
6.849986,0.298502,1.037218,5.328958,92.5
8.25136,0.026743,0.295249,19.232092,92.5
8.878436,0.895036,0.160006,15.125798,92.5
9.381127,0.970254,0.761042,8.342083,92.5
10.345014,0.41456,1.555941,7.909449,92.5
11.774741,0.624417,1.465066,3.230585,92.5
13.719407,0.819126,0.978205,8.76083,92.5
14.4618,3.660421,0.054623,16.306162,92.5
16.869795,3.08327,1.355636,17.339615,92.5
1.553697,0.349888,0.200737,14.342731,92.5
2.057352,0.721791,1.235942,2.776403,92.5
2.610809,0.649156,0.648035,5.858512,92.5
2.816223,0.230283,0.024739,10.413052,92.5
3.208548,0.518964,1.158154,9.606384,92.5
6.98506,0.291112,1.009293,5.543304,92.5
8.325074,0.033903,0.298365,19.331284,92.5
9.164341,0.891336,0.192821,15.088585,92.5
10.012674,0.430193,1.537013,7.643766,92.5
11.992788,0.627428,1.452929,3.54955,92.5
13.860895,0.801895,0.996353,8.766843,92.5
14.609725,3.63954,0.042752,16.286165,92.5
4.16146,3.954194,0.365421,17.785733,92.8125
4.349388,3.950366,0.372599,17.846293,92.8125
16.933036,3.083125,1.326897,17.578639,92.8125
15.009151,3.165374,0.418278,19.631026,94.375
15.161186,3.176554,0.409709,19.994739,94.375
0.618682,1.599292,1.867052,18.677572,99.375
4.579725,1.456735,0.593319,9.278418,99.375
4.892372,1.940994,1.366073,18.997311,99.375
5.210498,1.643127,0.705119,12.706946,99.375
5.79695,1.913998,0.839963,15.829136,99.375
11.075605,1.165644,1.49811,0.885201,99.375
12.207953,1.366877,0.339887,13.764326,99.375
12.922628,1.773616,0.463251,6.549778,99.375
18.010712,1.235855,1.701271,4.844389,99.375
18.524912,1.72701,0.751218,3.986396,99.375
19.008666,1.340733,1.945251,15.2096,99.375
19.49436,1.072346,0.487295,13.538436,99.375
0.585229,1.573957,1.851121,18.483898,99.375
4.401636,1.496729,0.58382,9.438921,99.375
5.002952,1.996886,1.399361,19.19823,99.375
5.409447,1.67866,0.70291,12.698398,99.375
5.937843,1.85576,0.800208,15.977087,99.375
9.249471,1.009137,0.796078,8.240004,99.375
10.858888,1.189963,1.490029,1.157702,99.375
12.110382,1.406101,0.342888,13.934634,99.375
12.852574,1.823614,0.467689,6.678029,99.375
18.039328,1.228604,1.714673,5.102965,99.375
18.768521,1.742221,0.744323,3.835276,99.375
18.952287,1.293163,1.92545,15.375204,99.375
19.352776,1.069591,0.508285,13.586973,99.375
