max_depth,n_estimators,subsample,learning_rate,min_child_weight,loss
44,888,0.410009,0.081822,4.278189,0.25
43,889,0.417932,0.09304,4.084472,0.25625
68,728,0.476143,0.011529,3.262095,0.2625
35,468,0.203423,0.181251,1.412756,0.26875
54,359,0.558965,0.135333,1.327781,0.26875
69,716,0.476589,0.018068,3.118656,0.26875
82,382,0.940719,0.291482,6.004551,0.26875
12,422,0.618798,0.372832,2.781792,0.275
41,255,0.510697,0.478506,3.756376,0.275
73,225,0.969041,0.458669,18.10877,0.275
14,427,0.613721,0.368273,2.880317,0.275
73,185,0.583212,0.639232,5.489636,0.275
24,152,0.485733,0.593023,5.767541,0.28125
50,830,0.718333,0.792412,11.365104,0.28125
67,910,0.653247,0.440527,16.772186,0.28125
76,399,0.22615,0.068102,14.296656,0.28125
25,147,0.490609,0.584347,5.853847,0.28125
47,58,0.271931,0.238908,1.796606,0.2875
37,483,0.214792,0.18993,1.63906,0.2875
55,355,0.545411,0.137888,1.251829,0.2875
57,684,0.89683,0.021547,19.005578,0.2875
73,226,0.976319,0.441456,18.398828,0.2875
79,707,0.761277,0.81601,13.817067,0.2875
96,762,0.730054,0.895431,9.535287,0.2875
54,848,0.801212,0.243861,17.855982,0.29375
62,210,0.356746,0.305531,4.915183,0.29375
71,198,0.594588,0.627455,5.317648,0.29375
83,659,0.686135,0.726123,9.995229,0.29375
53,855,0.815937,0.244632,17.867595,0.29375
6,334,0.664323,0.995493,9.165159,0.3
19,942,0.396713,0.335313,17.08201,0.3
22,280,0.782268,0.203499,14.807499,0.3
46,433,0.362261,0.521656,3.292489,0.3
79,714,0.760535,0.802056,13.908564,0.3
87,138,0.858623,0.838664,16.312308,0.3
89,344,0.29946,0.406627,11.810546,0.3
96,767,0.731198,0.892757,9.499872,0.3
6,332,0.667112,0.990631,8.98086,0.3
22,284,0.78874,0.209855,14.838559,0.3
61,628,0.622804,0.767396,7.059282,0.3
63,207,0.344976,0.307014,4.953384,0.3
38,944,0.906662,0.694627,13.229708,0.30625
57,693,0.896963,0.025835,18.922236,0.30625
58,456,0.070615,0.392403,16.028733,0.30625
60,629,0.630184,0.762815,6.778085,0.30625
93,640,0.982672,0.151101,12.655288,0.30625
18,937,0.383667,0.335966,17.28624,0.30625
26,585,0.154337,0.173695,12.177233,0.30625
34,749,0.311149,0.950172,4.501614,0.30625
46,444,0.368097,0.524149,3.321864,0.30625
76,400,0.239907,0.062426,14.121034,0.30625
95,304,0.832374,0.915775,19.588253,0.30625
9,613,0.450693,0.675297,18.717374,0.3125
27,595,0.142077,0.163218,12.191812,0.3125
81,378,0.955932,0.28982,6.281072,0.3125
85,513,0.245459,0.046276,8.005829,0.3125
91,276,0.934712,0.708778,12.96444,0.3125
10,611,0.450807,0.67577,18.732191,0.3125
37,953,0.911459,0.699717,13.259079,0.3125
42,246,0.508628,0.466086,4.026692,0.3125
47,56,0.269087,0.233943,2.101153,0.3125
84,668,0.697772,0.738131,10.119043,0.3125
88,341,0.289902,0.420065,11.757091,0.3125
29,122,0.877918,0.96505,14.3736,0.31875
94,298,0.825008,0.912216,19.293567,0.31875
69,880,0.574185,0.482674,10.591652,0.31875
92,650,0.991826,0.142073,12.59496,0.31875
28,491,0.43036,0.859907,11.019562,0.325
21,79,0.526312,0.654587,17.505159,0.325
88,143,0.841753,0.839378,16.352899,0.325
17,986,0.754872,0.929925,15.666283,0.33125
21,78,0.535361,0.645536,17.459203,0.33125
66,908,0.648419,0.431752,16.670127,0.33125
85,511,0.255238,0.041563,8.057466,0.33125
14,180,0.331777,0.272126,7.631907,0.3375
77,799,0.088618,0.574093,19.749386,0.3375
11,564,0.188102,0.556012,10.188887,0.3375
17,988,0.7584,0.937327,15.602432,0.3375
60,450,0.065334,0.387754,15.962237,0.3375
71,884,0.564646,0.484207,10.776032,0.34375
50,845,0.70978,0.7814,11.385477,0.34375
92,271,0.920402,0.712589,12.876809,0.34375
30,108,0.863759,0.97712,14.415439,0.35625
65,92,0.027603,0.513858,8.518005,0.35625
7,812,0.174465,0.877775,15.167945,0.3625
11,579,0.198114,0.551343,10.361289,0.3625
65,90,0.029835,0.511512,8.233477,0.3625
51,532,0.109736,0.34488,7.345825,0.3625
78,808,0.083532,0.573759,19.71607,0.3625
34,740,0.303501,0.955454,4.766321,0.36875
15,178,0.326879,0.277559,7.552048,0.36875
51,527,0.112037,0.351988,7.127478,0.375
28,497,0.436684,0.843138,11.02963,0.375
40,549,0.122503,0.756966,8.866286,0.38125
8,819,0.16137,0.868533,15.217076,0.38125
32,772,0.057886,0.610631,2.455066,0.3875
40,555,0.13575,0.7599,8.639659,0.40625
32,787,0.056709,0.607356,2.249622,0.43125
99,963,0.012273,0.116801,6.571624,0.475
99,973,0.011038,0.10489,6.640389,0.55
