x8,x9,x30,x10,x12,x11,x14,x13,x16,x15,x18,x17,x19,x21,x20,x23,x1,x22,x2,x25,x3,x24,x4,x27,x5,x26,x6,x29,x7,x28,y
4.283612,8.787143,0.430681,0.474872,1.100246,3.157342,1.081192,3.135076,7.65717,6.489671,7.154018,-2.756262,2.686421,4.845994,1.060131,-2.771379,0.535484,-1.996319,5.226245,-3.896478,3.438478,3.21982,4.299305,3.002641,2.033269,-0.469957,-4.103705,-1.337198,7.326952,-3.214586,1.14041E+14
4.191555,8.710295,0.53267,0.491341,1.030935,3.232834,1.149975,3.224132,7.603438,6.52867,7.296679,-2.82775,2.654898,4.825483,1.008006,-2.815981,0.547682,-1.85598,5.288191,-3.812321,3.424163,3.208869,4.219153,3.098888,1.907751,-0.356684,-4.135558,-1.302855,7.318346,-3.234746,1.1499E+14
4.22079,8.77369,0.474909,0.404018,1.107279,3.139654,1.01673,3.196529,7.645391,6.473,7.270954,-2.774074,2.702961,4.806715,1.099429,-2.869097,0.457387,-1.929595,5.246271,-3.844386,3.436902,3.119809,4.279961,3.028314,1.951593,-0.38336,-4.111413,-1.299981,7.381319,-3.289403,1.15183E+14
4.282877,8.77815,0.476721,0.5105,1.057205,3.127422,1.065193,3.12,7.652849,6.442041,7.156211,-2.805703,2.70662,4.808788,1.123594,-2.824775,0.457153,-1.921153,5.245818,-3.925045,3.433542,3.165621,4.159195,3.076424,2.006779,-0.446513,-4.172661,-1.361398,7.380239,-3.327095,1.1566E+14
4.229509,8.769088,0.497349,0.423394,1.121435,3.233845,1.02254,3.114433,7.604245,6.431592,7.173107,-2.882906,2.785132,4.857367,1.13329,-2.791109,0.400411,-1.981802,5.266541,-3.933736,3.501146,3.207026,4.168758,2.976897,2.008038,-0.495027,-4.231257,-1.332085,7.389653,-3.260242,1.15932E+14
4.202463,8.749962,0.535499,0.420439,1.126704,3.151467,1.099242,3.135492,7.686062,6.464303,7.1861,-2.831345,2.709723,4.896213,1.111734,-2.834996,0.450229,-1.950232,5.274358,-3.837449,3.520804,3.163368,4.183346,3.021031,1.904293,-0.482641,-4.153747,-1.34372,7.384384,-3.275847,1.16022E+14
4.247945,8.794581,0.511259,0.443228,1.053625,3.173975,1.133753,3.159391,7.660921,6.479405,7.191573,-2.822913,2.722283,4.800069,1.086285,-2.893135,0.506415,-1.965308,5.227098,-3.935077,3.519824,3.186535,4.166924,2.951595,1.909832,-0.415257,-4.133293,-1.277307,7.417413,-3.34307,1.1725E+14
4.26054,8.730878,0.459315,0.455623,1.05208,3.17582,1.120606,3.184724,7.656929,6.495457,7.280214,-2.76091,2.691924,4.890885,1.05812,-2.883571,0.406942,-1.858805,5.279755,-3.888882,3.535023,3.211887,4.292578,3.036767,1.986303,-0.387056,-4.13718,-1.382189,7.441009,-3.342553,1.20142E+14
9.027493,-3.538495,4.055277,-3.23052,2.881814,1.824473,4.436101,1.265128,2.008503,3.562262,-4.959748,2.712871,-3.750069,1.290231,8.123257,-1.728805,8.717463,-3.749534,4.331915,-0.114374,3.068904,-4.582937,-0.841999,-0.502571,-2.304647,5.059194,7.240672,-0.562961,2.525477,-4.40012,1.39715E+14
9.066264,-3.591858,4.101983,-3.209764,2.931631,1.793859,4.365538,1.234939,1.912938,3.57306,-4.86612,2.7406,-3.773074,1.170937,8.055638,-1.833932,8.78889,-3.687547,4.395127,-0.066223,3.069936,-4.60877,-0.920792,-0.511094,-2.347494,5.136598,7.232237,-0.534942,2.564346,-4.455609,1.40552E+14
