C,kernel,gamma,decision_function_shape,loss
0.003540137460403936,3.0,2.3946547263720563,1.0,55.93749999999999
0.8784677315365086,3.0,2.47841778107503,1.0,55.93749999999999
0.5601769661840224,3.0,2.5512095900493303,1.0,55.93749999999999
0.8370484036644654,3.0,2.862322138633969,1.0,55.93749999999999
0.4112316101201446,3.0,2.1074998327297205,1.0,55.93749999999999
0.43696845619149016,3.0,2.3412158493338344,1.0,55.93749999999999
0.053965018857429714,3.0,2.3240833842927673,1.0,55.93749999999999
0.006506501211837545,3.0,1.2560821654141008,1.0,55.93749999999999
0.0771696792819947,3.0,2.5836909807933397,1.0,55.93749999999999
0.18472139537334442,rbf,2.276538610458374,ovo,55.93749999999999
0.7937833666801453,rbf,0.11095518618822098,ovo,56.56250000000001
0.12509791553020477,rbf,0.8253586888313293,ovo,56.56250000000001
0.004503015102745422,3.0,0.9130420936930181,1.0,56.56250000000001
0.8042288422584534,rbf,3.3969388008117676,ovo,56.875
0.4428188715682568,3.0,3.7028115730119238,1.0,56.875
0.627730667591095,rbf,3.4125149250030518,ovo,56.875
0.4759828448295593,rbf,3.4027979373931885,ovo,56.875
0.8547605323830776,3.0,3.4943138233577575,1.0,56.875
0.5583449669744192,3.0,3.5329866860074377,1.0,56.875
0.9417079132897361,3.0,3.476118155990024,1.0,56.875
0.6771983899419898,3.0,3.37442605999773,0.0,56.875
0.4046255946159363,rbf,0.4085034728050232,ovo,57.1875
0.7321843369119758,3.0,0.018697642991167385,1.0,57.1875
0.6725717186927795,rbf,0.7063227295875549,ovo,57.1875
0.2893214821815491,rbf,0.5285328030586243,ovo,57.1875
0.09660466240763993,3.0,0.6817013236432761,1.0,57.1875
0.08877601487009679,3.0,0.6085073840431245,1.0,57.1875
0.3497049094799294,3.0,3.958571710702005,1.0,61.5625
0.5164132960599302,3.0,3.085998894813782,1.0,63.125
0.030449909114884544,3.0,2.7067499278815337,1.0,63.125
0.6480197889687611,3.0,3.0760375680510124,1.0,63.125
0.5265067219734192,rbf,3.002516269683838,ovo,63.125
10.336195109751998,3.0,0.01037467363122424,1.0,66.875
1.2460112437245232,3.0,0.00553833739352072,0.0,70.625
6.699561718468925,3.0,0.5699019046757445,1.0,75.0
4.488887310028076,rbf,0.5443577170372009,ovo,75.0
2.208145988355853,3.0,0.5269493425967573,1.0,75.3125
8.000187945103933,3.0,0.3891900301926654,1.0,76.5625
8.80784545479094,3.0,0.4038836936180039,1.0,76.5625
6.212165560435651,3.0,0.7976529801677172,1.0,77.1875
1.3189550638198853,rbf,0.8071697354316711,ovo,77.1875
2.629664897918701,rbf,0.7365488409996033,ovo,77.1875
7.090526185434717,3.0,0.9147005105096715,0.0,77.8125
4.08959220881914,3.0,0.8874274208703334,1.0,77.8125
3.2077737067797205,3.0,1.0349650790789262,1.0,78.125
16.610464900868784,3.0,1.0573569941471332,0.0,78.4375
1.6712400005217083,3.0,1.2039426012657568,1.0,78.75
2.000451682116484,3.0,1.2854105936292866,1.0,79.6875
1.4638580389538534,3.0,1.3669282236364375,1.0,80.0
2.3769063912277044,3.0,1.342747033278485,1.0,80.0
1.944374442100525,rbf,1.4265754222869873,ovo,80.625
12.008654296250688,3.0,1.451700543870951,1.0,80.9375
3.5247783340674212,3.0,1.4810295977169754,1.0,81.25
2.6053942043402722,3.0,1.4883468952113126,1.0,81.25
4.295117131877301,3.0,1.6560320588179938,1.0,81.875
1.3755512218146635,3.0,1.667482724209586,1.0,81.875
3.1615387559771078,3.0,1.5592520833418193,1.0,82.1875
1.3479925658475564,3.0,1.5644384348213425,1.0,82.1875
2.5550007437118456,3.0,1.5584960735996505,1.0,82.1875
2.243569850921631,rbf,1.728654384613037,ovo,82.5
3.5158803779948307,3.0,1.7983383908317863,1.0,83.75
1.0655958652496338,rbf,2.204232931137085,ovo,84.0625
1.127636623669508,3.0,2.177993157881061,1.0,84.0625
0.04527335287343828,3.0,5.063287325319914,1.0,84.0625
0.009486993181389236,3.0,4.446478594753206,1.0,84.0625
1.8976739124758457,3.0,1.7825975599187052,1.0,84.0625
1.988320231437683,rbf,1.8163248300552368,ovo,84.375
1.5843483209609985,rbf,1.903584361076355,ovo,84.375
1.0904526981884375,3.0,1.834577808239513,1.0,84.375
5.784389282769506,3.0,2.22931324359618,1.0,84.375
1.5569887161254883,rbf,1.9814410209655762,ovo,84.375
3.201967010449211,3.0,2.0254341237415723,1.0,84.375
4.220681682469046,3.0,1.9986690241349208,1.0,84.375
1.6385911703109741,rbf,1.8909820318222046,ovo,84.375
5.988512649244163,3.0,1.8655514721530184,1.0,84.375
3.5507112374061585,3.0,1.9474913669458012,0.0,84.375
5.278504039341128,3.0,2.060665447723468,1.0,84.6875
19.948258115807597,3.0,2.2815421361958887,1.0,84.6875
1.3500409126281738,rbf,1.9347031116485596,ovo,84.6875
1.630589675144065,3.0,2.084877348626679,1.0,84.6875
0.016442057864588397,3.0,5.241582773503713,1.0,85.3125
2.1142720142195492,3.0,2.489269894576174,1.0,85.3125
0.4973548255294103,3.0,8.365086915129423,0.0,85.625
1.5844398120960348,3.0,2.382866772750084,1.0,85.625
1.7173312966094603,3.0,2.4063615121432695,1.0,85.625
0.7425914288552401,3.0,8.492814275334295,1.0,85.625
2.072875024260999,3.0,2.9394205360332,1.0,85.625
3.775004772096797,3.0,2.464099431159065,1.0,85.625
1.832197258743407,3.0,2.4189102312155377,1.0,85.625
4.806205292535451,3.0,2.9207030494547443,1.0,85.9375
10.693461834471172,3.0,2.8693948831303047,1.0,85.9375
0.1282238284764361,3.0,8.983216268189164,1.0,85.9375
1.243909505462169,3.0,2.665797921949898,1.0,85.9375
5.202798045025824,3.0,2.3754367285768887,1.0,85.9375
6.172689372179626,3.0,2.335334103768097,0.0,85.9375
0.37574035902411396,3.0,9.49748686610797,1.0,85.9375
1.2532661177782387,3.0,2.692985972078731,1.0,85.9375
1.3530068843828271,3.0,3.9384143717678985,1.0,86.25
15.721793096448309,3.0,3.8841328550187457,1.0,86.25
2.5012721585890265,3.0,3.8841875160023442,1.0,86.25
5.2941035980091495,3.0,3.976287512630052,1.0,86.25
0.37589036717276036,3.0,6.943641255079261,0.0,86.25
0.6459614096298386,3.0,6.462105415155513,1.0,86.25
4.678761014683565,3.0,4.04880703274238,1.0,86.25
4.031229962004119,3.0,3.8740481877274844,1.0,86.25
9.369909433836376,3.0,4.027018887975469,1.0,86.25
0.7237674056741011,3.0,9.701501300511442,1.0,86.25
0.0007291497823604942,3.0,3.760809826179282,1.0,86.25
7.779850076421988,3.0,2.773527502470846,0.0,86.25
5.575282040201029,3.0,3.9051448450116495,1.0,86.25
4.173553477312529,3.0,3.6656977116283427,1.0,86.5625
1.9111793194446556,3.0,3.520602006000929,1.0,86.5625
0.027578365986698293,3.0,13.693108445425912,0.0,86.5625
9.084861887554355,3.0,3.3682873914442704,1.0,86.5625
9.006584768086189,3.0,3.480374622391778,0.0,86.5625
0.02887330096496267,3.0,5.9171843462554525,1.0,86.5625
2.5460061974827863,3.0,3.5247833812803036,1.0,86.5625
0.004458449065813538,3.0,13.238812503712053,1.0,86.5625
4.862575489305785,3.0,3.5921749027845067,1.0,86.5625
0.30857077181486625,3.0,12.472412328519727,1.0,86.875
1.2403492504045945,3.0,3.7744370740554523,1.0,86.875
13.544242171875258,3.0,4.306588880628228,1.0,87.1875
6.496436469217649,3.0,5.20064103004686,1.0,87.1875
8.57570320234535,3.0,4.21672663096193,1.0,87.1875
3.987288706117992,3.0,5.409967263101505,1.0,87.1875
8.35769003238022,3.0,4.199507787434466,0.0,87.1875
2.9821595035396204,3.0,4.164261292696742,1.0,87.1875
5.607996680085508,3.0,5.477673266799846,1.0,87.1875
12.90931366417562,3.0,5.318903341877327,1.0,87.1875
1.2944014327168212,3.0,4.4259958081167365,1.0,87.5
3.377454695673756,3.0,4.408901535908344,1.0,87.5
15.968276919268897,3.0,5.610975179684026,1.0,87.5
10.777462749949947,3.0,5.651072902493381,0.0,87.5
6.842929699017259,3.0,4.533131715129248,1.0,87.5
13.812811809487759,3.0,4.635908350614172,1.0,87.8125
10.401072265035932,3.0,4.981986689722628,1.0,87.8125
13.175761183572774,3.0,4.5668846880848495,1.0,87.8125
6.8059548762919055,3.0,4.805599500768787,1.0,87.8125
1.7347738281603209,3.0,4.898375488480914,0.0,87.8125
0.5894399319800584,3.0,4.768519508017709,1.0,88.125
4.647518741565672,3.0,0.08468296017071353,1.0,88.125
5.624202429316412,3.0,0.08352365554546859,1.0,88.125
0.3393286399436295,3.0,4.569482996207611,1.0,88.125
2.8334938654395376,3.0,5.809720317317402,1.0,88.75
5.386334324910267,3.0,6.764316316612894,1.0,89.0625
0.8064356531292259,2.0,0.011727606688699765,0.0,89.0625
7.447537739624167,2.0,2.549949898174703,1.0,89.0625
0.3165559236897445,2.0,4.957393365656452,1.0,89.0625
0.003235451419287577,2.0,1.1185858206192663,1.0,89.0625
6.785779701217543,2.0,3.0954483842478737,1.0,89.0625
11.114305911207383,2.0,5.86924663061299,0.0,89.0625
1.6115097757704233,2.0,2.6169207102225243,1.0,89.0625
1.936143261767059,3.0,5.904645851065654,1.0,89.0625
2.9236986282130175,3.0,6.017925003796396,0.0,89.0625
