lr,numOfL1,numOfL2,keep_prob,batch_size,loss
0.126851409,110,25,0.564784262,14,7.334293063
0.21918377,4,37,0.815839766,7,8.313976069
0.496530354,29,7,0.339925102,31,9.823627999
0.931403784,75,9,0.599160075,20,9.906795309
0.330769634,30,9,0.538249942,3,9.975337394
0.76551201,115,5,0.948423923,23,9.991116321
0.291293816,102,4,0.399130889,23,9.996702311
0.335853145,92,13,0.650934344,24,9.997799027
0.183311799,20,43,0.002101619,2,10
0.242139098,86,86,0.002222343,4,10
0.263980691,100,59,0.089425451,7,10
0.191877606,34,85,0.014667383,21,10
0.092973042,110,24,0.027376219,24,10
0.59947232,11,33,0.023175953,26,10
0.576426558,82,114,0.022021522,28,10
0.123464786,62,119,0.010129719,28,10
0.366416595,32,13,0.002961792,29,10
0.724463528,7,33,0.552613407,29,10.00832123
0.675218029,59,9,0.836340174,32,10.01165049
0.378507833,40,20,0.488863148,29,10.02759553
0.380092584,70,3,0.32411105,11,10.03262238
0.390843496,70,19,0.747203134,18,10.03856218
0.476993477,13,53,0.841528905,21,10.04704757
0.675201899,47,20,0.601599986,32,10.04902492
0.439846851,77,14,0.575906409,7,10.05594485
0.326219674,81,23,0.352545593,15,10.06787269
0.592821246,2,45,0.887263181,28,10.07080032
0.355281354,75,13,0.726881116,25,10.07081907
0.878921696,10,6,0.346990424,20,10.16241132
0.458927149,80,2,0.617790553,3,10.23855793
0.001914854,115,7,0.043410071,6,10.30167159
0.894518138,54,7,0.970423262,13,10.46468761
0.884532789,3,12,0.927343207,14,10.62583147
0.739577585,42,16,0.892223442,26,10.69953008
0.235874785,73,66,0.937626526,28,10.7544689
0.649007156,85,45,0.551104663,26,10.78125464
0.663636926,86,31,0.748298443,11,11.11687358
0.775923619,10,70,0.558220783,24,11.15021306
0.741377528,118,62,0.961581305,29,11.65874837
0.199669117,94,51,0.93437088,10,11.7846086
0.553495853,80,80,0.418939043,28,11.88199945
0.748266386,120,78,0.599681294,17,12.32990723
0.997841054,80,7,0.547891286,18,12.4625423
0.220387207,119,32,0.906946535,32,12.57603156
0.311930986,45,85,0.921140851,20,12.57810206
0.26566267,4,3,0.221143094,12,12.58268486
0.043989092,95,13,0.038376364,2,12.75253213
0.188553624,104,52,0.801330535,8,12.82097282
0.586459885,118,60,0.511299601,8,12.91481581
0.25059093,4,82,0.227761693,29,12.98311405
0.820912837,45,123,0.563554164,30,13.5135268
0.190930288,128,60,0.889076258,14,13.54786672
0.339366275,61,111,0.981337039,19,13.65705679
0.620917083,53,36,0.458076878,21,13.87143944
0.104066712,19,54,0.047707465,10,14.18943494
0.619738424,46,38,0.923176745,12,14.3492176
0.597938593,120,30,0.660721696,13,14.57667272
0.251420417,30,57,0.824089669,14,14.66938315
0.12244361,30,60,0.923589123,14,15.07967236
0.656824337,57,48,0.96914655,28,15.34953796
0.381911892,112,20,0.786286308,3,15.8110322
0.671702688,122,84,0.967689583,2,15.91313996
0.963171007,92,70,0.576178746,24,16.31978892
0.379517011,113,56,0.735139667,29,16.32992701
0.700209179,94,13,0.286717554,8,16.41933851
0.879577191,101,20,0.792690863,18,17.06547403
0.086684117,36,54,0.758819124,30,17.10897991
0.266619234,91,48,0.772515078,30,17.28303309
0.481668025,70,20,0.854535674,32,17.32321515
0.135252549,5,41,0.384862752,30,17.68143386
0.362821235,54,91,0.635176198,27,17.76473055
0.310446714,55,104,0.84561331,19,18.05782067
0.304446023,40,92,0.899641284,13,18.78480139
0.649084145,49,51,0.43392231,28,19.91402222
0.198886367,15,30,0.51806134,12,20.42277353
0.71940791,13,119,0.972782156,31,21.79020509
0.165607993,99,93,0.818542495,17,21.98444106
0.949295636,25,44,0.634878191,29,22.46016408
0.121501153,39,31,0.524820889,17,22.93605116
0.894699612,19,89,0.666548154,28,23.13415868
0.065381723,88,58,0.815046117,20,24.82147858
0.279295154,126,125,0.981529537,17,26.07020142
0.570140487,127,89,0.763255034,20,26.15519686
0.451646201,46,118,0.687947864,29,27.78079739
0.916985358,11,10,0.382285439,14,28.78411535
0.965285936,77,70,0.851386847,7,31.42640714
0.284891701,112,96,0.629087184,13,32.61669446
0.469731066,87,51,0.923758837,10,35.18543439
0.358942837,26,66,0.411097608,29,36.82098486
0.242113652,20,25,0.057678672,22,37.27792165
0.936222768,94,110,0.933972938,23,37.41435397
0.211940946,99,73,0.450036479,23,42.8738351
0.065674008,23,48,0.983765375,19,44.10548849
0.975747199,111,68,0.975209154,26,45.05203295
0.908171027,63,103,0.814030195,18,46.44410408
0.271573613,45,32,0.846896522,23,46.59412967
0.455453277,58,57,0.760955266,24,47.7099758
0.364467845,41,46,0.348877875,24,53.72976088
0.902294586,69,46,0.559281278,24,54.64119522
0.874089697,44,64,0.544158384,30,54.69778591
0.92214924,76,53,0.885501774,27,55.68147845
0.130888898,127,86,0.756758192,26,58.51525201
0.225025563,42,66,0.947128224,6,58.93585196
0.912626797,26,89,0.867708336,12,62.55849831
0.176991116,118,57,0.398420237,23,66.90598803
0.1098815,117,95,0.860819079,22,70.38418824
0.797562699,112,55,0.793803954,13,75.79465543
0.346536996,86,89,0.659286467,17,76.60952101
0.713023843,92,24,0.437486529,13,77.31634183
0.851436767,104,29,0.533075879,7,84.82289056
0.147243355,79,36,0.671326647,15,88.14228488
0.804500794,71,120,0.985944073,18,88.20760384
0.267675558,84,43,0.613181658,11,89.07403126
0.269033677,70,92,0.619936948,27,89.20639572
0.028618559,43,23,0.842433954,8,89.37465836
0.703470756,47,116,0.890751072,16,89.5905683
0.603720221,117,11,0.344326032,12,91.18804049
0.196486425,73,100,0.587944923,22,91.22756503
0.621026414,11,86,0.968581128,4,92.61783284
0.065750588,81,42,0.915253431,14,94.44580359
0.872495399,71,57,0.823578717,21,99.16475376
0.813255618,84,63,0.642589502,25,100.3429406
0.707284148,78,93,0.960757411,21,100.8808551
0.100029318,37,86,0.702107628,15,102.8168432
0.98481508,115,2,0.214623958,13,106.1506467
0.922177845,72,36,0.944337046,25,108.7081761
0.016904076,115,15,0.642424824,29,114.0635416
0.07555038,70,93,0.804167899,23,114.2989281
0.037698765,48,41,0.684730471,29,116.9112188
0.122581458,51,114,0.781433525,31,123.6129329
0.891853458,57,22,0.500358856,9,124.2462883
0.899323732,126,75,0.728119329,27,140.3308397
0.16920809,75,92,0.531598834,23,142.7273145
0.866140429,79,119,0.917548167,12,154.3731271
0.103334059,9,46,0.43983536,12,164.999138
0.714463252,79,52,0.476907356,9,166.7145859
0.91423115,8,104,0.338934581,27,187.6787905
0.233466882,66,110,0.736623176,19,189.0769983
0.032862956,113,21,0.410326158,23,192.9655774
0.839919613,128,109,0.545324781,29,195.1754968
0.596057943,62,121,0.699362438,13,198.2869712
