C,kernel,gamma,decision_function_shape,loss
13.12436934,rbf,1.586428443,ovo,81.875
2.431586642,rbf,1.897341676,ovr,84.375
2.432391407,rbf,2.684797512,ovo,85.9375
16.38474953,rbf,3.974644521,ovr,86.25
3.487074761,rbf,3.389735764,ovo,86.5625
0.192975189,rbf,15.70164736,ovr,87.1875
13.59789526,rbf,5.216727801,ovr,87.1875
7.200171801,poly,17.83353888,ovo,89.0625
10.61684776,rbf,6.369002444,ovo,89.0625
12.20108949,poly,7.768429065,ovo,89.0625
2.478266691,poly,1.796638936,ovo,89.0625
13.54008276,poly,10.34579127,ovo,89.0625
4.905845885,poly,7.627404475,ovo,89.0625
9.963015658,poly,16.95449223,ovo,89.0625
12.42045227,poly,8.858596315,ovo,89.0625
10.22687011,poly,15.76254227,ovo,89.0625
8.492739604,poly,14.93584781,ovo,89.0625
5.638751817,poly,7.80732865,ovr,89.0625
4.841592899,poly,11.15731887,ovr,89.0625
17.29691982,poly,19.89875754,ovr,89.0625
19.63008727,poly,16.02512403,ovr,89.0625
17.60100121,rbf,6.238647534,ovr,89.0625
12.00500343,poly,14.8654216,ovr,89.0625
2.483826783,poly,15.20053673,ovr,89.0625
1.992114041,poly,4.796679096,ovr,89.0625
11.13812056,poly,6.140068305,ovr,89.0625
10.09889388,poly,2.983499142,ovr,89.0625
8.97982124,poly,6.032909877,ovr,89.0625
12.47132247,poly,13.80685639,ovr,89.0625
2.311605663,poly,4.810599844,ovr,89.0625
12.62632002,poly,6.490021698,ovr,89.0625
8.931559836,rbf,7.574872592,ovo,89.375
16.50774663,rbf,7.618353841,ovo,89.375
6.181439516,rbf,9.558989579,ovo,90
10.07806211,rbf,11.07765385,ovr,90.625
5.298863519,rbf,13.08132806,ovo,91.5625
14.68850689,rbf,11.62214051,ovo,91.5625
3.886713285,rbf,11.87820675,ovr,91.5625
15.79266389,rbf,12.38447044,ovr,91.5625
2.792850705,rbf,13.22092535,ovr,91.5625
6.745464531,rbf,14.26476798,ovo,91.875
1.331984679,rbf,15.75788512,ovo,92.1875
15.55243043,linear,9.236106578,ovo,92.5
13.74699657,linear,11.67411244,ovo,92.5
3.193773639,linear,0.181523876,ovo,92.5
11.13292106,linear,18.76733834,ovo,92.5
17.52534949,linear,6.765958654,ovo,92.5
16.97385755,linear,17.76670671,ovo,92.5
1.850641124,linear,10.06076088,ovo,92.5
8.739793027,linear,11.12805447,ovo,92.5
18.11696588,linear,9.382751295,ovo,92.5
16.37762056,linear,0.363991361,ovo,92.5
3.595850372,linear,4.308593479,ovo,92.5
8.897563632,linear,9.367845309,ovo,92.5
12.11089527,linear,15.9518896,ovo,92.5
10.73583071,linear,16.76350803,ovo,92.5
1.252386098,linear,2.56191866,ovr,92.5
19.23457539,rbf,16.7555905,ovr,92.5
5.398092637,linear,0.137906958,ovr,92.5
5.532329649,linear,3.154282674,ovr,92.5
4.858399649,linear,3.54234419,ovr,92.5
12.95958798,linear,6.485677401,ovr,92.5
18.91667023,linear,17.40408959,ovr,92.5
11.41276624,linear,13.38481323,ovr,92.5
19.65684787,rbf,17.35230088,ovr,92.5
8.659396324,linear,16.84829367,ovr,92.5
18.50796188,linear,1.103734991,ovr,92.5
17.19889945,linear,4.241354701,ovr,92.5
17.69840743,linear,3.039745379,ovr,92.5
0.492447947,linear,0.211936413,ovr,92.5
13.08765482,rbf,18.17860788,ovo,93.125
3.657321955,rbf,19.16127873,ovo,93.75
19.34646326,sigmoid,13.49567271,ovo,99.375
10.33608892,sigmoid,2.53663849,ovo,99.375
15.97717732,sigmoid,19.75314061,ovo,99.375
1.169054109,sigmoid,8.898105919,ovo,99.375
14.35036629,sigmoid,9.361672277,ovo,99.375
9.337269756,sigmoid,19.45527383,ovo,99.375
6.478454667,sigmoid,6.536702446,ovo,99.375
13.257255,sigmoid,15.49351214,ovo,99.375
10.23882415,sigmoid,16.97191418,ovo,99.375
1.809002026,sigmoid,13.74284226,ovo,99.375
2.035144628,sigmoid,8.98266058,ovo,99.375
15.74325537,sigmoid,12.79994077,ovo,99.375
15.49349414,sigmoid,0.673088404,ovo,99.375
3.672595168,sigmoid,2.860605329,ovo,99.375
1.481257708,sigmoid,0.867161617,ovo,99.375
12.79401138,sigmoid,10.87545751,ovo,99.375
14.75076084,sigmoid,12.70946281,ovr,99.375
15.60007578,sigmoid,17.16183422,ovr,99.375
13.21380079,sigmoid,10.43583984,ovr,99.375
12.23606066,sigmoid,6.898599449,ovr,99.375
1.752952578,sigmoid,5.537445152,ovr,99.375
3.153998464,sigmoid,3.224342706,ovr,99.375
2.821394561,sigmoid,5.264309791,ovr,99.375
0.937477033,sigmoid,6.672998461,ovr,99.375
4.117790449,sigmoid,10.93660195,ovr,99.375
10.32981705,sigmoid,16.01846059,ovr,99.375
3.74765238,sigmoid,3.17200368,ovr,99.375
4.811626777,sigmoid,8.30102711,ovr,99.375
