max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
9,182,0.01517348,0.771699393,3,0.23125
17,153,0.081118582,0.856575959,3,0.2375
8,232,0.024578624,0.901384126,4,0.24375
9,208,0.177308116,0.614727129,1,0.25
6,330,0.618256884,0.987941521,1,0.25625
17,432,0.122559254,0.294701085,1,0.25625
16,295,0.174291637,0.665048733,1,0.25625
5,291,0.171765837,0.664544803,2,0.25625
14,229,0.168120432,0.595881926,2,0.25625
14,434,0.020274068,0.299357853,2,0.25625
7,406,0.412714389,0.893962506,3,0.25625
20,267,0.255695932,0.360004069,1,0.2625
15,243,0.179279624,0.818487181,1,0.2625
18,204,0.837465823,0.876563886,2,0.2625
9,172,0.073657591,0.432853722,2,0.2625
16,414,0.315719197,0.5720441,3,0.2625
14,372,0.768292925,0.411031729,3,0.2625
19,284,0.306948365,0.293827438,3,0.2625
10,372,0.32972951,0.711708461,4,0.2625
13,206,0.030884532,0.659105163,4,0.2625
13,417,0.035590613,0.478450265,6,0.2625
15,331,0.861721077,0.231887522,1,0.26875
20,415,0.647863334,0.336035155,1,0.26875
12,353,0.61395311,0.640096385,1,0.26875
15,309,0.147546569,0.679940289,1,0.26875
15,413,0.312486896,0.579823116,1,0.26875
14,364,0.201253499,0.92937897,2,0.26875
17,178,0.855148358,0.800061505,2,0.26875
11,376,0.947010779,0.87785542,3,0.26875
14,230,0.176299304,0.903632637,5,0.26875
6,173,0.172489156,0.661308843,6,0.26875
16,441,0.113926474,0.403061451,8,0.26875
13,158,0.217544618,0.521759686,8,0.26875
5,327,0.725538211,0.971696538,8,0.26875
19,285,0.377136161,0.984873801,9,0.26875
10,159,0.834708956,0.489821562,10,0.26875
18,448,0.635583348,0.514939225,1,0.275
20,440,0.533816709,0.236143018,1,0.275
11,301,0.258025474,0.226786546,2,0.275
7,393,0.302866018,0.553630294,3,0.275
13,428,0.259521144,0.992173077,3,0.275
16,264,0.114337823,0.631307044,4,0.275
10,262,0.632166215,0.756272668,4,0.275
17,407,0.541995459,0.94829884,4,0.275
14,335,0.394324594,0.551789304,4,0.275
20,424,0.487068833,0.70659646,4,0.275
20,331,0.383138108,0.846725971,5,0.275
5,216,0.241921288,0.252076766,5,0.275
10,164,0.035171016,0.617212939,6,0.275
17,338,0.079400872,0.521220961,7,0.275
17,190,0.226282557,0.637936989,8,0.275
12,177,0.038818946,0.633106728,8,0.275
8,242,0.180185402,0.782424723,8,0.275
11,343,0.113157401,0.456577497,8,0.275
10,352,0.784700911,0.683586049,1,0.28125
19,440,0.996519524,0.365907882,1,0.28125
20,248,0.477033283,0.728970036,1,0.28125
12,233,0.454693269,0.7836443,1,0.28125
12,256,0.2654512,0.880006249,1,0.28125
5,326,0.475415502,0.652822776,1,0.28125
15,239,0.303144023,0.575402462,2,0.28125
15,326,0.827866792,0.999571858,2,0.28125
12,426,0.34486306,0.587450513,2,0.28125
8,164,0.265118303,0.51391374,2,0.28125
15,420,0.987803436,0.434259051,3,0.28125
19,447,0.371384419,0.972078597,3,0.28125
9,368,0.612126369,0.325542525,3,0.28125
5,301,0.151062037,0.692353587,3,0.28125
6,405,0.659570426,0.908975553,4,0.28125
13,257,0.383047488,0.572277459,4,0.28125
10,162,0.207804028,0.778941544,5,0.28125
16,312,0.410726426,0.481560603,5,0.28125
15,183,0.250825855,0.726451936,5,0.28125
13,234,0.063878188,0.527393881,5,0.28125
13,383,0.183657674,0.721157049,5,0.28125
6,289,0.144983119,0.957541338,6,0.28125
10,387,0.48567303,0.808473995,7,0.28125
16,320,0.090348395,0.984235555,7,0.28125
16,152,0.298697102,0.925292776,8,0.28125
12,310,0.035302141,0.339440265,8,0.28125
15,228,0.27709622,0.260229859,9,0.28125
11,324,0.22031148,0.813189116,9,0.28125
7,391,0.334115084,0.837292465,10,0.28125
16,316,0.990737867,0.90239159,1,0.2875
14,181,0.410594798,0.267596874,2,0.2875
14,205,0.714874915,0.887147012,2,0.2875
16,207,0.454964157,0.840460683,2,0.2875
11,362,0.850045486,0.401572573,2,0.2875
5,422,0.140243153,0.29826489,2,0.2875
13,237,0.569549964,0.80604959,3,0.2875
18,284,0.800824141,0.824928423,3,0.2875
9,315,0.199125657,0.317034623,3,0.2875
8,245,0.736968525,0.713732053,3,0.2875
17,413,0.192100032,0.972533035,4,0.2875
17,178,0.883641142,0.855231052,4,0.2875
18,308,0.665025054,0.529210409,5,0.2875
10,376,0.027198736,0.200237868,5,0.2875
5,278,0.325592996,0.461381328,5,0.2875
5,168,0.559470989,0.74356963,6,0.2875
12,439,0.082692808,0.466694419,6,0.2875
20,220,0.187838564,0.911331231,6,0.2875
5,233,0.908109485,0.52458895,7,0.2875
8,439,0.206729441,0.904620504,7,0.2875
6,227,0.043176699,0.548537614,7,0.2875
18,347,0.708528364,0.968208371,7,0.2875
9,424,0.921033025,0.526284375,7,0.2875
8,416,0.666481558,0.957586901,7,0.2875
5,204,0.073404607,0.112096765,8,0.2875
6,404,0.791110038,0.446914922,8,0.2875
7,296,0.328111058,0.132598987,9,0.2875
11,433,0.728257504,0.186238827,1,0.29375
20,386,0.655223951,0.78510031,1,0.29375
18,299,0.527902234,0.515015017,2,0.29375
8,430,0.768721817,0.238284393,2,0.29375
11,373,0.464453174,0.61478728,2,0.29375
7,278,0.634948517,0.598120137,2,0.29375
10,331,0.38486252,0.712497087,3,0.29375
10,346,0.552405481,0.658136326,4,0.29375
20,352,0.684337098,0.953062981,4,0.29375
18,351,0.325984473,0.543479151,5,0.29375
11,372,0.132911968,0.964790134,5,0.29375
19,449,0.151676344,0.491542338,6,0.29375
15,296,0.732384001,0.374027063,6,0.29375
6,417,0.048031449,0.50050136,8,0.29375
10,344,0.71049917,0.878549872,8,0.29375
16,186,0.969805991,0.992898971,9,0.29375
5,208,0.08343904,0.539262947,9,0.29375
10,450,0.854927507,0.912426132,9,0.29375
13,199,0.952076706,0.832901159,9,0.29375
8,386,0.784365707,0.95373189,9,0.29375
6,417,0.740416084,0.764966935,9,0.29375
5,245,0.244747434,0.718844321,10,0.29375
8,242,0.179391554,0.659000959,10,0.29375
7,410,0.692714194,0.980376507,1,0.3
6,168,0.135002465,0.255012832,2,0.3
5,236,0.876130583,0.460237519,3,0.3
16,203,0.385101281,0.327982369,3,0.3
18,408,0.605731166,0.314750939,4,0.3
8,440,0.053573774,0.06471082,4,0.3
11,341,0.24310709,0.579947097,4,0.3
6,288,0.372976346,0.428417797,4,0.3
19,233,0.879609935,0.371503438,5,0.3
7,323,0.602657785,0.232067357,5,0.3
10,233,0.721857785,0.625332613,5,0.3
8,340,0.294323081,0.727514124,6,0.3
17,300,0.207042255,0.588740615,7,0.3
15,166,0.883864475,0.649162628,7,0.3
12,153,0.553867907,0.374003622,7,0.3
14,336,0.187034305,0.976787283,8,0.3
9,308,0.2632298,0.798811515,9,0.3
11,448,0.727648458,0.473227442,9,0.3
7,370,0.091652475,0.723752145,10,0.3
13,365,0.192491917,0.629553284,10,0.3
