(bogan, rs, jihe)

rastrigins10_100:(0.9819121568553629, 0.1293088684184342, 0)
rastrigins10_200:(1.0, 0.09996000100722145, 0)
rastrigins10_300:(1.0, 0.06913474150418217, 0)
rastrigins10_500:(1.0, 0.04011257818056883, 0)
rastrigins10_800:(1.0, 0.04011257818056883, 0)

rastrigins30_100:(0.9367564150150474, 0.31755115850021015, 0)
rastrigins30_200:(1.0, 0.053517763803037535, 0)
rastrigins30_300:(1.0, 0.0717890307985956, 0)
rastrigins30_500:(1.0, 0.025158598881526228, 0)
rastrigins30_800:(1.0, 0.07343302146871919, 0)

ackley10_100:(0.9985784113314942, 0.018164996244108913, 0)
ackley10_200:(1.0, 0.011093606684458348, 0)
ackley10_300:(1.0, 0.007751040647568469, 0)
ackley10_500:(1.0, 0.0054183566965593745, 0)
ackley10_800:(1.0, 0.004313403775368334, 0)

ackley30_100:(1.0, 0.010365652292075051, 0)
ackley30_200:(1.0, 0.007524243080128373, 0)
ackley30_300:(1.0, 0.008769825665610388, 0)
ackley30_500:(1.0, 0.008876757160798093, 0)
ackley30_800:(1.0, 0.003952499926552219, 0)

griewank10_100:(0.9991429741300393, 0.09735333493009166, 0)
griewank10_200:(1.0, 0.04102074613530498, 0)
griewank10_300:(1.0, 0.03677128880218971, 0)
griewank10_500:(1.0, 0.03726192591368474, 0)
griewank10_800:(1.0, 0.0343596528921486, 0)

griewank30_100:(1.0, 0.05451245222688097, 0)
griewank30_200:(1.0, 0.03498196333569608, 0)
griewank30_300:(1.0, 0.015172229795994993, 0)
griewank30_500:(1.0, 0.02581574708293833, 0)
griewank30_800:(1.0, 0.019813274413622146, 0)

nn_100:(0.9999999999988468, 0.9640796591626113, 0)
nn_200:(0.999999999999963, 0.9565134954889373, 0)
nn_300:(1.0, 0.9492809854380643, 0)
nn_500:
nn_800:

svm_100:(0.9990980253560227, 0.02523399587644181, 0)
svm_200:(1.0, 0.02099805995867064, 0)
svm_300:(1.0, 0.0043713547583229305, 0)
svm_500:(1.0, 0.004577276446227341, 0)
svm_800:(1.0, 0.00745384588874791, 0)

xgboost_100:(0.9972892760045348, 0.40576523756052874, 0)
xgboost_200:(0.9966728954844657, 0.29611996157699977, 0)
xgboost_300:(1.0, 0.20679649366470607, 0)
xgboost_500:
xgboost_800:
