max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
3.0,23.0,0.08859519816362885,4.0,3.0,0.22499999999999998
5.0,65.0,0.35451794707253165,4.0,2.0,0.23124999999999996
5.0,154.0,0.3146335309011577,4.0,2.0,0.23124999999999996
12.0,18.0,0.3897461827022948,4.0,1.0,0.23124999999999996
5.0,56.0,0.35461659336820606,4.0,2.0,0.23124999999999996
5.0,88.0,0.35914684570863153,4.0,2.0,0.23750000000000004
1.0,102.0,0.0853163782462755,1.0,0.0,0.23750000000000004
14.0,33.0,0.3290892962206479,4.0,2.0,0.23750000000000004
13.0,28.0,0.36699857996847723,4.0,1.0,0.23750000000000004
5.0,188.0,0.2955994420587808,4.0,2.0,0.23750000000000004
3.0,23.0,0.02285486975394735,3.0,3.0,0.23750000000000004
6.0,23.0,0.025310721995429025,4.0,5.0,0.23750000000000004
6.0,68.0,0.03374470760558765,0.0,5.0,0.23750000000000004
5.0,7.0,0.27773814457544943,4.0,2.0,0.23750000000000004
3.0,23.0,0.048202979182730366,3.0,3.0,0.23750000000000004
9.0,64.0,0.20168697176717065,4.0,2.0,0.23750000000000004
8.0,180.0,0.09495293221830645,0.0,0.0,0.23750000000000004
5.0,65.0,0.31614922323834815,4.0,2.0,0.23750000000000004
5.0,284.0,0.3585938939403198,4.0,2.0,0.23750000000000004
10.0,23.0,0.031593267425185804,4.0,3.0,0.23750000000000004
13.0,83.0,0.38798187026784614,4.0,1.0,0.24375000000000002
5.0,259.0,0.42364760782690425,4.0,2.0,0.24375000000000002
13.0,81.0,0.15936867530084486,4.0,0.0,0.24375000000000002
1.0,200.0,0.13299819488998404,1.0,0.0,0.24375000000000002
8.463658332824707,139.38125610351562,0.1375788152217865,0.9467446804046631,1.0806760787963867,0.24375000000000002
14.0,196.0,0.28813981749759876,4.0,2.0,0.24375000000000002
12.0,269.0,0.2147180861212986,1.0,0.0,0.24375000000000002
1.0,162.0,0.1056289895167968,4.0,0.0,0.24375000000000002
6.0,64.0,0.18986151781359634,0.0,2.0,0.24375000000000002
13.0,191.0,0.027840555901280015,0.0,3.0,0.24375000000000002
8.0,79.0,0.34238317142967567,0.0,0.0,0.24375000000000002
12.0,23.0,0.03829981664246809,4.0,0.0,0.24375000000000002
14.0,290.0,0.11993006849658183,1.0,0.0,0.24375000000000002
5.0,44.0,0.2607440036986631,4.0,2.0,0.24375000000000002
5.0,54.0,0.24523664708122908,0.0,2.0,0.24375000000000002
14.0,97.0,0.37648795545025737,4.0,2.0,0.24375000000000002
8.0,223.0,0.20687304014747726,1.0,0.0,0.24375000000000002
4.0,277.0,0.3659679937280407,4.0,2.0,0.24375000000000002
5.0,72.0,0.062386187373461015,4.0,1.0,0.24375000000000002
1.0,25.0,0.18294639542472937,4.0,0.0,0.24375000000000002
5.0,255.0,0.3841931618489423,4.0,2.0,0.24375000000000002
5.0,65.0,0.2845926331503039,4.0,2.0,0.24375000000000002
9.0,122.0,0.24280691741865745,4.0,2.0,0.24375000000000002
1.0,9.0,0.08543243785487109,1.0,0.0,0.24375000000000002
3.0,23.0,0.01184865485124098,3.0,3.0,0.24375000000000002
5.0,68.0,0.40447885807110756,0.0,1.0,0.24375000000000002
9.0,147.0,0.20056022313458524,4.0,2.0,0.25
9.0,13.0,0.295382641797219,4.0,2.0,0.25
3.0,144.0,0.46618214844912576,3.0,3.0,0.25
9.0,291.0,0.3632452002670945,4.0,2.0,0.25
1.0,43.0,0.08114776389238307,1.0,0.0,0.25
14.0,1.0,0.26291739952048815,3.0,3.0,0.25
1.0,193.0,0.0016244212208682864,1.0,0.0,0.25
6.0,253.0,0.45230606828210834,0.0,1.0,0.25
14.0,246.0,0.4161712405102133,4.0,2.0,0.25
14.0,94.0,0.33254964922928887,4.0,2.0,0.25
5.0,175.0,0.29945801693547025,4.0,2.0,0.25
12.0,190.0,0.15401559379889726,4.0,1.0,0.25
8.0,31.0,0.469598155882148,0.0,0.0,0.25
2.0,14.0,0.3563540313369085,4.0,1.0,0.25
7.0,235.0,0.37638179702192104,1.0,4.0,0.25
8.0,99.0,0.06308621716434226,4.0,1.0,0.25
9.0,134.0,0.23188516395478673,4.0,2.0,0.25
14.0,116.0,0.3287875150487144,4.0,2.0,0.25
3.0,245.0,0.019504774841512376,0.0,3.0,0.25
6.0,108.0,0.3502664068608202,2.0,4.0,0.25
5.0,275.0,0.40560726159795024,4.0,2.0,0.25
8.0,27.0,0.14821810910102534,4.0,3.0,0.25
4.0,16.0,0.23192284792826715,4.0,2.0,0.25
1.0,60.0,0.39627546967730987,1.0,1.0,0.25
5.0,37.0,0.38039513959035803,4.0,2.0,0.25
5.0,65.0,0.49978797922621343,4.0,2.0,0.25
13.0,132.0,0.36520558779714707,4.0,1.0,0.25
13.0,67.0,0.09817825322296507,3.0,3.0,0.25
6.0,5.0,0.017677250607024124,4.0,5.0,0.25
8.624127388000488,157.00315856933594,0.1653972715139389,0.49955058097839355,1.0042846202850342,0.25
10.0,189.0,0.3902495144430985,1.0,1.0,0.25
5.462963581085205,68.87637329101562,0.16199658811092377,0.5634310245513916,1.9647784233093262,0.25
11.0,166.0,0.2549937314492458,3.0,3.0,0.25
3.0,139.0,0.26383133397440933,4.0,3.0,0.25
13.0,25.0,0.15577374329121235,4.0,0.0,0.25
1.0,256.0,0.1773586067801332,4.0,0.0,0.25
2.0,95.0,0.19777178634702372,4.0,0.0,0.25
10.0,125.0,0.04043564513172979,0.0,1.0,0.25
5.0,299.0,0.36817957880976104,0.0,2.0,0.25
9.0,268.0,0.2264140670020187,0.0,2.0,0.25
10.0,36.0,0.10851038694483989,1.0,1.0,0.25
12.0,187.0,0.012942020654285243,4.0,4.0,0.25
1.0,19.0,0.4162379819143942,1.0,0.0,0.25
10.0,82.0,0.42858445016797253,4.0,5.0,0.25
12.0,26.0,0.1615634911844783,4.0,1.0,0.25625
5.0,152.0,0.3152597429488079,4.0,2.0,0.25625
0.0,30.0,0.09337784267846791,1.0,0.0,0.25625
8.0,274.0,0.4468495523649855,0.0,0.0,0.25625
0.0,165.0,0.005655017688969498,2.0,1.0,0.25625
9.0,208.0,0.22319301562517585,1.0,1.0,0.25625
2.0,243.0,0.37974407094870477,1.0,0.0,0.25625
3.0,50.0,0.13851068453125034,3.0,3.0,0.25625
9.0,158.0,0.2526413164005603,4.0,3.0,0.25625
1.0,91.0,0.2961445916188009,4.0,1.0,0.25625
3.0,224.0,0.4545831469038589,3.0,3.0,0.25625
8.386667251586914,151.319580078125,0.1816103607416153,0.8657093048095703,1.3529980182647705,0.25625
12.0,192.0,0.4780495487836664,4.0,1.0,0.25625
12.0,137.0,0.4188249990128885,4.0,1.0,0.25625
12.0,150.0,0.0011590460099537847,2.0,0.0,0.25625
3.0,170.0,0.025218139234634323,3.0,3.0,0.25625
5.0,149.0,0.39669251710252185,4.0,2.0,0.25625
3.0,20.0,0.005543240968372432,3.0,3.0,0.25625
1.0,102.0,0.16212089198376892,1.0,0.0,0.25625
8.0,126.0,0.10299445866105791,0.0,0.0,0.25625
4.0,261.0,0.07202388289286642,4.0,0.0,0.25625
6.0,81.0,0.12747339773604052,4.0,0.0,0.25625
9.0,216.0,0.1980857003977717,4.0,2.0,0.25625
8.256020545959473,149.8671112060547,0.1543472409248352,0.9176039695739746,1.438671588897705,0.25625
3.0,113.0,0.42362617310093725,3.0,3.0,0.25625
3.0,167.0,0.05850707147110893,3.0,3.0,0.25625
7.0,276.0,0.23700162280544745,4.0,4.0,0.25625
8.0,219.0,0.11540245706833752,0.0,3.0,0.25625
10.0,237.0,0.4075783215839502,4.0,5.0,0.25625
5.0,107.0,0.2952295950397106,0.0,2.0,0.25625
8.0,164.0,0.10858692041561263,3.0,3.0,0.25625
10.0,41.0,0.17174012550559242,1.0,0.0,0.25625
8.733942031860352,155.98587036132812,0.15942475199699402,0.8526442050933838,1.074770450592041,0.25625
9.0,131.0,0.1354781282056834,3.0,3.0,0.25625
5.0,136.0,0.3015252006012622,4.0,2.0,0.25625
8.0,173.0,0.16483515142933064,2.0,0.0,0.25625
6.0,70.0,0.32422249565442907,4.0,5.0,0.25625
0.0,66.0,0.4059329417613211,3.0,1.0,0.25625
5.0,168.0,0.3388829736263595,4.0,2.0,0.25625
10.0,262.0,0.16874795269627318,3.0,3.0,0.25625
9.0,185.0,0.14386710558600263,3.0,3.0,0.25625
14.0,226.0,0.017371235353671237,2.0,5.0,0.25625
14.0,221.0,0.329816499384663,4.0,2.0,0.25625
5.0,141.0,0.3484583353016025,4.0,2.0,0.25625
7.159564971923828,94.57624053955078,0.15275758504867554,0.9626140594482422,2.5163168907165527,0.25625
8.0,183.0,0.054745773003377914,3.0,3.0,0.25625
7.259840965270996,108.76534271240234,0.14114205539226532,0.859166145324707,1.2316964864730835,0.25625
11.0,76.0,0.4725932527434315,2.0,3.0,0.25625
5.0,65.0,0.37183599963933867,4.0,2.0,0.25625
7.3668622970581055,99.71051788330078,0.1669764220714569,0.4118528366088867,1.5849907398223877,0.25625
12.0,10.0,0.43282436531093416,3.0,4.0,0.25625
11.0,93.0,0.16792471687689997,4.0,5.0,0.25625
6.0,117.0,0.15402415694670146,0.0,1.0,0.25625
5.9450578689575195,78.90412902832031,0.1595587581396103,0.6636548042297363,2.0389325618743896,0.25625
9.0,182.0,0.3025502960453696,4.0,2.0,0.25625
5.0,103.0,0.3185550300925074,4.0,0.0,0.25625
6.622828006744385,72.50481414794922,0.15327009558677673,0.9724233150482178,2.684169054031372,0.25625
1.0,46.0,0.4601391907590478,1.0,0.0,0.25625
6.0,213.0,0.12971681300578122,0.0,0.0,0.25625
6.0,206.0,0.06999912488398399,2.0,5.0,0.26249999999999996
8.0,294.0,0.2672725667301413,0.0,4.0,0.26249999999999996
4.0,250.0,0.4922400144224962,1.0,1.0,0.26249999999999996
5.518536567687988,78.99090576171875,0.15405090153217316,0.7604279518127441,1.9310762882232666,0.26249999999999996
10.0,69.0,0.4383241738504655,4.0,1.0,0.26249999999999996
12.0,138.0,0.3883012556856546,4.0,1.0,0.26249999999999996
5.0,264.0,0.37038669799886503,4.0,1.0,0.26249999999999996
1.0,178.0,0.16259700360211113,1.0,0.0,0.26249999999999996
