(bogan, rsgan, jihe)

rastrigins10_100:(0.7324374580821246, 0.5228315714659372, 0)
rastrigins10_200:(0.8352200342979941, 0.3813540082666216, 0)
rastrigins10_300:(0.8884301486079307, 0.3098972985542224, 0)
rastrigins10_500:(0.9107235542485496, 0.24661424679862617, 0)
rastrigins10_800:(0.9925372814916329, 0.08460359223186253, 0)

rastrigins30_100:(0.7280832812627972, 0.5034077285785566, 0)
rastrigins30_200:(0.2315786475302265, 0.9109659637136235, 1)
rastrigins30_300:(0.6693096319411089, 0.5655962508014517, 0)
rastrigins30_500:(0.9727136927757781, 0.1512308734874301, 0)
rastrigins30_800:(0.9552843233248182, 0.1890161797312722, 0)

ackley10_100:(0.7864145332762909, 0.4492253135567348, 0)
ackley10_200:(0.6818504646920907, 0.5872269424128309, 0)
ackley10_300:(0.8879903085184565, 0.27906629227926966, 0)
ackley10_500:(0.8879903085184565, 0.27906629227926966, 0)
ackley10_800:(0.9598734391318682, 0.19350312073397385, 0)

ackley30_100:(0.4654334625503444, 0.7413931315620466, 1)
ackley30_200:(0.025269375630085394, 0.9915907208791586, 1)
ackley30_300:(0.035981786817728956, 0.9882853545573341, 1)
ackley30_500:(0.22803110992901102, 0.8697462871018499, 1)
ackley30_800:(0.24726766310367315, 0.9154249747347923, 1)

griewank10_100:(0.6188975054478135, 0.6583944777564631, 1)
griewank10_200:(0.7851404053716357, 0.5187555016220701, 1)
griewank10_300:(0.6379575076800754, 0.6321965033494278, 1)
griewank10_500:(0.8943383191908254, 0.4318653619881768, 0)
griewank10_800:(0.967240681987817, 0.3198308877503651, 0)

griewank30_100:(0.2351799049950027, 0.8985369492172041, 1)
griewank30_200:(0.06374399091334669, 0.9854082725389913, 1)
griewank30_300:(0.16430809586044948, 0.9445234747448331, 1)
griewank30_500:(0.34999770941903663, 0.8788838285491508, 1)
griewank30_800:(0.6437758310503522, 0.655664607360954, 1)

nn_100:(0.951119021086768, 0.5522781165492922, 0)
nn_200:(0.9787618589464466, 0.0722745933282744, 0)
nn_300:(0.9958195425941986, 0.02084978241844737, 0)
nn_500:
nn_800:

svm_100:(0.9984162819930493, 0.016890830236732452, 0)
svm_200:(0.9563171400924599, 0.17429954803596207, 0)
svm_300:(1.0, 0.0034841236751186667, 0)
svm_500:(1.0, 0.173023977321305, 0)
svm_800:(1.0, 0.1689234087116628, 0)

xgboost_100:(0.9674543886467356, 0.19053426514636798, 0)
xgboost_200:(1.0, 0.02365003209414309, 0)
xgboost_300:(0.9842751108694258, 0.13236950389880708, 0)
xgboost_500:
xgboost_800:
