repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
9,44,688,-4,294,18,14474,366,33150.2
3,108,325,-4,123,6,6698,243,39258.96
3,87,962,-2,255,13,10469,227,47169.81
5,120,640,-2,199,11,13887,281,35269.84
9,80,827,-3,206,16,10478,24,44444.45
8,95,532,-2,100,8,2745,240,35674.6
2,112,588,-3,135,11,12114,96,44247.79
9,106,695,-2,215,18,286,243,38948.21
6,51,464,-1,152,9,1011,425,47393.37
6,120,597,-2,268,8,14324,85,47619.05
3,78,928,-4,290,13,2776,66,40485.83
8,49,987,-2,127,14,1186,468,38498.01
2,74,835,-3,199,14,12944,383,39824.7
3,36,715,-3,174,14,4730,103,35513.95
10,111,931,-2,199,15,10181,103,37964.14
10,63,982,-3,262,14,11045,88,46948.36
3,67,1008,-4,249,15,7908,311,45248.87
9,50,779,-2,237,11,11355,274,44052.86
5,38,594,-4,148,6,14622,399,45454.55
6,57,540,-5,158,7,5463,256,45871.56
8,68,680,-2,184,5,11250,243,45248.87
6,114,960,-3,260,16,570,380,31141.18
8,72,688,-3,146,16,8351,333,26474.51
8,107,623,-5,272,12,6832,238,42372.88
10,62,865,-3,257,20,14280,124,44052.86
10,50,583,-4,231,7,11143,436,43478.26
5,88,648,-1,184,7,11186,191,46296.3
7,88,380,-3,228,12,6705,157,23303.15
9,105,474,-5,129,14,1717,90,46948.36
3,81,455,-5,250,19,7723,73,41841
10,66,765,-5,102,5,13182,297,45662.1
1,81,720,-1,168,16,4478,373,46082.95
6,115,785,-3,106,9,10824,65,47846.89
8,110,861,-5,167,8,7078,361,44843.05
9,114,477,-4,167,13,5771,105,48309.18
2,84,574,-3,258,8,8247,206,47169.81
6,112,440,-3,146,7,1119,6,39681.28
2,37,448,-4,244,16,10634,488,36908.73
7,66,757,-2,242,15,3478,212,40983.61
6,104,290,-4,125,14,603,337,39091.27
1,111,777,-5,231,10,13684,236,42372.88
3,53,262,-2,206,16,4236,250,40322.58
8,108,848,-1,256,17,564,202,35980.08
8,53,787,-1,109,8,4063,284,44444.45
6,97,381,-1,273,12,5127,208,37529.88
10,40,605,-4,145,15,9033,84,40322.58
3,46,942,-4,266,17,101,293,28850.98
5,94,789,-4,216,13,6378,299,40000
4,37,622,-1,280,20,11954,81,35674.6
4,103,541,-3,201,13,8230,53,48076.92
2,57,775,-3,279,19,10553,409,39752.99
2,73,708,-5,187,6,8820,395,50505.05
1,101,531,-5,130,12,4161,447,49019.61
1,123,409,-2,164,15,10921,364,22415.38
7,37,682,-4,214,16,2356,134,41841
6,124,295,-3,147,13,11624,293,48076.92
7,45,526,-3,290,18,11785,444,49751.24
5,108,716,-3,126,5,13429,52,43103.45
6,48,755,-2,139,11,8516,32,26035.43
6,86,639,-2,236,10,6755,214,40160.64
10,36,933,-4,236,11,14593,234,44247.79
9,120,831,-4,252,15,3820,351,45045.04
1,32,409,-3,290,7,11443,128,44052.86
7,97,873,-3,106,11,7989,362,41666.67
7,75,646,-1,135,7,4127,83,45454.55
10,128,947,-2,296,17,4459,113,48309.18
10,109,541,-1,253,17,10612,344,36418.33
5,43,829,-5,263,11,6665,267,40000
5,41,562,-4,195,15,4292,142,46082.95
7,80,458,-4,262,19,12590,369,40650.41
4,70,978,-3,160,16,11653,211,47619.05
1,66,664,-1,135,11,4425,70,47846.89
3,39,533,-1,218,13,4701,300,39321.43
9,93,493,-2,298,19,10410,35,46728.97
4,119,899,-5,107,13,809,239,50000
1,83,679,-5,226,18,815,115,46728.97
9,97,705,-5,209,16,11516,14,49261.09
10,79,688,-3,153,14,12042,128,46082.95
3,124,492,-4,157,7,7247,445,39645.42
3,92,321,-3,195,6,3872,267,49261.09
1,99,879,-4,181,14,5500,265,44843.05
7,50,934,-5,237,16,105,499,42918.46
7,64,552,-1,122,19,490,90,47846.89
3,38,1023,-5,222,19,11962,117,49751.24
6,112,486,-4,106,20,3476,358,45662.1
7,71,480,-3,116,9,6722,357,41152.26
8,45,1001,-1,242,8,705,224,46296.3
5,68,347,-2,155,13,7249,309,44843.05
7,58,770,-4,298,11,11452,400,30118.11
1,65,558,-4,221,11,4321,62,48780.49
10,92,835,-3,191,19,10635,123,44247.79
9,57,948,-5,129,6,324,89,46511.63
5,118,881,-2,259,7,6183,201,40983.61
7,127,349,-1,100,20,12968,292,39394.43
8,96,580,-1,258,6,4798,380,21350.2
2,128,756,-2,299,19,9489,51,40000
5,49,718,-2,255,7,12910,64,42372.88
