XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,250,100,100,TRUE,30000,FALSE,2048,6472.212634
512,256,512,org.apache.coyote.http11.Http11Protocol,16384,200,50,500,100,50,FALSE,10000,TRUE,1024,2699.686836
128,128,128,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,100,50,FALSE,30000,FALSE,1024,5662.941709
128,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,25,250,100,50,TRUE,10000,TRUE,1024,7136.060894
512,512,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,250,100,200,FALSE,30000,FALSE,1024,7480.550569
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,500,100,100,TRUE,20000,FALSE,1024,7749.535028
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,75,100,100,FALSE,20000,TRUE,1024,8540.195855
128,512,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,50,50,FALSE,20000,TRUE,2048,7429.788499
128,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,75,10,200,TRUE,20000,TRUE,2048,6947.660954
256,512,512,org.apache.coyote.http11.Http11Protocol,16384,1000,100,500,50,50,TRUE,30000,TRUE,1024,7418.03076
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,200,50,75,50,100,TRUE,10000,FALSE,1024,7077.80871
256,256,256,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,10,50,FALSE,10000,FALSE,1024,7161.61375
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,500,10,200,FALSE,10000,TRUE,2048,8710.801394
512,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,50,FALSE,10000,TRUE,1024,3184.17254
256,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,75,10,50,FALSE,20000,TRUE,2048,8043.758044
512,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,50,250,50,50,FALSE,30000,FALSE,2048,2214.937539
128,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,500,50,200,TRUE,20000,TRUE,2048,7247.427163
512,256,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,100,100,TRUE,30000,FALSE,2048,1813.411995
256,512,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,75,10,200,TRUE,10000,TRUE,2048,7495.502698
512,128,512,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,10,100,FALSE,30000,TRUE,1024,2240.176825
128,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,10,50,FALSE,10000,FALSE,2048,7689.153168
128,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,50,50,TRUE,10000,FALSE,2048,8075.804889
256,256,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,50,50,FALSE,20000,TRUE,2048,7304.246202
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,10,200,TRUE,30000,FALSE,1024,7151.029748
128,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,250,10,50,TRUE,20000,TRUE,1024,7654.232791
512,128,512,org.apache.coyote.http11.Http11Protocol,16384,1000,25,75,10,50,TRUE,30000,TRUE,2048,2204.196791
256,256,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,10,200,FALSE,10000,TRUE,1024,6630.420369
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,75,100,100,TRUE,10000,FALSE,2048,7385.524372
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,25,75,10,100,TRUE,20000,FALSE,1024,7312.079555
128,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,10,200,FALSE,30000,TRUE,2048,8067.552305
128,256,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,100,50,FALSE,10000,TRUE,1024,8660.508083
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,1000,25,500,50,100,FALSE,20000,TRUE,1024,6328.579867
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,200,FALSE,30000,TRUE,1024,8515.953219
128,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,100,75,100,200,FALSE,20000,TRUE,2048,7476.076555
256,256,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,250,10,100,FALSE,20000,FALSE,2048,7257.596284
128,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,250,10,200,TRUE,30000,FALSE,1024,7552.109556
128,256,256,org.apache.coyote.http11.Http11Protocol,4096,500,50,250,10,50,TRUE,10000,FALSE,1024,8153.503289
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,10,50,FALSE,30000,FALSE,1024,7248.127567
256,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,100,50,FALSE,30000,TRUE,1024,7277.314186
512,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,250,10,100,TRUE,10000,FALSE,2048,3019.019825
512,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,200,TRUE,30000,TRUE,2048,7806.807536
128,256,256,org.apache.coyote.http11.Http11Protocol,4096,1000,25,500,50,100,FALSE,20000,TRUE,2048,6946.695688
128,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,10,200,TRUE,30000,FALSE,1024,5584.928141
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,100,75,50,100,TRUE,10000,TRUE,2048,7458.975634
128,512,512,org.apache.coyote.http11.Http11Protocol,16384,1000,100,500,10,100,FALSE,20000,FALSE,2048,7152.052639
256,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,75,50,50,FALSE,10000,FALSE,1024,1355.69936
128,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,250,10,100,FALSE,30000,FALSE,1024,7428.684628
512,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,250,50,200,FALSE,30000,TRUE,2048,7523.699654
