num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
17,17,75,3,15,16,18,3,22,63,none,1,27.05,0.036968577
17,15,25,9,19,17,6,36,36,86,gzip,1,12.02,0.083194676
1,16,87,0,17,13,25,46,23,8,snappy,1,29.13,0.034328871
14,18,66,1,0,16,24,1,30,82,lz4,1,15.04,0.066489362
2,11,82,13,3,11,16,28,31,30,none,1,24.79,0.040338846
13,2,77,4,2,14,9,32,54,85,snappy,1,21.77,0.045934773
19,14,44,13,1,10,4,18,44,3,gzip,1,13.2,0.075757576
10,23,20,5,15,14,13,4,27,34,lz4,1,20.18,0.049554014
14,13,90,2,19,11,9,15,55,96,lz4,1,28.81,0.03471017
10,21,28,19,5,11,21,40,59,17,lz4,1,27.25,0.036697248
2,11,19,18,5,9,7,4,6,40,none,1,19.87,0.050327126
16,0,70,3,18,5,21,37,50,64,none,1,28.39,0.03522367
11,22,45,19,10,7,4,17,12,83,none,1,21.07,0.047460845
9,11,86,7,1,1,17,13,61,70,lz4,1,19.37,0.051626226
5,6,97,17,19,2,12,19,18,55,lz4,1,26.53,0.037693178
1,6,67,7,8,11,4,12,11,6,none,1,25.18,0.039714059
12,2,45,1,19,11,26,2,63,49,snappy,1,25.78,0.03878976
9,18,96,8,0,16,26,46,21,53,lz4,1,15.03,0.066533599
15,21,3,2,4,5,27,22,52,72,none,1,27.89,0.035855145
0,15,38,7,3,9,19,28,24,38,lz4,1,19.15,0.052219321
14,13,49,0,6,13,25,46,25,8,snappy,1,28.82,0.034698126
1,16,17,0,17,13,25,46,23,8,snappy,1,29.05,0.034423408
1,16,17,0,17,13,25,47,23,9,snappy,1,28.94,0.03455425
18,16,92,6,17,12,15,33,23,92,snappy,1,28.94,0.03455425
3,16,94,14,9,8,29,14,23,15,snappy,1,27.97,0.035752592
4,12,76,16,13,3,0,11,19,8,snappy,1,27.18,0.036791759
8,8,87,10,16,18,25,38,38,95,snappy,1,29.4,0.034013605
8,8,59,10,16,18,1,38,38,25,snappy,1,28.99,0.034494653
8,1,87,12,11,15,5,45,37,95,gzip,1,15.01,0.066622252
7,9,87,11,7,0,22,20,45,68,snappy,1,27.85,0.035906643
6,8,31,15,14,4,14,38,38,65,gzip,1,14.88,0.067204301
17,4,22,10,12,18,10,39,15,35,snappy,1,27.48,0.036390102
8,20,35,9,16,19,2,24,41,56,snappy,1,28.42,0.035186488
13,3,18,10,2,18,20,7,10,18,gzip,1,14.91,0.067069081
8,7,91,0,16,10,8,25,32,22,snappy,1,28.82,0.034698126
19,5,63,4,15,17,28,29,34,0,snappy,1,26.58,0.037622272
0,10,0,5,7,6,11,21,42,45,gzip,1,13.97,0.071581961
12,19,27,18,14,12,3,31,0,98,snappy,1,15.48,0.064599483
18,17,42,13,13,7,23,9,14,60,snappy,1,21.16,0.047258979
16,14,88,11,8,14,18,30,46,42,snappy,1,28.93,0.034566194
11,8,4,3,10,4,6,6,62,62,gzip,1,12.16,0.082236842
2,0,68,6,18,1,25,43,40,39,none,1,27.76,0.036023055
3,23,40,12,17,0,24,34,58,78,snappy,1,27.76,0.036023055
5,22,33,17,11,2,25,5,60,81,snappy,1,28.94,0.03455425
4,12,15,15,4,19,7,26,39,37,none,1,27.63,0.036192544
10,8,26,8,9,6,16,42,49,27,lz4,1,30.47,0.032819166
10,8,26,8,9,6,17,42,49,27,lz4,1,29.97,0.0333667
10,8,36,8,9,6,17,42,49,27,lz4,1,29.61,0.033772374
10,8,58,8,9,6,16,0,57,27,lz4,1,19.93,0.050175615
10,15,26,8,9,6,17,42,49,66,lz4,1,27.73,0.036062027
10,1,29,8,9,6,13,27,49,97,lz4,1,27.75,0.036036036
15,18,26,1,5,16,16,8,56,7,lz4,1,26.82,0.037285608
10,2,12,8,1,3,12,44,33,89,lz4,1,20.26,0.049358342
7,3,51,19,6,8,16,42,20,4,lz4,1,27.77,0.036010083
6,20,84,14,3,6,9,23,13,19,lz4,1,23.75,0.042105263
13,5,13,16,9,15,19,42,28,47,lz4,1,27.95,0.035778175
17,21,62,9,0,9,17,10,3,77,lz4,1,12.64,0.079113924
9,10,14,2,12,5,21,32,43,24,lz4,1,26.76,0.037369208
14,11,89,4,2,17,27,41,35,2,lz4,1,21.89,0.04568296
10,13,48,8,9,10,15,35,9,79,lz4,1,23.61,0.042354934
19,9,41,18,10,6,0,16,47,14,none,1,27.85,0.035906643
11,4,47,5,19,7,22,18,5,61,lz4,1,20,0.05
12,6,95,3,15,14,1,1,8,48,lz4,1,19.57,0.05109862
16,19,24,13,18,11,29,40,2,71,gzip,1,14.73,0.067888663
5,7,10,17,4,1,5,15,48,69,none,1,25.54,0.039154268
10,8,57,8,9,6,17,42,49,27,lz4,1,28.48,0.03511236
10,8,36,8,9,6,17,36,53,54,lz4,1,28.61,0.034952814
10,8,26,8,9,6,17,3,7,27,lz4,1,16.59,0.060277275
10,8,9,7,8,2,14,42,16,90,lz4,1,26.85,0.037243948
0,14,85,8,9,6,10,37,1,93,lz4,1,9.86,0.101419878
18,17,6,19,5,8,2,17,49,87,lz4,1,28.4,0.035211268
2,8,7,1,6,12,20,19,26,27,lz4,1,27.85,0.035906643
15,23,69,16,1,16,8,12,29,99,lz4,1,19.76,0.050607287
1,22,34,14,13,13,28,2,51,44,gzip,1,14.17,0.07057163
3,8,71,11,7,4,3,13,27,11,lz4,1,27.08,0.036927622
4,0,36,12,0,3,26,4,44,59,none,1,15.64,0.063938619
10,18,30,8,3,0,18,42,55,46,lz4,1,23.86,0.041911148
7,15,39,6,14,15,4,33,4,12,gzip,1,17.63,0.056721497
14,12,1,9,9,19,17,22,17,80,lz4,1,28.17,0.035498758
17,1,50,15,12,5,11,28,36,73,lz4,1,25.72,0.038880249
6,2,53,8,11,9,16,39,22,28,lz4,1,27.5,0.036363636
9,13,5,5,2,6,12,20,30,13,none,1,22.88,0.043706294
10,21,52,2,9,17,23,47,31,52,lz4,1,29.05,0.034423408
13,11,54,4,18,6,24,11,49,26,gzip,1,14.3,0.06993007
19,3,43,0,19,7,13,14,54,67,lz4,1,29.26,0.03417635
10,20,32,7,9,10,27,45,21,88,lz4,1,28.23,0.035423309
16,8,23,8,15,14,6,24,18,94,none,1,28.7,0.034843206
11,9,73,18,10,6,9,25,59,31,lz4,1,29.44,0.033967391
12,5,99,3,16,1,16,7,52,32,lz4,1,22.99,0.043497173
2,10,60,17,17,11,19,29,6,75,gzip,1,15.59,0.064143682
0,16,83,13,8,2,7,21,12,58,lz4,1,20.03,0.049925112
5,6,56,10,4,18,17,42,49,74,lz4,1,26.09,0.038328862
1,4,64,6,13,12,15,34,15,5,none,1,26.95,0.037105751
18,7,46,8,9,13,29,31,50,91,lz4,1,29.73,0.033636058
18,7,81,11,7,13,1,31,19,91,lz4,1,27.57,0.036271309
18,7,21,1,14,13,29,31,50,21,gzip,1,13.17,0.075930144
18,7,8,19,5,13,0,6,50,76,lz4,1,23.22,0.043066322
4,14,74,15,1,13,29,43,11,23,lz4,1,19.78,0.050556117
18,17,79,8,0,4,22,27,63,91,none,1,15.93,0.062774639
3,23,37,14,11,16,2,8,45,10,lz4,1,28.93,0.034566194
15,19,46,12,9,3,21,9,61,51,snappy,1,28.4,0.035211268
6,7,72,16,3,8,29,26,25,57,lz4,1,24.82,0.040290089
17,0,55,2,6,0,20,30,34,50,gzip,1,12.24,0.081699346
8,15,46,8,12,19,5,23,24,1,lz4,1,29.96,0.033377837
8,15,80,0,12,15,5,44,24,1,lz4,1,29.63,0.033749578
8,15,61,8,12,19,5,23,10,43,lz4,1,27.05,0.036968577
8,22,78,9,12,19,5,23,62,20,snappy,1,29.26,0.03417635
8,15,98,5,12,19,10,32,24,16,none,1,27.28,0.036656891
7,12,16,4,2,19,28,5,41,1,lz4,1,22.25,0.04494382
14,18,44,18,19,5,8,0,42,29,gzip,1,14.38,0.069541029
13,2,26,3,15,9,26,36,32,36,lz4,1,29.14,0.03431709
19,15,28,7,10,17,14,35,37,63,lz4,1,28.8,0.034722222
9,3,25,8,18,10,3,10,46,33,snappy,1,29.14,0.03431709
11,21,20,13,17,14,4,46,0,41,lz4,1,11.61,0.086132644
16,1,75,10,16,11,18,1,14,84,none,1,27.04,0.036982249
12,13,2,8,12,7,24,41,58,30,lz4,1,27.96,0.035765379
8,11,96,17,8,19,11,16,40,86,lz4,1,27.19,0.036778227
5,9,65,1,4,1,23,37,28,82,gzip,1,13.34,0.074962519
10,20,67,6,13,18,16,3,39,38,lz4,1,24.79,0.040338846
0,8,70,11,5,6,5,18,57,96,snappy,1,20.99,0.047641734
2,5,66,19,7,2,6,23,60,85,lz4,1,26.65,0.037523452
1,10,93,14,1,16,19,17,20,72,none,1,18.07,0.055340343
3,6,11,12,6,12,13,15,43,3,lz4,1,27.52,0.036337209
10,4,82,16,14,4,7,40,3,17,lz4,1,14.17,0.07057163
4,19,26,15,11,8,9,38,56,34,gzip,1,13.83,0.07230658
7,16,86,8,0,15,12,2,24,27,lz4,1,15.24,0.065616798
15,8,97,2,3,3,16,19,35,40,snappy,1,24.44,0.04091653
14,17,92,9,9,0,27,12,5,70,lz4,1,19,0.052631579
9,23,77,8,2,6,15,22,33,55,none,1,23.37,0.042789902
6,15,31,4,12,5,0,42,47,83,lz4,1,28.06,0.035637919
17,14,76,5,19,17,21,28,48,92,lz4,1,26.71,0.037439161
10,0,90,8,15,9,25,33,2,64,gzip,1,16.67,0.059988002
13,8,94,18,18,6,1,4,13,65,lz4,1,17.67,0.056593096
8,12,91,0,9,19,22,47,9,42,snappy,1,17.83,0.05608525
19,22,19,17,10,1,5,13,8,68,lz4,1,22.88,0.043706294
16,18,38,7,17,10,2,20,7,49,none,1,24.82,0.040290089
11,1,0,3,16,7,10,45,53,6,lz4,1,30.97,0.032289312
11,1,45,3,16,7,10,45,53,6,lz4,1,29.04,0.034435262
11,1,59,3,16,7,10,45,4,35,gzip,1,18.22,0.054884742
11,1,35,3,16,7,10,45,53,22,lz4,1,30.75,0.032520325
11,1,0,3,16,7,3,45,53,6,lz4,1,30.7,0.03257329
11,1,22,3,16,7,3,45,53,78,snappy,1,27.97,0.035752592
11,1,0,3,16,7,10,45,1,22,lz4,1,11.87,0.084245998
5,1,63,3,16,7,10,45,16,6,none,1,28.18,0.03548616
11,1,0,3,16,7,3,45,51,25,lz4,1,29.17,0.034281796
11,1,18,3,16,7,10,45,53,22,lz4,1,28.38,0.035236082
11,1,35,3,16,7,10,11,53,53,lz4,1,27.86,0.035893754
11,1,0,3,16,7,3,25,53,18,lz4,1,29.82,0.033534541
11,1,35,3,16,7,20,39,53,6,lz4,1,27.68,0.036127168
11,2,3,3,16,7,14,21,29,9,lz4,1,26.34,0.037965072
11,21,27,13,16,14,26,14,26,60,lz4,1,27.31,0.036616624
11,1,42,3,8,7,28,6,17,56,lz4,1,23.87,0.04189359
12,3,33,6,13,11,8,29,27,6,lz4,1,26.13,0.038270188
0,13,4,11,4,18,16,26,30,81,lz4,1,22.65,0.04415011
2,20,88,10,7,2,18,24,36,15,lz4,1,25.14,0.039777247
11,11,12,1,5,7,4,7,44,0,lz4,1,26.88,0.037202381
1,9,40,3,1,12,23,30,54,98,lz4,1,16.51,0.060569352
4,5,49,19,14,8,11,44,23,45,lz4,1,29.12,0.034340659
3,6,58,14,16,4,24,34,22,37,gzip,1,14.85,0.067340067
6,10,84,15,6,0,10,45,55,39,lz4,1,27.19,0.036778227
17,4,29,12,0,16,3,32,21,7,lz4,1,14.86,0.067294751
15,1,0,16,3,3,12,9,11,62,snappy,1,16.81,0.0594884
14,14,68,9,16,15,6,41,59,97,lz4,1,29.61,0.033772374
7,19,14,2,11,9,13,8,38,61,none,1,29.85,0.033500838
9,16,13,3,15,5,7,5,18,66,lz4,1,24.91,0.04014452
11,23,62,4,18,7,9,43,63,24,lz4,1,32.06,0.031191516
11,0,48,4,2,7,9,43,63,89,lz4,1,22.07,0.045310376
11,23,62,18,18,7,19,43,31,24,lz4,1,29.11,0.034352456
11,23,62,4,18,7,9,43,63,24,gzip,1,14.39,0.069492703
11,23,95,4,18,7,9,40,52,19,snappy,1,30.11,0.033211558
13,23,9,4,18,17,27,10,12,4,lz4,1,18.25,0.054794521
11,22,17,4,19,7,9,35,19,14,none,1,27.52,0.036337209
19,1,51,7,18,7,10,46,53,47,lz4,1,29.4,0.034013605
16,17,41,5,16,10,15,1,6,48,lz4,1,19.4,0.051546392
11,23,5,13,8,14,25,0,34,77,gzip,1,9.71,0.102986612
12,12,10,17,17,1,21,27,15,90,lz4,1,27.59,0.036245016
