num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
10,8,56,8,9,6,17,42,49,27,lz4,1,28.82,0.034698126
12,7,29,12,9,11,18,42,37,38,lz4,1,28.73,0.034806822
10,8,27,8,9,6,17,41,50,30,lz4,1,28.55,0.03502627
10,8,31,8,9,6,17,42,49,27,lz4,1,28.68,0.034867503
10,8,27,8,9,6,17,42,49,27,lz4,1,27.42,0.03646973
10,15,26,8,9,6,17,42,49,66,lz4,1,29.63,0.033749578
10,8,55,8,9,6,17,42,49,27,lz4,1,28.16,0.035511364
10,15,26,8,9,6,17,42,49,66,lz4,1,28.1,0.035587189
10,8,26,8,9,6,16,42,49,27,lz4,1,26.49,0.037750094
10,8,27,8,9,6,17,42,49,28,lz4,1,29.45,0.033955857
10,12,32,8,9,6,17,38,52,63,lz4,1,28.84,0.034674064
10,8,59,8,9,6,17,42,49,27,lz4,1,28.97,0.034518467
10,8,40,8,9,6,17,42,49,27,lz4,1,28.96,0.034530387
10,8,27,8,9,6,17,42,49,28,lz4,1,29.6,0.033783784
10,7,27,8,9,6,14,31,48,102,lz4,1,29.54,0.033852404
10,8,26,8,9,6,16,42,49,27,lz4,1,30.39,0.032905561
8,10,25,7,11,7,18,43,44,24,lz4,1,29.8,0.033557047
10,15,26,8,9,6,17,42,49,66,lz4,1,29.66,0.033715442
10,8,35,8,9,6,17,42,49,27,lz4,1,28.04,0.035663338
10,8,36,8,9,6,17,36,53,52,lz4,1,29.21,0.034234851
10,8,31,8,9,6,17,42,49,27,lz4,1,28.21,0.035448423
10,15,26,8,9,6,17,42,49,66,lz4,1,28.42,0.035186488
10,8,26,8,9,6,17,42,49,27,lz4,1,29.31,0.034118048
10,8,59,8,9,6,17,42,49,27,lz4,1,28.22,0.035435861
10,15,26,8,9,6,17,42,49,66,lz4,1,27.64,0.03617945
10,8,30,8,9,6,17,40,50,34,lz4,1,27.9,0.035842294
10,15,27,8,9,6,17,42,49,65,lz4,1,29.87,0.033478406
10,8,27,8,9,6,17,42,49,27,lz4,1,29.09,0.034376074
10,8,28,8,9,6,17,41,49,30,lz4,1,28.64,0.034916201
10,15,26,8,9,6,17,42,49,66,lz4,1,26.88,0.037202381
10,8,26,8,9,6,17,42,49,27,lz4,1,28.24,0.035410765
10,8,26,8,9,6,17,42,49,27,lz4,1,27.81,0.035958288
