sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
3039.9358,767.6846,1753.045,82.893,2.5515141,10.682323,897.4396,21.52535,29.645891,168.043,7.4110866,18.153418,13.961941,6719.07
1867.6604,665.1345,1686.0723,41.745003,2.249543,13.960245,577.38257,26.840288,60.77214,396.0115,4.187029,11.957789,32.387486,6379.77
2046.9181,1673.2815,1751.3102,94.915504,2.933657,12.566975,1531.5215,87.613846,44.53644,68.854004,7.6023817,14.067795,18.145819,6110.8
3121.7488,586.2751,1459.8577,62.366886,2.1792104,15.047614,763.1303,22.950476,70.49143,401.72992,4.138454,9.964159,27.039373,6421
623.09424,915.369,1452.281,56.14797,1.7508972,10.824229,312.24298,44.86823,48.42684,157.82349,3.3460522,17.750637,22.251556,6028.72
1592.4043,585.3768,1113.4962,106.86545,1.4865936,8.895258,401.97516,80.176125,79.94609,289.48886,3.2171173,13.11509,8.131738,6893.93
2056.9465,457.22705,1867.9281,47.222095,2.9794734,9.555084,1342.8417,107.91907,135.89551,533.50726,3.852422,1.5063736,34.92566,6439.2
1693.0259,366.45013,1025.8286,118.67765,1.0960903,8.524104,148.76178,79.904495,80.88126,307.04373,2.7893677,13.400397,3.8689435,6377.47
1560.5076,1116.0233,1453.9064,79.66332,2.5471127,10.505192,1115.1581,96.02649,75.206116,245.11496,4.865854,10.581675,20.315563,6869.77
1442.6077,839.1072,1332.0479,76.27941,1.8699602,9.671086,640.3748,78.89256,69.730995,243.66371,3.9170423,12.353481,13.287289,6514.55
1753.5001,857.4998,1290.8295,78.069954,1.8642148,10.1839075,549.82684,50.967083,57.23369,176.6005,4.6690598,15.724103,14.503616,6979.18
1491.41,541.43695,1121.5626,109.754005,1.2290967,8.790776,205.14893,72.44392,81.122086,254.77618,2.4592597,14.544029,8.118283,6358.44
1792.9044,1061.5475,1488.3333,98.73356,2.119617,9.656796,858.03687,79.91752,64.701546,197.97002,5.1315336,13.433526,13.162584,6794.18
2067.2402,1783.4108,1812.9414,96.58033,3.054358,13.214489,1609.1556,86.29851,42.640995,39.684006,8.089334,14.810533,17.88672,6481.26
1677.5344,843.5863,1330.3112,83.79167,1.779706,10.215107,509.28864,49.772945,58.996887,175.86777,4.5831766,16.005013,15.369858,6714.51
1636.4851,586.16565,1126.063,104.90221,1.404385,8.837479,329.39856,78.140236,80.74214,267.17426,2.8738194,14.129798,8.15814,6218.53
1026.9026,875.54407,1306.5927,85.53851,1.4595333,9.40848,358.151,69.28546,80.736,158.27338,2.031149,16.436281,16.803417,6656.86
1768.5304,1176.2175,1405.1985,83.47546,2.6230958,10.657725,1169.0511,96.783195,68.85505,221.83913,5.075843,11.397221,21.460197,6495.5
1999.794,518.84717,1267.2775,92.362816,1.796122,9.344846,580.3762,86.15594,94.77425,331.2072,3.1654444,10.90726,13.94856,6519.13
1806.6718,492.96466,1123.8717,108.12845,1.4611274,8.723705,353.06854,79.23444,85.29953,297.60916,3.2618783,12.838554,5.592316,6052.74
1704.8256,462.3307,1062.3649,115.215225,1.2187781,8.786241,214.45319,78.98698,80.81771,297.11627,2.8520489,13.683813,5.040788,6524.84
1160.6868,894.21265,1520.2509,40.318935,1.9981474,13.1382065,380.45697,21.480597,24.132631,227.41469,4.632816,16.577915,23.23642,6532.26
1676.382,309.93433,1002.6852,120.06479,1.0324765,8.40023,111.69593,80.73571,81.15739,306.56903,2.6937494,13.258549,3.1238387,6410.8
1680.0875,807.6381,1456.6895,78.74303,2.3871748,9.984153,955.4071,92.21544,91.705376,324.53394,4.032194,9.2139225,21.181293,6670.9
1304.1895,442.93683,1126.2905,110.37629,1.0840731,8.492009,95.77436,73.284164,80.1176,274.65195,2.323032,14.394444,7.3389926,6624.51
4102.6704,440.6942,1773.5337,90.91132,2.6203518,12.232888,936.21075,8.56658,49.936226,315.5304,6.640783,14.713996,18.856997,6402.41
1910.65,1450.3478,1652.5342,97.783195,2.5953684,11.541412,1260.3982,83.392235,53.27235,116.98284,6.5298896,14.315114,15.724417,6471.77
1777.2397,603.4566,1112.7904,102.14362,1.4795365,9.076506,376.39105,77.22801,82.29271,267.51715,2.958044,13.880201,8.686004,6110.96
595.3889,943.0341,1425.3469,60.451332,1.6235498,10.741255,312.7896,48.6866,56.749027,140.77129,2.8048196,17.968338,22.373104,6696.65
2388.1309,845.19183,1487.5642,74.65489,2.2887285,10.575072,807.4261,39.69411,39.063747,175.82753,6.20851,15.831303,14.765954,6250.91
