repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
5,58,447,-3,290,14,10070,402,46296.3
8,104,501,-4,180,13,5478,99,48543.69
9,39,639,-2,292,17,12154,400,45871.56
6,113,519,-3,162,12,8810,90,42372.88
6,88,543,-4,198,10,6608,186,45454.55
9,60,888,-3,239,11,11666,194,44247.79
8,72,733,-5,132,7,11193,351,24937.66
9,40,697,-2,282,12,11552,396,48309.18
10,52,902,-3,253,13,12917,206,46296.3
9,111,532,-4,176,12,5708,138,46296.3
2,94,529,-3,247,10,7443,91,25125.63
4,53,500,-3,249,10,7206,406,43859.65
8,52,634,-4,165,7,13587,354,43290.04
8,113,574,-4,175,12,5113,145,43859.65
5,70,590,-2,217,6,10178,284,43668.12
9,84,762,-4,190,10,9130,247,38461.54
5,52,637,-4,213,8,11460,329,38167.94
9,65,849,-2,234,12,11442,208,39370.08
9,60,943,-3,248,13,11705,134,44642.86
7,69,844,-4,204,10,9652,301,47169.81
9,52,769,-3,215,9,11510,264,42735.04
5,87,634,-3,237,12,7791,104,46296.3
8,77,766,-5,120,8,11254,348,45662.1
9,69,895,-3,239,13,10937,146,45045.04
9,75,779,-5,98,5,12765,339,48309.18
2,115,590,-3,126,11,12587,86,43290.04
8,65,709,-1,205,8,11497,260,41841
8,113,779,-4,198,11,6395,287,44843.05
5,78,604,-4,200,8,9000,251,45248.87
4,99,611,-2,186,10,10115,147,43668.12
