protocol,XX:MaxNewSize,Xms,Xmx,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http11AprProtocol,115,499,512,16359,241,106,504,98,100,FALSE,8044,TRUE,1071,9258.687735
org.apache.coyote.http11.Http11AprProtocol,216,377,511,13189,950,46,102,25,165,FALSE,25632,TRUE,1154,9884.678748
org.apache.coyote.http11.Http11AprProtocol,256,512,512,16376,201,50,250,100,99,FALSE,29931,TRUE,1025,8965.929468
org.apache.coyote.http11.Http11AprProtocol,253,433,511,15961,206,65,258,100,128,FALSE,29889,TRUE,1016,9231.337313
org.apache.coyote.http11.Http11AprProtocol,185,449,511,11753,953,35,114,34,159,FALSE,23154,TRUE,1158,8340.747331
org.apache.coyote.http11.Http11AprProtocol,210,212,511,16635,232,100,255,98,199,FALSE,25877,TRUE,1444,9158.068258
org.apache.coyote.http11.Http11AprProtocol,255,255,512,16253,183,98,249,100,197,FALSE,30507,TRUE,997,8524.180258
org.apache.coyote.http11.Http11AprProtocol,102,111,514,14714,195,94,241,101,205,FALSE,16725,TRUE,2227,8523.695875
org.apache.coyote.http11.Http11AprProtocol,241,517,512,16428,204,56,279,100,99,FALSE,27783,TRUE,1009,10660.98081
org.apache.coyote.http11.Http11AprProtocol,256,257,512,16233,188,98,249,100,196,FALSE,30325,TRUE,1011,8992.266651
org.apache.coyote.http11.Http11AprProtocol,259,260,511,15905,707,79,156,44,185,FALSE,29542,TRUE,1010,8959.503046
org.apache.coyote.http11.Http11AprProtocol,171,463,465,16443,768,80,300,42,102,FALSE,13661,TRUE,1219,9014.423077
org.apache.coyote.http11.Http11AprProtocol,258,390,508,17288,914,49,275,3,95,FALSE,24971,TRUE,1049,8499.546691
org.apache.coyote.http11.Http11AprProtocol,159,331,511,15710,251,102,398,87,141,FALSE,13462,TRUE,1326,8975.049363
org.apache.coyote.http11.Http11AprProtocol,267,275,509,16099,732,77,146,40,181,FALSE,30514,TRUE,958,8968.609865
org.apache.coyote.http11.Http11AprProtocol,161,510,512,16273,198,86,432,100,96,FALSE,15229,TRUE,1027,8529.512112
org.apache.coyote.http11.Http11AprProtocol,230,377,509,17339,900,65,347,2,95,FALSE,19627,TRUE,1077,8311.630742
org.apache.coyote.http11.Http11AprProtocol,157,161,512,16280,193,99,251,102,201,FALSE,22884,TRUE,1745,8869.966294
org.apache.coyote.http11.Http11AprProtocol,201,362,512,16220,506,78,359,59,125,FALSE,18203,TRUE,1195,8710.801394
org.apache.coyote.http11.Http11AprProtocol,257,259,512,16219,190,98,249,100,195,FALSE,30268,TRUE,1014,8593.52621
org.apache.coyote.http11.Http11AprProtocol,230,230,511,16402,210,100,252,101,201,FALSE,28089,TRUE,1227,8672.525439
org.apache.coyote.http11.Http11AprProtocol,59,74,514,15483,170,99,254,107,204,FALSE,14577,TRUE,2520,8987.956139
org.apache.coyote.http11.Http11AprProtocol,242,286,511,16151,197,95,266,100,184,FALSE,28607,TRUE,1050,8198.513336
org.apache.coyote.http11.Http11AprProtocol,157,507,511,16280,238,91,445,94,97,FALSE,12859,TRUE,1041,8498.583569
org.apache.coyote.http11.Http11AprProtocol,87,97,514,16103,180,100,249,104,199,FALSE,17181,TRUE,2326,9087.053977
org.apache.coyote.http11.Http11AprProtocol,256,254,512,16405,202,100,247,100,201,FALSE,29973,TRUE,1021,8422.2347
org.apache.coyote.http11.Http11AprProtocol,95,131,513,11656,574,88,220,57,206,FALSE,10075,TRUE,1933,8812.643205
org.apache.coyote.http11.Http11AprProtocol,254,513,512,16398,202,50,253,100,99,FALSE,29877,TRUE,1023,11005.13573
org.apache.coyote.http11.Http11AprProtocol,257,495,512,16314,194,53,249,99,106,FALSE,29956,TRUE,1029,9188.924283
org.apache.coyote.http11.Http11AprProtocol,159,149,510,15187,568,86,176,63,199,FALSE,20936,TRUE,1822,8800.234673
org.apache.coyote.http11.Http11AprProtocol,147,405,506,12485,862,61,229,33,140,FALSE,14456,TRUE,1268,9061.254078
org.apache.coyote.http11.Http11AprProtocol,263,499,512,16398,877,30,111,22,96,FALSE,29881,TRUE,1005,8668.015025
