num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
9,9,66,6,9,4,16,42,57,30,lz4,1,25.39,0.039385585
12,6,28,24,8,12,20,46,16,28,lz4,1,24.34,0.041084634
8,15,15,13,7,12,14,42,60,30,lz4,1,29.72,0.033647376
12,22,70,3,19,13,14,12,44,108,lz4,1,26.61,0.037579857
6,2,106,0,17,10,17,25,26,66,snappy,1,26.94,0.037119525
11,2,22,11,9,9,3,31,38,30,none,1,28.33,0.03529827
19,14,79,1,6,9,11,48,34,41,snappy,1,28.59,0.034977265
4,17,61,11,12,3,31,25,49,64,snappy,1,26.95,0.037105751
4,35,17,14,17,2,28,14,56,120,snappy,1,30.7,0.03257329
15,11,83,2,9,13,12,41,40,24,snappy,1,28.82,0.034698126
7,23,33,10,11,1,18,23,42,85,none,1,31.13,0.032123354
13,11,58,3,7,9,22,41,36,9,snappy,1,28.53,0.035050824
8,12,47,2,15,8,16,36,29,14,snappy,1,29.18,0.034270048
8,11,46,6,14,7,20,37,37,36,snappy,1,29.54,0.033852404
11,6,59,12,5,2,23,48,52,10,lz4,1,25.16,0.039745628
10,13,98,7,15,14,15,33,32,53,snappy,1,29.48,0.033921303
2,11,34,3,15,17,20,46,28,42,snappy,1,29.38,0.03403676
5,9,93,12,9,5,22,17,26,31,snappy,1,28.97,0.034518467
