sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
3785.4568,1625.0479,565.7654,54.824493,1.4978585,5.956782,2570.0842,52.503693,159.47563,380.80725,4.8841996,16.775002,3.9581149,6280.19
1643.8383,1309.9741,807.80804,39.801025,3.0911014,16.07417,549.5961,112.486176,117.146034,261.83743,6.7003407,10.18949,18.595892,6136.32
734.81104,1674.4929,1927.703,27.57053,2.8946688,7.8479424,529.20386,78.530136,112.3511,238.7503,4.16525,13.506779,6.676866,5888.18
1998.292,1024.4054,960.2787,84.6793,2.2599697,14.736972,999.16437,115.48589,65.7956,22.03316,3.229243,6.2117915,30.481033,6442.38
1889.2085,872.25543,1064.7871,34.7516,0.905829,4.298117,1625.0271,142.96182,29.169645,364.37143,4.9684324,8.207579,9.177433,6827.32
735.448,527.15125,1207.0719,150.3192,2.9034305,4.1097655,914.81433,103.85562,64.427315,197.02802,7.5215287,12.022662,18.831503,6957.69
3161.0308,1266.813,1207.2678,60.287605,1.4706821,12.149719,1360.0712,35.416126,35.91829,316.71,5.066898,9.886832,8.521955,6904.18
3195.417,2573.7156,1495.2118,124.51839,3.3323207,9.247777,2378.057,132.997,38.53968,26.007769,12.255747,19.848543,26.894178,6198.5
2395.9194,693.2248,1679.953,68.21747,1.7068785,9.387952,1317.4282,77.06465,34.803333,209.79208,3.3492463,12.102839,17.154062,6249.76
2205.1096,1068.6809,928.64307,41.090282,2.260405,6.448652,1101.7323,56.48745,118.46945,265.49905,1.6088356,12.160743,1.3726742,6683.9
1677.561,481.1007,1847.4182,166.54536,3.0560944,3.3840036,1187.2463,111.818954,42.55306,89.04788,10.442397,11.889563,16.501764,6842.12
2491.8442,726.7006,864.8836,102.27922,1.7505451,5.863998,603.8448,77.725746,59.223293,193.93434,3.8368683,11.805595,11.46184,5753.35
2940.3215,2098.315,1504.9178,114.241776,2.3062632,10.440167,2148.2854,87.126724,57.487255,58.62686,9.50233,17.471655,19.133614,6506.38
2197.3318,948.60223,558.19476,64.91977,0.32095796,-0.20156947,1356.8392,156.62834,43.815098,250.0309,6.3426223,11.724774,10.215215,6548.82
1972.2572,597.16156,1664.829,159.52335,2.7607374,3.2515125,1283.7263,112.18864,50.439514,50.028793,9.672665,13.569119,13.064745,6568.78
889.50256,549.71844,1294.6193,76.921486,2.4380734,7.827696,855.81506,70.83975,32.64345,152.80261,7.2638307,9.145955,20.056763,6218.21
2598.6855,1441.8754,689.3613,33.494736,1.976649,8.242664,1761.0842,91.34747,83.03313,317.2574,4.003107,13.931453,1.8625653,6465.71
715.959,1560.7494,2023.3479,53.143703,2.9005606,14.105284,1667.8369,88.75385,29.898287,289.67905,5.504932,11.973876,13.855014,6611.39
2670.6643,792.3866,1416.92,27.268131,2.0550182,6.4922504,1045.0347,98.89225,112.689896,422.17404,3.535171,8.222539,16.373335,6844.39
