repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
4,68,541,-5,177,10,2052,140,44843.05
1,55,402,-4,200,9,4691,128,46296.3
10,104,736,-5,154,8,7061,171,40650.41
1,73,687,-3,174,15,10084,231,38610.04
10,77,702,-3,328,22,11171,390,38167.94
1,36,744,-4,254,18,7069,503,46082.95
8,48,592,-3,233,16,9277,90,43103.45
5,115,867,-4,243,10,1224,92,34482.76
7,106,750,-2,200,16,9554,389,39682.54
7,17,582,-2,264,18,11735,63,38022.81
8,90,819,-2,338,25,14081,611,45454.55
9,118,1045,-3,241,9,5997,274,44247.79
4,94,588,-3,193,19,11997,77,40322.58
3,75,536,-4,256,9,7946,189,45871.56
2,52,899,-5,232,18,8830,276,45248.87
1,75,695,-4,223,8,8610,481,46511.63
0,54,822,-4,214,12,9574,208,49019.61
5,78,677,-3,233,17,9305,384,49019.61
3,107,348,-2,232,11,9836,18,48543.69
4,49,1004,-5,227,18,10859,169,48780.49
4,84,448,-1,147,12,10026,323,45662.1
3,63,537,-4,245,17,7909,418,49019.61
4,66,767,-4,192,15,10124,78,48780.49
4,98,492,-2,187,11,6583,301,46296.3
5,96,792,-4,199,14,3913,177,38910.51
