protocol,XX:MaxNewSize,Xms,Xmx,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http11NioProtocol,236,165,477,14201,1469,63,242,112,22,FALSE,15840,FALSE,370,8317.622269
org.apache.coyote.http11.Http11NioProtocol,521,548,628,10923,673,99,461,61,188,FALSE,16428,FALSE,1968,7647.988579
org.apache.coyote.http11.Http11AprProtocol,256,72,588,2321,302,50,371,54,126,FALSE,17475,TRUE,2135,8543.600843
org.apache.coyote.http11.Http11NioProtocol,89,107,322,15956,1173,74,109,107,59,TRUE,27431,FALSE,1934,7928.956549
org.apache.coyote.http11.Http11Protocol,240,106,438,9558,174,106,104,101,107,FALSE,32045,TRUE,1495,6123.698714
org.apache.coyote.http11.Http11AprProtocol,104,93,373,14146,181,102,70,122,222,FALSE,17759,TRUE,1717,9170.385768
org.apache.coyote.http11.Http11AprProtocol,225,43,554,7914,97,92,542,92,231,FALSE,17487,TRUE,1965,8078.414477
org.apache.coyote.http11.Http11AprProtocol,201,222,376,7327,215,49,71,88,78,FALSE,14522,TRUE,1319,8354.218881
org.apache.coyote.http11.Http11NioProtocol,143,154,368,17159,837,102,268,102,95,TRUE,30646,TRUE,1878,8083.203104
org.apache.coyote.http11.Http11AprProtocol,209,63,479,6689,397,39,664,34,174,FALSE,13968,FALSE,2046,9752.925878
org.apache.coyote.http11.Http11Protocol,31,54,554,3687,458,94,282,71,62,TRUE,16637,TRUE,1651,7087.507088
org.apache.coyote.http11.Http11AprProtocol,353,175,583,2848,230,82,437,25,215,FALSE,9622,FALSE,2107,8969.682473
org.apache.coyote.http11.Http11AprProtocol,333,309,622,6366,713,11,67,55,94,TRUE,33932,TRUE,1872,7660.878447
org.apache.coyote.http11.Http11AprProtocol,326,300,538,8940,349,117,158,86,280,FALSE,10956,TRUE,2319,9024.184815
org.apache.coyote.http11.Http11AprProtocol,54,237,494,1771,85,100,392,59,46,TRUE,20755,FALSE,2121,7424.272421
org.apache.coyote.http11.Http11AprProtocol,170,431,439,12114,918,31,190,4,38,FALSE,28330,TRUE,1924,8499.065103
org.apache.coyote.http11.Http11AprProtocol,196,345,477,24268,788,45,24,66,172,FALSE,27174,TRUE,1036,9117.432531
org.apache.coyote.http11.Http11AprProtocol,202,246,437,23459,363,116,218,102,149,FALSE,35337,TRUE,1660,9229.065403
org.apache.coyote.http11.Http11AprProtocol,161,389,388,11927,681,62,266,4,60,FALSE,23971,TRUE,1453,11708.68785
org.apache.coyote.http11.Http11AprProtocol,126,125,333,3808,188,57,16,90,78,FALSE,2633,TRUE,1623,7639.419404
org.apache.coyote.http11.Http11AprProtocol,183,147,402,17831,101,111,97,119,191,FALSE,23038,TRUE,1496,8908.950526
org.apache.coyote.http11.Http11NioProtocol,174,386,273,12209,327,92,170,10,77,FALSE,35838,FALSE,2629,12050.12853
org.apache.coyote.http11.Http11NioProtocol,91,245,327,6065,273,64,687,43,79,TRUE,18974,FALSE,1513,7969.820945
org.apache.coyote.http11.Http11AprProtocol,318,212,664,20400,230,115,541,108,290,FALSE,26910,TRUE,910,8503.401361
org.apache.coyote.http11.Http11AprProtocol,408,333,640,3494,563,10,171,82,81,FALSE,36417,TRUE,2229,8837.044892
org.apache.coyote.http11.Http11NioProtocol,540,460,479,9694,1108,65,505,31,91,FALSE,22100,FALSE,1508,6145.022532
org.apache.coyote.http11.Http11AprProtocol,198,383,518,632,585,72,13,62,47,FALSE,21954,TRUE,1853,8497.620666
org.apache.coyote.http11.Http11Protocol,615,519,469,8737,627,69,327,0,91,FALSE,33324,FALSE,1613,10137.18997
org.apache.coyote.http11.Http11AprProtocol,203,365,546,22586,364,66,191,52,174,FALSE,21936,TRUE,1606,8577.800652
