num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
11,10,75,18,10,6,8,23,60,34,lz4,1,27.47,0.036403349
11,1,9,3,16,7,7,45,53,11,lz4,1,22.52,0.044404973
11,1,6,3,16,7,3,44,51,22,lz4,1,22.71,0.044033465
11,4,8,4,14,7,8,29,53,15,lz4,1,22.99,0.043497173
11,1,11,3,16,7,7,45,53,12,lz4,1,26.76,0.037369208
10,9,53,13,10,6,13,33,54,30,lz4,1,19.78,0.050556117
11,9,67,16,10,6,10,28,57,32,lz4,1,22.51,0.0444247
10,8,28,8,9,6,17,41,49,26,lz4,1,22.73,0.043994721
10,8,36,8,10,7,16,40,49,22,lz4,1,25.43,0.039323634
10,8,32,8,10,6,16,41,48,26,lz4,1,21.21,0.047147572
11,3,7,4,15,7,8,45,52,17,lz4,1,25.86,0.03866976
11,2,8,3,16,8,9,45,52,11,lz4,1,25.97,0.038505968
10,8,28,8,9,6,17,42,49,27,lz4,1,28.32,0.035310734
11,2,10,4,15,7,9,44,52,14,lz4,1,27.03,0.03699593
10,8,44,7,10,7,16,41,47,25,lz4,1,24.47,0.040866367
11,1,20,3,16,7,7,45,52,15,lz4,1,27.52,0.036337209
10,9,29,8,10,7,17,42,49,32,lz4,1,28.12,0.035561878
11,1,7,3,16,7,7,45,53,10,lz4,1,28.12,0.035561878
10,8,26,8,9,6,17,42,49,27,lz4,1,29.5,0.033898305
8,11,25,7,10,8,19,42,43,26,lz4,1,29.6,0.033783784
11,1,30,3,16,7,8,45,53,13,lz4,1,29.54,0.033852404
10,8,26,8,9,6,17,42,49,27,lz4,1,27.82,0.035945363
10,6,21,6,12,7,14,42,50,21,lz4,1,28.69,0.03485535
10,8,24,8,10,6,15,41,50,24,lz4,1,27.89,0.035855145
10,7,37,10,9,6,16,38,52,26,lz4,1,28.11,0.035574529
10,8,30,8,9,6,17,42,49,27,lz4,1,27.62,0.036205648
10,8,24,7,10,6,16,42,49,26,lz4,1,28.51,0.035075412
10,7,26,8,8,6,17,42,49,25,lz4,1,28.78,0.034746352
10,7,21,7,11,7,14,43,49,24,lz4,1,27.99,0.035727045
11,1,39,3,16,7,11,44,53,8,lz4,1,27.49,0.036376864
13,8,128,30,10,5,1,5,73,37,lz4,1,26.03,0.038417211
11,1,23,3,16,7,7,45,53,14,lz4,1,28.65,0.034904014
