sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
3025.4148,225.40936,1340.7034,58.600323,1.6019728,13.792695,805.7552,41.97645,72.939964,308.50208,6.180081,11.298213,23.811867,6709.43
2247.5894,797.2967,1201.0974,78.77062,2.0563142,8.158373,1032.2032,94.80154,70.08883,253.96019,3.4733598,13.10188,19.964968,6228.25
5309.316,1938.5692,-194.90413,48.024067,2.7852755,6.969163,842.7249,127.05762,51.393463,157.19301,8.268843,2.4615881,32.77184,6805.15
4009.4036,95.88941,1884.6797,84.20998,1.915915,14.135717,871.7956,84.37809,117.29238,437.05246,2.4740448,8.260652,28.904898,6272.31
2396.747,1599.7242,1132.2025,72.353874,2.897539,10.644588,1513.2904,98.14413,40.704166,135.54938,5.7458906,16.015284,26.019665,5975.35
467.92242,647.658,1503.3162,7.9383764,1.2921159,14.175178,270.84274,9.363751,3.501367,108.586235,6.3650856,18.518154,25.446535,6299.6
364.4234,902.2216,1632.4303,26.19322,1.8268118,13.611208,329.3129,22.517822,12.07538,189.32312,5.26934,18.57792,26.455635,6639.72
720.1132,929.4111,1494.0793,30.367785,1.7630653,13.255162,248.37825,39.377834,29.665499,158.85635,4.9560504,16.860075,22.580952,6602.09
4474.985,20.651983,1892.934,76.97176,2.088594,15.075859,703.7061,48.812943,105.86804,502.33786,2.695925,5.7888684,30.65758,6289.26
3768.1152,1012.5827,712.5582,94.03632,2.7505305,14.258645,738.18713,103.92125,46.547188,150.32645,3.9617374,6.2081633,25.66094,7047.44
2568.3232,1039.8461,1033.3854,86.02968,2.819161,8.137392,795.7382,89.42696,67.87644,108.86108,4.187444,5.432045,14.577856,6494.71
603.2847,979.5072,1322.8285,34.167126,1.87812,14.612129,77.33468,29.59105,9.252504,166.20148,4.26004,15.529585,27.31508,6797.92
3236.0332,417.16272,1401.278,79.14357,1.9617167,13.516058,902.1696,85.1133,98.294174,354.256,3.855455,10.09058,22.292313,6193.37
3179.1155,1309.7418,637.72296,91.831406,3.0248437,12.212746,709.06793,90.23332,39.55506,89.66996,3.8861833,5.17539,25.443502,6702.2
388.15765,989.6977,1694.8011,52.290432,1.6328634,11.349382,211.20088,49.99261,56.255806,165.04749,2.0118937,17.356087,22.991123,6587.78
1559.8278,696.9142,1114.8785,53.49626,2.0201223,11.908076,655.152,54.539303,38.97377,218.51569,4.1153026,14.269061,22.43841,6388.66
2000.9509,1129.882,1380.3735,66.89057,2.358676,10.220704,1043.0826,71.46816,55.7118,220.205,4.781678,13.4707155,19.26104,6578.14
1313.865,897.64453,1500.489,38.992027,2.216057,13.671304,441.1827,25.825329,32.166897,299.97766,4.4140496,15.596796,25.94471,6330.88
765.85455,870.94904,1171.6383,39.184555,1.778438,12.377723,352.1993,40.364357,40.67569,116.18361,4.829887,14.360307,20.460688,6524.07
4690.8145,1992.4108,8.439619,79.19282,2.7171366,11.800552,1236.4994,125.50642,71.63303,135.89835,7.673689,9.265429,37.325024,6556.41
2135.634,1414.6115,654.8649,112.532166,2.6627846,15.064859,605.5461,125.393974,18.177065,60.91265,5.317025,12.400786,26.486639,6515.61
2484.6438,580.3779,1195.001,89.08742,2.2288294,9.688221,1090.2595,92.67482,64.971436,233.60623,4.6699867,13.688449,19.880705,6605.56
3278.449,382.37244,1456.1589,71.2708,1.949691,12.356922,963.0427,68.99536,82.24538,323.3247,5.030187,10.126556,23.164972,6886.05
2504.7793,683.1226,1434.097,75.780846,2.6066904,14.998815,869.63306,42.70181,58.239697,394.55664,4.6490574,13.746502,24.236153,6600.91
3744.9653,909.6606,934.5623,98.16523,2.9116411,13.212754,584.24005,113.51098,66.112274,168.08846,3.4285572,4.0576425,27.088161,6612.4
1030.3685,846.48517,1640.4359,25.113173,1.9464823,14.241084,277.26358,2.1649065,10.838854,269.0376,4.9475074,17.395529,28.711214,6630.45
2931.4185,399.0349,1610.132,67.759796,2.1127398,14.467925,1103.1088,66.34744,103.08265,448.5802,1.8835522,7.357536,23.753826,6770.28
1625.5443,1024.9911,1233.1354,77.25966,1.645925,8.809114,659.5214,70.74669,96.68855,218.98315,2.7795177,15.203182,18.842716,6168.73
2754.4802,1146.6187,419.35873,85.98861,2.079307,9.139836,597.5328,105.38711,102.32208,294.31027,5.692618,12.841005,24.82148,6248.62
1691.0161,724.3704,698.3688,85.50085,1.4811068,4.886129,530.7079,78.19865,81.95854,114.33454,2.8711228,15.690276,10.23897,6332.86
1443.6664,973.7829,824.36176,105.62855,1.2684516,8.511298,284.6215,86.74683,122.09643,188.31853,2.8774464,17.561035,20.649155,6034.78
2609.4775,1061.8574,1314.6926,64.67972,1.8498269,6.735174,1282.306,87.48361,61.555756,125.93679,5.3819857,10.964863,13.499771,6563.7
