repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
4,104,610,-3,167,12,10487,130,49019.61
3,56,425,-1,243,7,7575,243,27322.4
9,121,341,-5,183,14,3190,62,39215.69
8,61,838,-3,234,14,11830,192,42553.19
9,123,775,-4,201,12,4391,326,37735.85
9,107,404,-4,160,13,4029,63,37593.98
7,82,639,-1,179,6,9997,177,39370.08
5,69,683,-3,174,10,6346,195,37593.98
7,50,687,-1,116,8,1559,242,39370.08
10,119,696,-3,245,15,5306,89,37593.98
7,61,615,-1,162,8,5219,275,37453.18
9,46,927,-3,247,11,12843,205,38910.51
9,41,501,-1,176,6,4697,477,44642.86
9,117,687,-4,184,12,6990,113,43290.04
7,76,887,-3,237,13,9732,125,50505.05
10,84,913,-3,250,16,8998,31,46296.3
7,69,783,-3,115,10,3263,262,45662.1
9,49,478,-2,212,9,6625,462,42735.04
9,42,617,-1,189,2,9788,319,45454.55
5,125,529,-4,137,12,7102,103,48780.49
9,124,430,-5,169,13,3138,152,39062.5
1,64,438,-3,285,7,8811,113,31948.88
10,76,982,-3,275,14,9744,69,36231.89
10,104,711,-3,211,14,6226,103,48780.49
9,58,706,-4,204,8,11421,306,39525.69
3,133,1202,-1,299,23,3832,293,41666.67
6,86,670,-1,190,6,13085,215,47846.89
8,60,806,-4,168,7,11220,329,46511.63
10,53,634,-4,149,3,11453,378,46728.97
1,79,769,-3,264,9,8646,234,49504.95
5,84,699,-3,208,9,9139,219,44843.05
7,71,663,-2,222,8,12921,294,45454.55
