protocol,XX:MaxNewSize,Xms,Xmx,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http11NioProtocol,291,320,496,8690,584,58,221,51,127,TRUE,18627,TRUE,1571,6705.708793
org.apache.coyote.http11.Http11NioProtocol,457,529,515,21974,1250,94,472,44,233,FALSE,25542,FALSE,2157,9063.991782
org.apache.coyote.http11.Http11NioProtocol,280,364,504,15630,845,62,284,48,161,FALSE,18526,FALSE,1624,7218.8267
org.apache.coyote.http11.Http11NioProtocol,438,458,517,9136,498,70,151,51,209,TRUE,17085,TRUE,1489,7583.801001
org.apache.coyote.http11.Http11NioProtocol,451,375,509,7659,411,89,262,30,147,FALSE,24872,TRUE,2147,7548.689044
org.apache.coyote.http11.Http11Protocol,314,158,512,7305,184,62,293,4,55,TRUE,12183,TRUE,2229,7018.200533
org.apache.coyote.http11.Http11NioProtocol,230,257,508,6365,496,39,238,26,49,FALSE,17479,TRUE,1723,7852.169816
org.apache.coyote.http11.Http11NioProtocol,514,510,515,8834,567,93,290,53,207,FALSE,28088,TRUE,1918,6519.471488
org.apache.coyote.http11.Http11NioProtocol,247,303,497,7486,571,57,152,41,139,FALSE,20225,TRUE,1704,7507.507508
org.apache.coyote.http11.Http11Protocol,412,292,519,7784,243,43,285,16,95,TRUE,3531,TRUE,1631,6275.362925
org.apache.coyote.http11.Http11NioProtocol,257,337,503,12805,784,61,254,44,139,FALSE,18626,FALSE,1707,7696.254489
org.apache.coyote.http11.Http11NioProtocol,152,286,514,20884,1199,28,81,3,233,FALSE,8548,FALSE,2072,7333.170374
org.apache.coyote.http11.Http11Protocol,327,262,509,8800,349,53,238,29,105,TRUE,11651,TRUE,1696,6971.556051
org.apache.coyote.http11.Http11NioProtocol,270,309,502,8954,539,61,236,48,126,TRUE,19465,TRUE,1651,7682.064939
org.apache.coyote.http11.Http11Protocol,273,202,507,8677,345,53,268,26,73,TRUE,12615,TRUE,1829,6981.290142
org.apache.coyote.http11.Http11NioProtocol,461,488,509,8090,524,89,218,51,197,FALSE,26937,TRUE,1939,7799.500832
org.apache.coyote.http11.Http11NioProtocol,310,418,514,21864,1266,56,261,19,242,FALSE,16700,FALSE,2117,7399.003601
org.apache.coyote.http11.Http11NioProtocol,420,447,508,8681,531,55,224,52,183,TRUE,13095,TRUE,1249,7732.357338
org.apache.coyote.http11.Http11Protocol,254,156,508,8522,304,53,246,19,66,TRUE,12727,TRUE,1934,7883.948281
org.apache.coyote.http11.Http11NioProtocol,402,422,509,8615,428,48,481,48,6,TRUE,14395,TRUE,1287,8476.012884
org.apache.coyote.http11.Http11NioProtocol,300,323,506,6964,534,45,294,38,77,TRUE,15770,TRUE,1503,7808.026651
org.apache.coyote.http11.Http11NioProtocol,378,398,505,8629,562,57,276,52,136,TRUE,15032,TRUE,1321,7000.513371
org.apache.coyote.http11.Http11NioProtocol,487,497,511,8112,529,46,495,53,43,TRUE,11224,TRUE,1053,7622.338533
org.apache.coyote.http11.Http11NioProtocol,197,269,506,9053,610,48,189,34,118,FALSE,19764,TRUE,1771,8362.136247
org.apache.coyote.http11.Http11NioProtocol,112,140,509,6015,573,28,60,9,120,FALSE,17122,TRUE,2046,7337.116024
org.apache.coyote.http11.Http11Protocol,329,271,504,8696,365,70,263,27,91,TRUE,16839,TRUE,2012,7849.293564
org.apache.coyote.http11.Http11NioProtocol,174,258,514,9169,715,36,143,15,139,FALSE,18671,TRUE,2030,7158.537749
org.apache.coyote.http11.Http11NioProtocol,337,394,504,9124,549,73,218,52,159,FALSE,22464,TRUE,1707,7797.473619
org.apache.coyote.http11.Http11NioProtocol,258,345,506,7804,530,58,132,43,156,FALSE,20301,TRUE,1704,8312.551953
org.apache.coyote.http11.Http11NioProtocol,471,493,512,16096,963,94,461,50,198,FALSE,28368,FALSE,1974,7623.888183
org.apache.coyote.http11.Http11NioProtocol,292,300,506,6959,548,42,259,35,77,FALSE,17249,TRUE,1537,7612.667479
org.apache.coyote.http11.Http11NioProtocol,221,302,503,12465,709,52,212,41,135,FALSE,18109,FALSE,1685,7821.054278
org.apache.coyote.http11.Http11NioProtocol,335,365,510,7951,495,47,367,39,28,TRUE,14530,TRUE,1459,7547.929351
org.apache.coyote.http11.Http11NioProtocol,299,384,501,9634,617,70,263,48,139,FALSE,23883,TRUE,1829,7847.650936
org.apache.coyote.http11.Http11NioProtocol,220,269,501,8863,546,56,210,42,110,FALSE,19972,TRUE,1680,8274.948971
