num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,acks,T,1/T
4,13,30,1,17,6,1,19,37,39,none,1,30.25,0.033057851
7,16,7,14,12,16,2,32,2,27,none,1,16.07,0.062227754
5,15,88,10,19,7,2,8,22,40,snappy,1,23.92,0.04180602
3,4,41,5,4,17,3,10,4,52,snappy,1,14.66,0.068212824
13,17,21,9,13,14,4,20,56,70,lz4,1,29.11,0.034352456
12,9,51,18,10,13,5,34,12,80,snappy,1,24.03,0.041614648
6,17,44,15,14,12,5,29,15,29,lz4,1,26.64,0.037537538
14,23,95,13,18,1,6,23,40,65,lz4,1,28.57,0.03500175
3,3,9,3,5,9,7,47,49,74,snappy,1,26.15,0.038240918
15,3,75,6,18,19,8,43,37,63,snappy,1,28.09,0.035599858
9,22,58,17,19,2,8,9,41,5,none,1,28.61,0.034952814
6,14,2,11,14,2,9,11,53,75,none,1,27.61,0.036218761
19,20,56,3,9,8,10,44,52,31,none,1,29.79,0.033568312
16,9,48,7,11,13,10,1,32,90,gzip,1,14.85,0.067340067
14,5,53,6,3,5,11,2,9,51,gzip,1,14.75,0.06779661
1,2,4,5,15,19,12,41,14,69,gzip,1,15.43,0.064808814
9,2,64,13,1,15,12,26,56,13,snappy,1,14.74,0.067842605
6,6,20,15,4,2,13,29,3,32,none,1,16.6,0.060240964
2,9,94,1,15,10,14,36,61,86,lz4,1,26.99,0.03705076
1,19,25,12,8,6,15,24,31,57,gzip,1,15.43,0.064808814
12,10,99,8,2,8,15,39,24,18,snappy,1,19.33,0.051733057
7,21,86,18,6,18,16,24,57,97,gzip,1,11.23,0.089047195
11,22,72,16,5,8,16,15,60,43,none,1,26.11,0.038299502
4,7,27,17,3,17,18,14,44,15,lz4,1,22.04,0.045372051
18,12,69,7,13,11,18,16,10,8,gzip,1,14.6,0.068493151
10,19,85,2,16,18,19,35,45,96,none,1,28.23,0.035423309
17,15,73,11,13,10,20,42,63,92,gzip,1,14.32,0.069832402
10,1,91,4,7,4,20,33,17,60,gzip,1,13.89,0.07199424
4,13,16,10,9,12,21,5,5,84,snappy,1,15.21,0.06574622
8,16,38,10,2,4,22,30,20,55,none,1,20.29,0.049285362
16,18,60,2,5,15,23,3,49,10,none,1,26.19,0.038182512
13,10,78,14,7,1,23,40,30,49,lz4,1,26.49,0.037750094
15,1,45,12,12,9,24,27,25,46,lz4,1,27.48,0.036390102
19,6,15,19,8,3,25,6,47,1,snappy,1,25.65,0.038986355
13,20,81,16,11,16,26,46,19,36,lz4,1,28,0.035714286
19,23,37,4,17,11,26,12,29,20,gzip,1,14.96,0.06684492
11,8,32,5,7,5,27,5,41,23,lz4,1,24.39,0.04100041
8,5,12,8,16,7,28,37,27,4,snappy,1,30.15,0.033167496
2,11,34,13,10,14,28,17,34,78,gzip,1,13.76,0.072674419
17,12,67,19,1,16,29,21,7,87,lz4,1,13.88,0.07204611
4,13,29,1,17,6,1,18,35,38,none,1,29.18,0.034270048
7,15,6,15,12,17,2,31,2,25,none,1,15.66,0.06385696
5,15,88,9,19,7,2,8,22,41,snappy,1,25.85,0.03868472
3,4,40,5,4,17,3,11,5,54,snappy,1,11.69,0.085543199
13,17,21,9,13,13,4,20,55,70,lz4,1,29.03,0.034447124
12,9,52,18,10,13,4,34,13,80,snappy,1,26.69,0.037467216
6,18,43,15,15,12,5,29,16,29,lz4,1,27.38,0.036523009
14,23,97,14,18,1,6,22,39,65,lz4,1,28.42,0.035186488
3,4,8,3,6,9,7,47,50,72,snappy,1,27.15,0.036832413
16,3,76,6,18,19,7,43,37,62,snappy,1,28.48,0.03511236
9,22,59,18,19,2,8,9,40,6,none,1,29,0.034482759
6,14,2,11,14,1,9,11,53,77,none,1,28.22,0.035435861
19,20,55,3,9,8,10,45,52,31,none,1,29.25,0.034188034
16,8,49,7,10,13,10,1,33,91,gzip,1,10.31,0.09699321
15,6,53,6,3,5,11,2,10,51,gzip,1,14.62,0.068399453
1,2,5,5,15,19,12,40,14,67,gzip,1,14.48,0.069060773
9,2,63,13,1,14,13,26,57,14,snappy,1,14.77,0.067704807
6,6,18,15,4,3,13,28,3,33,none,1,16.45,0.060790274
2,9,94,1,15,10,14,36,61,87,lz4,1,30.18,0.033134526
1,19,24,12,9,6,15,25,31,57,gzip,1,13.48,0.074183976
12,10,98,9,2,7,16,39,24,19,snappy,1,19.57,0.05109862
8,21,85,18,6,18,16,24,58,98,gzip,1,13.11,0.076277651
11,22,71,16,5,8,17,15,60,43,none,1,27.71,0.036088055
4,7,27,17,3,17,18,14,45,16,lz4,1,21.61,0.046274873
18,12,68,7,14,11,18,16,11,8,gzip,1,14.23,0.070274069
10,19,84,1,16,18,19,35,46,96,none,1,30.48,0.032808399
17,15,73,11,13,10,20,42,62,93,gzip,1,14.29,0.069979006
