innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
8000,1000,4000,8,8,10,32000,128,8000,64000,256,1000,256,726700
4620,18925,6542,5288,14,1589,19159,1700,91615,131709,892,2702,3856,786280
4868,14013,10153,2080,82,847,96853,394,58788,180719,182,2474,2600,730780
4655,1836,2036,7001,117,699,93087,463,37917,288818,1071,2072,777,848920
5319,9345,6993,5985,107,66,74292,994,109013,390181,629,2481,1642,789560
6448,720,8274,5865,87,531,77428,1220,77330,374889,499,1413,3776,790060
7226,16941,7493,1661,59,414,38056,2019,115597,111521,1907,2694,2648,798180
7368,3398,2972,4054,85,305,69514,1985,43670,66503,387,1523,3173,806080
8768,16297,12521,7909,99,720,115978,1405,51192,465968,903,1952,2092,785200
8819,15881,2632,6591,45,1678,105120,1282,84303,424716,1990,1151,3585,758520
9674,11210,4725,328,39,1097,99505,1493,29919,15379,1424,1260,516,777960
10599,2863,13474,1633,103,1895,120610,448,105638,225112,676,1341,3988,813140
11506,14814,2293,1947,75,958,71161,881,102138,24067,557,1333,3363,789680
12140,13382,11080,7302,53,32,25623,1138,66795,351505,1140,1150,1335,785860
12619,3587,9722,3395,92,245,114071,291,73622,491515,1234,1749,1714,731160
13227,17222,3489,6353,8,1741,110961,1267,20575,134767,974,1318,1138,785676
14086,10722,4198,4185,62,949,22965,619,41652,198070,1099,1175,3076,853260
14691,13639,13999,3129,42,1005,50993,261,8805,362278,1711,1377,1581,823500
15520,17971,5597,6812,64,1349,10017,707,13617,440617,1838,1853,3696,826040
16396,15156,14856,2657,11,604,49263,1753,55737,298230,281,1563,1936,785940
16788,9728,6220,4669,51,1127,83947,320,81703,246362,1191,1783,1893,728140
17941,1421,15937,2896,17,1264,64967,950,61390,189425,236,1682,3294,744180
18696,7224,11745,6230,115,1947,41738,838,24114,103090,1858,1729,162,779920
19483,8449,12626,7441,27,1526,60961,1359,27369,452555,1348,1932,531,739960
19717,4937,13105,5548,47,151,35271,1052,123260,258404,779,1938,1238,770740
20669,12788,11976,1145,122,1969,56183,1650,125215,315096,2022,2590,1451,726540
21753,6380,4888,9,20,598,55309,139,18382,163137,730,1049,2745,776260
22377,4177,8019,5462,96,1777,88712,1759,2459,259665,1522,1852,2138,773120
23042,1340,8673,3769,78,1628,87639,185,98846,148572,159,1558,2992,805560
23316,2287,2877,896,37,764,29675,1109,16775,325829,330,2263,2835,798520
24180,7785,9430,783,55,1439,62506,1526,114710,212887,1285,2929,832,757020
25040,12396,7168,7647,118,104,32143,1908,70596,41631,1500,1438,2392,785876
25576,19435,3726,4716,71,1366,80290,922,75837,272496,1613,1221,424,773380
26717,10081,14947,2362,28,1476,108765,558,88276,419293,1010,1803,2503,806140
27085,11877,5214,8079,33,285,11733,1612,94797,81207,588,1942,677,828220
28204,8664,10713,3623,22,1848,101926,1810,52075,505577,1714,1605,3409,814580
28844,5513,14246,455,89,456,123893,793,47055,340843,847,1840,2287,774080
29418,19998,15305,1238,106,378,126986,1886,107549,46760,1660,2234,1020,784640
30252,18019,11165,4362,69,1154,15986,594,34602,407569,1759,1595,3977,783820
31019,6924,1655,4933,125,1246,43815,662,121242,90577,1413,1189,926,746140
31824,5278,9049,2843,111,891,17180,1442,6588,483956,444,1120,283,760500
4361,18741,6594,5210,13,1566,21645,1669,92537,126373,850,2769,3835,828580
4339,14019,10061,2206,81,836,95482,399,58470,176193,180,2407,2575,809596
4686,1618,2367,6969,118,667,94578,481,38699,291469,1076,2068,767,816400
5778,9385,6935,5978,106,50,74226,999,110998,393799,611,2508,1713,731700
6590,1567,8405,5779,86,548,78336,1190,80132,377881,490,1388,3719,783820
7173,16671,7749,1645,60,433,38867,1939,116204,108446,1908,2639,2702,777880
7382,3430,1856,4092,83,327,70431,1990,44116,59871,383,1490,3156,762180
8454,16128,12555,7986,100,742,116271,1402,49879,469536,933,1956,2055,756220
8993,15787,2839,6685,46,1687,106477,1297,84585,434052,1972,1207,3539,740680
9759,11404,4487,378,38,1070,100265,1500,30335,15496,1454,1243,463,756760
10521,2659,13655,1464,101,1863,120177,448,105305,228254,659,2325,3950,768960
11447,14986,2282,1877,75,987,73170,882,100323,20006,552,1365,3303,759140
11800,13313,10856,7311,55,16,26660,1177,66167,349936,1144,1132,1415,791500
12921,3903,9873,3406,94,203,114690,278,71438,494139,1243,1711,1809,760460
13420,17018,3459,6405,9,1748,111321,1262,22395,136130,974,1301,1136,731280
14148,10878,4032,4269,62,931,24445,653,39304,197811,1118,1167,3019,777380
15238,13757,13898,3155,40,1044,49734,254,9111,365305,1710,1384,1592,782180
15683,17790,5767,6939,65,1348,8039,741,11379,447288,1810,2910,3660,818640
16394,15059,14626,2599,10,611,49140,1732,55859,309077,285,1549,1972,788120
17220,9515,6242,4522,50,1149,82752,351,82218,241171,1218,2838,1882,786860
17987,1275,15743,2897,18,1296,65240,949,62534,194254,249,1721,3269,794700
18555,7294,11745,6267,115,1936,41421,827,23769,101803,1881,1771,142,758720
19043,8000,12732,7461,26,1509,60221,1372,27473,459513,1372,2122,544,705460
19696,4903,13358,5535,46,160,36539,1054,123242,253580,759,1910,1222,814880
20667,12898,12045,1225,123,1965,56838,1660,125696,311991,2003,2567,1468,770740
21509,6101,4890,97,19,580,53992,133,17976,169461,732,1032,2762,830360
22036,4392,7873,5460,97,1768,89359,1767,3831,260765,1548,1834,2120,764840
22928,1105,8751,3826,78,1604,87683,199,98187,146428,156,1576,2935,846280
23717,2074,2888,987,35,786,29854,1127,15661,332318,358,2252,2824,769180
24707,7920,9550,634,55,1443,62634,1547,112718,219228,1296,2989,859,749020
25251,12462,7353,7580,120,125,34151,1909,69550,37530,1497,1477,2342,782220
26062,19084,3728,4838,71,1356,80981,937,76377,275234,1605,1214,413,798040
26313,10448,15057,2260,29,1451,109049,526,87942,420595,1021,1799,2416,774500
27324,11614,5477,8140,33,282,12501,1613,95024,73625,606,1930,628,790400
28334,8864,10585,3567,22,1837,103073,1842,54672,507672,1712,1618,3420,788400
28956,5534,14469,477,90,498,123813,755,46945,341121,830,1883,2234,799620
29390,19699,15292,1414,105,391,125853,1874,108574,50310,1634,2221,1045,831800
30074,18123,11494,4436,67,1170,16069,559,34713,404041,1784,1635,3869,814540
31099,6783,2742,5080,126,1215,46285,666,120404,92329,1381,1119,1002,799840
31286,5347,9144,2677,111,890,17379,1460,7161,475645,436,1124,229,794860
4532,18915,6605,5159,13,1618,21249,1694,90899,128702,874,2863,3972,800460
4317,14245,10127,2192,80,898,97870,441,58868,177590,243,2451,2583,770120
4668,1519,2211,7121,107,735,94493,561,39536,296761,1114,2184,837,796240
5588,9481,6810,6139,103,145,76235,1044,111830,390619,705,2560,1661,705560
3552,18790,6632,5216,12,1595,22049,1692,93436,127347,926,2807,3897,858280
4401,14067,10135,2297,84,931,95990,434,58631,176991,258,2432,2628,850996
4797,1668,1450,7044,108,755,95101,495,39064,292264,1114,2163,854,801400
