Protocol, MaxNewSize,Xms, Xmx ,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount, enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http13NioProtocol,256,256,128,4096,200,25,250,100,100,TRUE,10000,FALSE,2048,11416.39394
org.apache.coyote.http11.Http11Protocol,256,128,128,16384,500,25,75,10,50,FALSE,20000,TRUE,2048,11327.59402
org.apache.coyote.http11.Http13NioProtocol,256,128,128,16384,1000,25,75,50,200,FALSE,10000,FALSE,1024,11148.27202
org.apache.coyote.http11.Http13NioProtocol,256,128,128,16384,1000,25,75,50,200,FALSE,10000,FALSE,1024,11148.27202
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,200,100,250,10,50,TRUE,10000,TRUE,1024,11074.19712
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,10984.18278
org.apache.coyote.http11.Http11Protocol,128,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,10689.09
org.apache.coyote.http11.Http11Protocol,128,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,10689.09
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,20000,FALSE,2048,10654.92257
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,250,50,200,TRUE,30000,FALSE,2048,10428.25362
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,10418.11363
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,10418.11363
org.apache.coyote.http11.Http13NioProtocol,128,256,128,8192,200,50,500,100,100,FALSE,30000,TRUE,1024,10409.43789
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,10367.70805
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,10366.9915
org.apache.coyote.http11.Http11NioProtocol,128,128,256,8192,500,50,250,50,100,FALSE,10000,FALSE,1024,10334.1371
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,10277.49229
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,10277.49229
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,10206.16452
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,10206.16452
org.apache.coyote.http11.Http11Protocol,128,64,128,16384,500,50,75,10,200,TRUE,30000,FALSE,1024,10082.00027
org.apache.coyote.http11.Http11Protocol,128,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,10020.04008
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,10012.68273
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,10012.68273
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,500,50,75,10,50,FALSE,20000,FALSE,1024,10008.67418
org.apache.coyote.http11.Http11NioProtocol,256,128,512,8192,500,50,75,50,50,FALSE,20000,FALSE,2048,9969.42709
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,20000,FALSE,2048,9930.486594
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,20000,FALSE,2048,9930.486594
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,200,TRUE,20000,TRUE,2048,9913.422774
org.apache.coyote.http11.Http11AprProtocol,256,256,512,8192,1000,25,500,10,100,FALSE,30000,TRUE,2048,9877.518767
org.apache.coyote.http11.Http11AprProtocol,256,256,512,8192,1000,25,500,10,100,FALSE,30000,TRUE,2048,9877.518767
org.apache.coyote.http11.Http11AprProtocol,256,256,256,8192,1000,25,500,10,100,FALSE,30000,TRUE,2048,9874.917709
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9807.126512
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9780.907668
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9780.907668
org.apache.coyote.http11.Http11NioProtocol,128,128,128,4096,200,100,75,100,100,TRUE,10000,FALSE,1024,9753.560049
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,9719.432385
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,9719.432385
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,500,50,200,TRUE,30000,FALSE,2048,9703.085581
org.apache.coyote.http11.Http13NioProtocol,64,256,128,8192,1000,50,250,100,200,FALSE,20000,TRUE,2048,9681.791777
org.apache.coyote.http11.Http11Protocol,128,256,128,4096,1000,25,250,10,50,TRUE,10000,TRUE,1024,9680.54211
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,250,50,200,TRUE,30000,FALSE,2048,9664.325752
org.apache.coyote.http11.Http11AprProtocol,64,64,256,4096,500,100,500,50,100,TRUE,30000,TRUE,2048,9645.061728
org.apache.coyote.http11.Http11AprProtocol,64,64,256,4096,500,100,500,50,100,TRUE,30000,TRUE,2048,9645.061728
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9641.961818
org.apache.coyote.http11.Http13NioProtocol,64,256,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9636.386997
org.apache.coyote.http11.Http11Protocol,128,256,512,4096,1000,100,250,10,200,FALSE,30000,TRUE,1024,9635.767971
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,9610.456176
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,9610.456176
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9604.917718
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,500,100,75,100,200,TRUE,20000,FALSE,2048,9584.052137
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9581.603322
org.apache.coyote.http11.Http11NioProtocol,128,64,128,8192,500,50,250,10,100,FALSE,10000,TRUE,2048,9577.932444
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,1.31701,20000,FALSE,1024,9577.932444
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9575.486754
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9575.486754
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9554.74871
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,250,100,50,FALSE,10000,FALSE,1024,9549.274255
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,250,100,50,FALSE,10000,FALSE,1024,9549.274255
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9542.591768
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9542.591768
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,9535.31244
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,9535.31244
