num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
10,9,58,12,14,11,13,34,38,25,none,1,29.87,0.033478406
10,13,58,7,12,16,14,8,32,7,snappy,1,26.42,0.037850114
12,10,52,8,16,12,15,30,31,22,none,1,29.66,0.033715442
8,10,68,11,13,10,16,31,38,26,none,1,29.92,0.03342246
10,17,70,3,15,7,19,22,29,8,snappy,1,18,0.055555556
10,18,80,3,15,5,22,22,26,6,snappy,1,29.1,0.034364261
10,10,57,11,12,14,12,24,39,18,none,1,30.87,0.03239391
14,20,56,3,16,9,14,17,25,0,snappy,1,24.9,0.040160643
15,18,43,4,16,11,14,23,25,1,snappy,1,29.6,0.033783784
1,1,82,13,6,21,31,10,61,70,none,1,24.52,0.040783034
9,20,85,5,16,4,20,24,23,8,snappy,1,26.64,0.037537538
10,18,76,5,15,6,19,24,26,10,snappy,1,29.01,0.034470872
4,4,72,13,10,17,25,23,58,66,none,1,29.45,0.033955857
10,15,75,0,15,7,24,20,29,6,snappy,1,27.24,0.03671072
7,14,87,8,14,7,21,26,31,19,snappy,1,21.4,0.046728972
16,20,39,3,16,11,9,16,30,0,snappy,1,29.13,0.034328871
9,21,88,5,16,2,20,25,22,4,snappy,1,28.42,0.035186488
9,19,81,3,16,5,21,22,25,6,snappy,1,27.16,0.036818851
9,21,85,5,16,3,20,24,22,5,snappy,1,28.94,0.03455425
6,3,62,19,11,11,12,44,47,25,none,1,30.28,0.033025099
10,17,79,2,15,6,22,21,26,6,snappy,1,29.69,0.033681374
13,19,61,2,16,9,17,17,27,0,snappy,1,29.4,0.034013605
15,10,23,11,15,18,9,35,36,26,none,1,30.66,0.032615786
17,20,36,4,16,12,8,17,31,3,snappy,1,28.06,0.035637919
10,17,78,2,15,6,22,21,27,6,snappy,1,29.16,0.034293553
7,6,66,11,11,16,16,17,40,25,none,1,29.79,0.033568312
