sort_buffer_size,join_buffer_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,QPS
3079,1125,1469,44,2844,7141,1741,113900,43708,174039,2021,13356,11744,6229.62
4402,1757,1510,-2,827,7866,650,66230,100779,546073,3135,12573,28502,6511.89
1920,1611,1507,44,1998,6862,1608,80583,98568,324522,3219,10673,30364,6722.21
2623,1342,2029,110,1721,10085,905,128610,71321,473600,1224,18296,32152,6486.01
2014,1623,1513,43,1965,6909,1576,80391,97395,336662,3237,10714,30164,6193.33
2362,1435,1245,28,1951,12035,1077,104639,41170,139801,2867,15525,19607,6641.4
2490,1398,1643,67,1760,8716,1077,92193,77162,383919,1983,14749,30657,6682.33
1547,1863,1484,23,1740,12039,1186,101207,85383,212757,3520,12076,26778,6082.73
4137,1167,1725,22,3323,5799,2215,125988,40707,56572,2110,14498,2470,6784.32
1920,1611,1506,44,1999,6861,1607,80519,98606,324945,3210,10658,30314,6276.28
2238,1492,1330,48,2053,7786,1336,87957,65831,325170,2721,11106,25035,6580.36
2462,1142,1578,72,2206,9562,1066,108457,42729,291997,1115,16336,23812,6989.44
1922,1613,1512,44,2000,6846,1612,80813,99231,324925,3228,10669,30439,6415.17
1802,1247,1072,63,2513,8120,1380,106782,34334,271142,2175,11161,19277,6881.53
2096,1607,1445,45,1957,7151,1497,83454,87905,337551,3111,10884,28767,6747.01
4393,1202,1814,17,3440,5133,2378,127872,41844,24377,2224,14465,856,6650.51
1659,1359,1152,60,2378,7362,1502,89966,58502,309044,2494,9841,23464,6736.39
1801,1614,1559,28,1882,14030,851,122167,56426,146088,2625,14928,21035,6290.79
1922,1614,1511,44,2000,6851,1612,80745,99305,324934,3222,10664,30396,6492.68
1924,1611,1508,44,2001,6861,1609,80640,98765,324801,3217,10664,30325,6382.07
1924,1610,1509,44,2001,6856,1611,80661,98954,325057,3220,10659,30370,6840.73
1843,1766,1356,28,1714,8911,1424,78752,88947,272227,3679,11854,30070,6260.84
1973,1512,1426,48,2140,7272,1558,86811,83319,304705,2938,10905,27249,6954.1
2536,1129,1513,59,2421,8990,1270,106882,43367,225099,1539,15013,20323,6447.69
1819,1818,1210,14,1434,11159,1233,74989,82016,200172,4043,13090,29344,7229.33
1922,1613,1509,44,2000,6860,1609,80611,98828,324857,3215,10662,30316,6535.82
126,1819,1086,40,2059,15381,828,130201,32458,145020,2938,10087,18733,6817.02
2648,1407,2421,128,2056,10404,1236,141130,75227,402904,297,21346,29916,6370.15
1937,1573,1468,46,2069,7021,1583,82823,92202,315698,3088,10752,28962,6237.59
2202,1803,1514,34,1753,7641,1453,84311,95426,336802,3435,11555,30002,6813.5
1622,1292,991,65,2487,8149,1312,103445,29170,274311,2099,10848,19180,6287.97
1918,1617,1512,44,2000,6845,1611,80820,99275,325101,3224,10668,30395,6547.19
