repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
5,131,417,-5,153,20,4961,314,47846.89
5,89,357,-1,115,10,9699,272,42016.8
5,90,491,-1,284,4,766,299,46728.97
5,92,434,-1,144,10,8603,265,42918.46
5,92,472,-2,283,5,1392,327,36496.35
8,80,713,-3,173,11,8124,352,43290.04
6,57,376,-3,238,8,672,396,42735.04
5,125,515,-3,133,19,6120,356,51282.05
5,74,868,-4,170,10,13807,359,49751.24
8,100,588,-1,243,8,5383,299,40816.32
3,91,448,-2,154,14,10186,214,47393.37
6,55,366,-3,233,12,2927,380,48543.69
10,124,711,-1,249,8,8593,256,27173.91
4,129,667,-2,154,18,6883,320,48780.49
5,104,497,-4,172,17,6263,259,43103.45
4,75,401,-2,277,4,-532,374,43478.26
5,82,578,-3,183,13,7227,285,39370.08
4,74,757,-3,220,9,11242,320,37593.98
7,69,806,-3,141,12,8775,333,39062.5
8,70,413,-2,207,8,1450,430,48543.69
6,80,604,-3,198,12,6222,358,45248.87
5,92,518,-3,178,15,7466,292,46948.36
6,73,426,-2,240,6,953,371,48309.18
6,85,660,-3,211,9,6992,321,31446.54
4,40,284,-4,266,10,510,423,42553.19
4,111,745,-3,226,11,10159,306,44444.45
7,79,441,-2,227,7,2015,400,43859.65
6,63,421,-3,229,9,2610,352,46296.3
5,100,505,-4,171,17,5956,276,46728.97
