protocol,XX:MaxNewSize,Xms,Xmx,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http11AprProtocol,90,104,173,6879,175,51,397,52,135,FALSE,25939,FALSE,1657,8608.815427
org.apache.coyote.http11.Http11AprProtocol,128,64,255,8234,1003,25,74,50,200,FALSE,9946,TRUE,1020,8022.677435
org.apache.coyote.http11.Http11AprProtocol,239,66,482,15223,230,83,226,133,52,FALSE,19745,TRUE,1738,8798.169981
org.apache.coyote.http11.Http11AprProtocol,128,63,254,4061,198,50,251,50,49,FALSE,20123,TRUE,1016,8478.40832
org.apache.coyote.http11.Http11AprProtocol,127,66,255,8530,981,24,73,49,195,FALSE,10126,TRUE,1026,8683.570684
org.apache.coyote.http11.Http11AprProtocol,128,64,255,8208,201,25,251,50,100,FALSE,9999,TRUE,1022,8208.832704
org.apache.coyote.http11.Http11AprProtocol,128,64,256,8181,918,25,94,50,190,FALSE,9969,TRUE,1022,8497.139296
org.apache.coyote.http11.Http11AprProtocol,128,64,256,8162,958,25,85,50,195,FALSE,10021,TRUE,1020,7841.497203
org.apache.coyote.http11.Http11AprProtocol,129,64,256,4094,200,50,252,50,51,FALSE,19943,TRUE,1020,8843.818171
org.apache.coyote.http11.Http11AprProtocol,127,63,255,8330,209,24,250,50,100,FALSE,9946,TRUE,1024,8391.608392
org.apache.coyote.http11.Http11AprProtocol,128,64,255,7692,201,28,251,50,94,FALSE,11235,TRUE,1022,8589.589418
org.apache.coyote.http11.Http11AprProtocol,91,67,180,4717,1060,78,150,24,97,FALSE,19829,TRUE,1024,8884.150675
org.apache.coyote.http11.Http11AprProtocol,128,64,256,7088,198,32,249,50,86,FALSE,12702,TRUE,1024,8664.510166
org.apache.coyote.http11.Http11AprProtocol,128,64,256,8178,198,25,251,50,100,FALSE,10018,TRUE,1023,8069.288289
org.apache.coyote.http11.Http11AprProtocol,128,64,256,4112,201,50,251,50,51,FALSE,19993,TRUE,1022,9175.995596
org.apache.coyote.http11.Http11AprProtocol,112,86,220,8303,188,42,344,54,117,FALSE,16826,TRUE,1441,8022.677435
org.apache.coyote.http11.Http11AprProtocol,128,64,255,7546,201,29,250,50,92,FALSE,11604,TRUE,1022,8759.124088
org.apache.coyote.http11.Http11AprProtocol,129,71,257,8426,969,71,195,80,191,FALSE,11232,TRUE,1689,8116.883117
org.apache.coyote.http11.Http11AprProtocol,129,63,259,8387,205,24,248,51,100,FALSE,10094,TRUE,1026,8071.45932
org.apache.coyote.http11.Http11AprProtocol,127,65,260,8361,997,81,212,87,198,FALSE,10583,TRUE,1804,8833.922261
org.apache.coyote.http11.Http11AprProtocol,128,64,255,8233,1006,25,74,50,200,FALSE,10006,TRUE,1022,8426.019548
org.apache.coyote.http11.Http11AprProtocol,128,64,255,8300,327,24,222,50,116,FALSE,9809,TRUE,1023,8107.669856
org.apache.coyote.http11.Http11AprProtocol,127,67,255,6969,773,33,123,52,151,FALSE,13768,TRUE,1050,9026.900162
org.apache.coyote.http11.Http11AprProtocol,127,64,256,8197,760,25,129,50,170,FALSE,9994,TRUE,1022,8311.630742
org.apache.coyote.http11.Http11AprProtocol,127,64,255,8282,245,24,242,50,105,FALSE,9986,TRUE,1019,8500.991782
org.apache.coyote.http11.Http11AprProtocol,128,64,255,4508,198,47,251,50,55,FALSE,18940,TRUE,1019,8996.581299
org.apache.coyote.http11.Http11AprProtocol,127,64,254,4229,195,49,251,50,48,FALSE,19957,TRUE,1023,8571.428571
org.apache.coyote.http11.Http11AprProtocol,129,64,256,8236,200,25,251,50,100,FALSE,9960,TRUE,1025,8435.022212
org.apache.coyote.http11.Http11AprProtocol,128,64,256,8208,1000,25,75,50,200,FALSE,10024,TRUE,1021,8715.86287
org.apache.coyote.http11.Http11AprProtocol,126,64,252,5738,481,42,191,49,101,FALSE,16122,TRUE,1036,8873.639375
org.apache.coyote.http11.Http11AprProtocol,128,65,255,8226,194,24,253,51,99,FALSE,10243,TRUE,1039,9172.067996
