num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
9,1,30,17,18,13,2,2,4,0,none,1,13.99,0.071479628
15,2,65,7,20,18,1,5,49,35,lz4,1,24.02,0.041631973
9,7,31,6,12,11,2,40,27,48,snappy,1,29.69,0.033681374
7,13,32,9,19,3,14,31,15,27,gzip,1,12.73,0.078554595
3,22,40,12,1,20,16,7,4,47,none,1,11.99,0.083402836
7,1,61,15,17,1,28,29,8,77,none,1,25.15,0.039761431
7,5,53,7,7,12,11,6,30,84,lz4,1,24.76,0.040387722
9,14,76,2,14,13,30,39,64,85,none,1,30.15,0.033167496
17,10,9,9,13,3,10,42,40,43,none,1,29.16,0.034293553
1,8,58,20,15,4,20,48,1,5,gzip,1,13.06,0.076569678
3,3,21,10,3,8,1,15,57,2,snappy,1,21.42,0.046685341
20,2,38,6,4,8,20,31,12,91,snappy,1,22.47,0.044503783
4,15,39,8,14,3,30,37,47,14,gzip,1,14.07,0.071073205
9,18,33,5,13,6,5,21,2,12,snappy,1,13.47,0.07423905
5,10,16,1,17,2,30,19,48,84,snappy,1,28.84,0.034674064
7,4,50,15,12,7,15,36,47,77,lz4,1,29.8,0.033557047
9,21,86,5,16,3,20,24,22,5,snappy,1,30.32,0.03298153
5,21,10,2,2,18,13,48,27,5,gzip,1,13.68,0.073099415
18,21,50,20,18,5,27,10,15,23,lz4,1,18.59,0.053792361
16,10,74,16,20,19,13,4,49,48,none,1,26.87,0.037216226
18,12,75,16,19,15,17,11,40,93,none,1,28.93,0.034566194
13,12,83,5,8,18,6,11,35,79,none,1,27.81,0.035958288
7,20,60,17,11,14,25,21,8,50,none,1,17.54,0.057012543
9,20,6,4,20,2,12,30,56,21,gzip,1,14.46,0.069156293
5,3,8,3,13,17,24,11,42,80,none,1,29.26,0.03417635
20,23,61,4,4,4,22,11,4,35,snappy,1,11.18,0.089445438
1,20,25,9,8,10,28,28,33,39,none,1,24.33,0.041101521
7,17,71,10,13,16,20,25,54,44,gzip,1,15.19,0.065832785
12,22,51,15,4,3,22,9,30,24,lz4,1,24.35,0.041067762
7,11,87,9,18,8,27,33,12,14,lz4,1,23.84,0.041946309
9,20,38,1,7,12,11,15,51,100,lz4,1,25.47,0.039261877
8,3,56,19,14,13,10,45,48,33,none,1,29.89,0.033456005
10,20,71,2,10,13,16,10,64,73,lz4,1,29.81,0.03354579
6,15,73,4,7,20,19,48,57,17,snappy,1,27.74,0.036049027
17,1,75,11,8,1,19,22,40,91,snappy,1,26.57,0.037636432
10,10,84,7,5,7,26,41,28,96,none,1,26,0.038461538
5,7,67,11,10,3,29,2,3,65,gzip,1,13.76,0.072674419
13,17,49,3,7,7,25,18,28,16,none,1,28.57,0.03500175
13,10,86,10,7,20,2,5,37,85,gzip,1,15.74,0.063532402
18,21,4,19,15,13,11,4,8,85,none,1,21.88,0.045703839
9,24,65,8,6,18,6,12,22,40,lz4,1,27.67,0.036140224
16,19,13,17,1,3,17,29,50,66,none,1,12.95,0.077220077
8,3,100,10,5,7,26,34,62,36,lz4,1,16.89,0.059206631
17,20,33,4,16,12,7,16,30,2,snappy,1,29.73,0.033636058
9,15,32,6,2,12,5,35,57,13,lz4,1,18.93,0.052826202
17,21,32,3,2,10,6,26,23,84,gzip,1,14.37,0.069589422
4,24,30,3,10,10,4,11,55,2,lz4,1,30.05,0.03327787
10,13,59,10,10,13,24,19,37,96,gzip,1,13.98,0.071530758
13,5,4,14,4,18,3,35,9,39,gzip,1,15.06,0.066401062
17,22,1,12,16,4,5,38,14,4,gzip,1,14.01,0.071377587
7,13,58,1,13,4,9,35,38,84,none,1,31.35,0.031897927
