sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
3078,1526,1392,84,2946,5406,1398,93728,86640,97074,3357,12575,18744,5465.68
2791,713,605,31,2847,9164,1866,32627,32258,178146,3480,10433,4178,6868.78
2130,1800,848,114,1645,12229,1226,70274,43309,284686,1482,10767,24538,6985.79
3814,574,1511,127,2081,15024,634,34975,123914,499110,3913,19522,29291,7142.1
2166,771,1408,90,1690,13365,1427,113706,6103,496333,347,13195,11029,7724.27
2082,1840,1631,28,1994,16137,836,124712,76594,169044,2636,14755,23606,7893.83
2520,2023,1624,102,1180,15492,85,76670,59110,214047,3904,5172,20013,7355.72
2305,1880,676,12,2363,12010,77,85398,111637,162096,1793,12480,28224,7466.83
1620,892,1515,84,2286,8582,511,122043,109261,90470,2813,6403,12280,7398.96
1146,245,2041,44,2558,7223,729,60320,104440,283064,414,9603,9511,7949.41
1541,677,483,57,1361,14168,1701,22285,120485,162399,3121,5407,31455,6968.51
2405,341,309,84,1604,14908,561,10625,121339,156384,1493,16709,6420,6855.01
3395,824,423,83,1901,9978,844,64671,89609,374672,1219,18696,6333,7452.14
410,1196,529,68,1205,2667,1925,125753,118883,63669,2507,2211,17588,7445.6
912,837,922,119,1977,4505,1209,39544,78507,357887,2479,8392,18846,6382
129,1873,683,116,2277,6710,1758,30617,63883,311489,342,10617,27538,7813.99
3773,559,1018,22,2722,14663,429,120122,38588,152543,756,7088,13938,8422.62
2596,1309,1078,78,2244,10630,1089,15703,98385,305214,2504,16134,32592,7383.56
3556,158,402,77,2634,15691,1098,100104,34057,237810,1687,6487,30935,7579.25
2692,1864,1193,64,1798,3878,1517,83923,94074,228769,2870,9853,15242,7207.77
4002,1497,1233,102,1609,15416,1263,35562,87010,358497,3165,12046,5515,7427.7
2449,1103,1549,48,1055,10352,1732,87935,34939,509550,3909,7604,10477,6960.32
2563,1557,180,33,2963,9261,435,82007,70461,443660,2350,18034,5076,7278.88
4057,1767,316,13,2460,4103,1217,45611,4449,165081,2974,5339,21425,7752.67
381,1401,327,109,1349,13078,1304,107548,25458,140591,214,2650,20391,7646.58
2246,2014,608,99,2196,4359,1605,65432,122467,296883,819,6480,17989,7053.65
1228,1295,222,51,2170,2952,302,46147,100900,209824,546,7114,10805,7850.29
1571,1326,411,40,2998,3205,1052,40804,32150,465020,3491,8210,8557,7521.04
2074,1926,1805,39,1660,4485,481,81123,71453,454519,468,7482,6078,8081.22
2083,1987,1672,37,2100,14475,759,35843,6584,223530,2631,12245,16825,7431.5
1774,514,1169,101,1705,6375,498,53858,22534,483336,3434,11167,14708,6834.34
2256,424,1653,61,1555,7442,139,74861,96413,26569,98,4621,31518,8233.59
2055,1065,1719,119,2353,3534,580,105342,34642,315954,1399,8872,21713,7214.84
533,923,733,49,1699,14453,1766,93944,48179,51736,181,7810,28663,6904.3
609,1517,1392,63,1353,4680,1907,69013,118708,344103,2704,4934,24928,7049.69
341,497,567,60,1969,15067,1009,62610,20073,386822,3006,12248,25742,7148.74
1074,671,931,54,2101,8242,1311,58920,99731,357702,3417,9928,25895,6562.85
2500,1879,1374,8,2068,8810,1476,65890,126329,339830,2144,13338,12385,7475.37
1558,147,482,35,1503,7736,1056,8928,2686,82419,1782,8454,16090,7983.96
1885,2027,215,117,1350,7419,1299,124101,127522,229847,2042,14944,22811,6934.58
1583,1321,1927,43,2191,15112,1827,68549,14862,209402,2741,2993,9091,7007.27
698,1231,649,88,2816,7711,1399,106532,3923,312067,1794,8289,18041,7810.07
3995,861,1751,80,2358,8802,895,32055,94511,181825,1438,15171,16928,6943.61
3737,1893,1450,91,1038,7105,1450,58971,59363,482117,802,17531,29888,6899.28
2131,724,349,111,1670,14102,1709,97999,21693,392501,1523,14070,32744,7637.9
3210,407,1464,91,1400,8431,1423,59566,22030,392363,2075,10622,19662,7603
2258,388,1065,83,1859,11080,0,9849,4323,69526,381,1373,12941,7479.23
2066,891,1214,57,1289,13994,1481,126233,27078,456220,2699,2561,12432,7717.28
2298,476,1346,43,1385,4958,20,116974,47411,63687,838,9213,11044,7605.64
1728,1772,470,111,1793,15447,1857,69073,128829,81071,1440,15926,13862,7055.72
1906,1652,1621,99,2219,7453,868,78693,65876,239807,3424,8334,27478,7397.24
2282,1614,241,79,1495,11950,622,42485,80628,185239,2328,10473,18061,7309.15
915,1548,1510,88,2753,10682,1079,118240,110011,196138,3820,5135,4359,7668.99
3380,226,1186,117,2388,11035,674,81877,20157,248026,757,6401,15019,6843.91
1788,788,1082,107,2546,5691,246,56896,84021,87508,3892,6035,24771,7631.51
3625,380,1423,65,1946,14332,1840,65543,11164,21758,899,15849,25854,7781.29
1546,286,1549,59,1199,2056,1447,69478,120305,367034,3445,14488,24950,7233.29
3724,1341,1600,107,1849,6254,531,83338,57070,388822,3856,9306,24266,7970.31
1522,1565,440,21,2498,8832,1243,20935,76378,320648,528,20284,20447,7739.07
3423,1133,1281,34,1877,3163,1904,78983,59046,429392,1150,4250,15039,6771.22
630,1079,580,65,2951,12889,1326,101823,22646,100896,1761,11622,11238,6997.58
1834,1126,2035,12,2165,13310,796,22604,49872,284346,2995,14587,24805,7666.68
3791,2015,1441,79,2512,9024,1278,40631,63945,98437,3850,7415,22428,7372.2
262,842,476,113,1286,3357,811,100102,120356,477895,3708,5486,6469,6916.33
3061,1234,1034,13,2908,5918,1859,46391,108600,481483,3167,12662,14518,7448.21
1706,2031,1642,70,2770,7677,52,99357,48430,454676,754,8779,12035,7497.43
2951,745,1206,35,1112,6675,776,27903,42263,494667,2694,10906,8929,7413.8
2813,675,1153,120,1839,15704,1746,106612,35253,431609,3612,17903,17372,7929.55
2573,1206,1790,96,1959,9523,988,121281,56943,404521,1114,17242,28235,8115.1
3889,682,434,37,2477,7698,380,78537,35554,499322,1251,4756,8205,6935.5
552,1732,800,75,3002,13544,535,125517,51456,343425,375,13561,10789,7407.67
1235,1938,247,14,1964,5246,74,78159,77134,235836,3958,6972,20573,7774.98
3805,482,143,50,2883,8227,1529,108101,37585,256946,2154,5816,21943,7093.66
2074,388,1888,128,1352,11267,251,122395,26443,468331,1848,13684,14687,6806.35
2617,1075,353,70,1166,6715,108,97538,3785,29115,3980,2822,17652,7249.15
2217,602,931,64,2057,11278,882,106280,84031,57764,4021,5051,4736,8028.59
2734,762,536,117,1154,8053,1502,84129,27658,122649,1327,6677,4639,7834.78
3246,676,529,110,2855,14139,1966,29107,47527,268075,386,7361,20263,7504.3
2658,1315,1724,85,1923,2776,19,125252,69225,234202,1273,13486,7039,7742.6
2581,279,1734,99,1421,6546,91,84889,75604,354836,1282,1223,17337,6849.67
2657,1310,1226,114,1331,5887,1029,48768,111792,520788,481,15385,30850,7236.79
3893,840,1604,28,2941,8835,887,56970,15085,490898,1209,16715,16147,6991.95
1623,1222,680,65,1729,14006,323,17283,129354,111806,444,9525,21793,7679.14
2726,1959,1736,50,1965,10660,1607,106132,7345,41916,1876,9895,11486,7436.88
3336,354,1486,107,1722,13099,444,65032,38956,144387,3120,9637,8358,7459.17
2173,489,1732,94,1551,7036,291,108656,95999,121456,1334,10958,6540,7572.36
3355,1900,826,108,1994,3858,1089,57084,81024,466356,2787,12237,22769,7730.62
3096,1746,1443,112,2967,16034,1141,121822,66100,159657,3398,19232,32025,7575.9
2691,229,1073,92,2421,11830,1804,37218,106301,22320,773,3981,7492,7779.38
2228,449,1888,99,2241,16054,1508,95551,90123,454690,2385,15322,14992,7098.6
3207,391,343,77,1674,3400,1020,47080,124282,399812,897,12613,6631,7486.5
478,202,335,25,1455,7922,1939,124632,38614,358935,2032,12930,7595,6768
3751,1725,1475,11,1080,7878,836,69611,95265,480060,2988,12138,28231,7839.67
2783,1087,337,26,1351,5628,1632,13897,38605,235241,3832,12281,27881,7998.56
1947,757,1908,107,1778,14311,1143,58166,12730,434972,345,19226,28386,7275.9
1718,1536,1729,32,2974,8596,1678,129174,58912,33150,2518,7451,32149,7236.41
1332,1476,494,50,2546,4834,879,94633,108265,423897,648,4484,18852,7299.51
3781,1994,700,128,2665,2282,1986,76989,25465,136213,3294,8814,20899,7241.99
