repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
5,72,433,-2,117,15,2536,140,42372.88
2,73,1004,-2,259,13,3450,411,41666.67
8,73,968,-2,186,13,1554,164,51282.05
6,120,445,-3,229,11,8672,407,43668.12
4,105,582,-2,152,17,12357,105,44843.05
3,87,537,-5,128,7,4949,111,48780.49
7,113,294,-5,125,13,13,267,45248.87
3,48,998,-4,108,17,4313,479,43103.45
1,95,753,-2,273,12,3064,187,42918.46
6,81,514,-4,117,12,5951,242,41493.78
4,112,313,-4,278,12,8664,482,37878.79
10,107,744,-3,231,8,1013,235,44642.86
3,69,686,-1,282,20,2687,35,43668.12
8,88,968,-4,204,20,3129,148,47393.37
5,71,670,-3,121,18,1203,255,46082.95
3,69,897,-4,181,9,10812,289,48309.18
4,58,557,-2,109,6,3814,413,30211.48
1,92,567,-4,192,9,14476,426,43859.65
8,37,893,-3,210,7,8816,311,45248.87
3,120,744,-3,274,8,6029,292,43478.26
3,121,500,-2,207,7,912,384,47846.89
5,96,535,-1,215,8,14691,411,48076.92
1,61,836,-3,198,20,11823,16,44444.45
6,98,484,-3,131,11,1702,394,47619.05
9,120,572,-4,244,16,7501,166,40485.83
10,53,879,-4,276,12,12090,353,40485.83
9,73,581,-1,164,14,8112,32,28248.59
4,47,670,-5,220,10,6312,254,33670.04
5,95,560,-5,157,19,12565,82,36363.64
4,125,370,-2,269,6,10433,409,38022.81
4,115,798,-3,121,11,6764,125,47619.05
2,38,296,-5,210,13,9356,52,40983.61
2,106,574,-4,256,13,9320,258,43859.65
8,59,503,-1,163,10,8310,358,46948.36
8,102,544,-4,247,20,14060,346,40485.83
4,126,680,-5,289,13,4546,215,41322.31
2,106,637,-2,188,20,13925,7,41841
6,49,488,-5,297,10,1672,377,38461.54
10,84,626,-3,249,17,11334,42,41841
2,63,823,-3,298,20,5934,217,39062.5
7,55,858,-4,153,8,6771,425,40816.32
2,93,1003,-4,129,7,603,500,41493.78
6,64,505,-2,252,6,12853,234,46948.36
2,63,452,-1,198,15,7407,441,43103.45
2,107,344,-4,156,16,3719,361,49019.61
7,54,896,-4,134,5,11010,496,49261.09
4,48,815,-4,111,7,6226,26,47619.05
4,51,286,-1,189,11,2093,321,44843.05
1,71,819,-5,286,10,12575,22,40983.61
7,75,464,-2,211,8,3280,382,50000
10,91,287,-5,118,19,1763,304,43290.04
8,50,701,-3,175,9,10360,365,39062.5
9,75,978,-4,104,13,11147,336,49504.95
2,110,788,-5,268,10,13591,304,42194.09
6,86,658,-1,262,9,4392,361,44052.86
6,90,343,-1,205,19,7994,429,44843.05
10,82,557,-4,262,13,582,117,40160.64
7,64,290,-3,252,9,9913,494,40650.41
9,50,853,-1,153,14,2531,369,48309.18
5,114,489,-4,168,18,5550,295,50251.26
6,71,514,-5,149,13,9843,446,49019.61
3,127,1006,-3,148,5,5251,36,49019.61
2,118,514,-5,262,8,2805,81,47393.37
10,38,772,-1,140,20,5305,458,50505.05
3,111,345,-1,225,9,14670,459,47619.05
9,85,627,-1,172,13,874,277,47846.89
5,124,595,-2,129,20,7246,383,49751.24
7,102,922,-2,100,7,6501,379,41841
6,56,461,-1,129,12,9138,71,45454.55
5,53,676,-4,270,17,10663,213,33557.05
8,124,301,-2,264,6,4903,290,47169.81
6,127,825,-1,254,20,10469,241,49261.09
10,54,599,-2,295,12,14649,250,47619.05
6,75,607,-1,261,7,5338,121,50000
6,65,818,-2,279,8,14606,179,49261.09
4,125,759,-1,210,15,1906,168,49261.09
4,70,260,-4,141,7,7639,453,36496.35
7,48,975,-2,197,15,5290,447,42016.8
