XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,50,50,FALSE,20000,TRUE,1024,7621.95122
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,100,200,TRUE,20000,FALSE,2048,8114.248621
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,75,10,100,FALSE,10000,TRUE,1024,9109.680554
64,128,128,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,500,50,200,FALSE,30000,FALSE,2048,8470.269355
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,250,10,100,TRUE,20000,FALSE,1024,8223.233375
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,250,100,50,FALSE,20000,FALSE,2048,7502.250675
128,256,256,org.apache.coyote.http11.Http11Protocol,8192,500,100,500,100,50,FALSE,30000,TRUE,1024,7738.740133
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,500,100,100,TRUE,30000,TRUE,1024,7555.533169
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,500,50,50,TRUE,30000,FALSE,1024,8152.173913
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,50,200,FALSE,30000,FALSE,2048,7092.533926
256,64,512,org.apache.coyote.http11.Http11Protocol,4096,1000,50,500,50,200,FALSE,30000,FALSE,2048,8045.483802
128,64,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,100,250,100,200,FALSE,10000,TRUE,2048,9263.261903
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,200,100,75,100,100,TRUE,20000,TRUE,2048,7150.347984
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,500,100,200,FALSE,20000,TRUE,2048,7860.811236
64,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,250,50,50,FALSE,30000,FALSE,1024,8050.233457
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,1000,25,500,50,50,FALSE,20000,FALSE,1024,7306.736811
256,64,512,org.apache.coyote.http11.Http11Protocol,4096,200,50,75,10,50,TRUE,30000,FALSE,2048,7093.540149
64,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,250,10,200,TRUE,30000,FALSE,1024,7430.156529
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,100,500,100,100,TRUE,10000,TRUE,1024,7392.804337
128,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,50,250,50,200,FALSE,30000,FALSE,2048,8645.034868
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,50,100,FALSE,30000,FALSE,2048,7215.701366
